"","Maximumfilesize","Partialfileloading","Disksectorediting","Processmemoryediting","Datainspector","Bitediting","Insert/deletebytes","Characterencodings","SearchUnicode","Filestructureview","Disassembler","Filecompare","Findinfiles","Bookmarks","Macro","Texteditor"
"HxD","8EiB","Yes","Windows9x/NTandup","Yes","Yes","Yes","Yes","ANSI,ASCII,OEM,EBCDIC,Macintosh","Yes","No","Individualinstructionsonly","Yes","No","Yes","No","No"
"010Editor","8EiB","Yes","Yes","WinNTonly","Yes","Yes","Yes","ANSI,OEM,Unicode,UTF-8,EBCDIC,Custom","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"beye","8PiB","Yes","No","","","Yes","Yes","ANSI,EBCDIC,ASCII,Macintosh","Yes","","AVR,Java,x86,i386,x86-64,ARM/XScale,PowerPC,PPC64","","","Yes","No"
"bvi","LimitedbyRAM","Yes","","","","Yes","Yes","ANSI,ASCII","","No","No","","Yesandreplace","","Yes"
"Emacs","LimitedbyRAM","","No","No","No","No","Yes","","","No","No","","","","Yes","Yes"
"FlexHex","Unlimited","Yes","Yes","","Yes","Yes","Yes","ANSI,OEM,UTF-16","Yes","Yes","No","Yes","No","Yes","","No"
"Frhed","LimitedbyRAM","Yes","No","","","Yes","Yes","ANSI,OEM","Yes","Yes","No","Yes","No","Yes","No"
"Hiew","Unlimited","Yes","WinNTonly","","Yes","Yes","Yes","ASCII,OEM,Unicode,custom","Yes","Yes","x86,x86-64,MMX,SSE4.2,3DNow!-allassembler,ARM","","Yes","Yes","Yes"
"VEDIT","Standard,2GiB,Pro64,unlimited","Yes","DOSversiononly","","No","Yes","Yes","ANSI,OEM,EBCDIC,ASCII,custom","No","No","No","Yes","Yes","Yes","Yes","Yes"
"UltraEdit",">4GiB","Yes","No","No","No","No","Yes","ANSI,OEM,EBCDIC,ASCII,Mac,Unix,UTF-8","Yes","Yes","No","Yes","Yes","Yes"
"WinHex","Unlimited","Yes","Yes","","Yes","Yes","Yes","Partialsupportoftheseformats:ANSI,UNICODE,OEM,UTF-8/UTF-16,EBCDIC,ASCII","Yes","Yes","Onlyx86Intelopcodes","Yes","Yesandreplace","","Yes","No"
"vim","LimitedbyRAM","No","No","No","No","Yes","Yes","ASCII,ISO-8859,DOS(OEM),UTF-8,UTF-16,partialEBCDIC(compilationrequired),unicode","Yes","No","No","Yes","No","Plug-in","Yes","Yes"
"BinaryNinja","LimitedbyRAM","Yes","No","Yes","No","Yes","Yes","","Yes","Plugins","Yes","No","Yes","Officialplugin","Officialplugins","No"
"","Maximumfilesize","Partialfileloading","Disksectorediting","Processmemoryediting","Datainspector","Bitediting","Insert/deletebytes","Characterencodings","SearchUnicode","Filestructureview","Disassembler","Filecompare","Findinfiles","Bookmarks","Macro","Texteditor"
