"Meaninganddescription","Spanish","Portuguese"
"'yes'","sí","sim[sĩ]"
"'himself'/'herself'/'itself'/'themselves'(stressedreflexivepronoun,objectofpreposition)","sí","si"
"'if'(conjunction)","si","se"
"/'oneself""/'yourself""/'itself'/'themselves'(unstressedreflexivepronoun)","se","se"
