"","","","MSHTML","EdgeHTML","Gecko","WebKit","KHTML","Presto"
"Elementselectors","Elementselectors","Elementselectors","Elementselectors","Elementselectors","Elementselectors","Elementselectors","Elementselectors","Elementselectors"
"CSS2","*","Universal","7.0","12","1.0","85","Yes","1.0"
"CSS2","E","Element","4.0","12","1.0","85","Yes","1.0"
"CSS2","E.class","Class","7.0","12","1.0","85","Yes","1.0"
"CSS2","E#id","ID","4.0","12","1.0","85","Yes","1.0"
"selectors-3","ns|E","Namespaced","9.0","12","1.0","Yes","Yes","1.0"
"Relationshipselectors","Relationshipselectors","Relationshipselectors","Relationshipselectors","Relationshipselectors","Relationshipselectors","Relationshipselectors","Relationshipselectors","Relationshipselectors"
"CSS2","EF","Descendant","4.0","12","1.0","85","Yes","1.0"
"CSS2","E>F","Child","7.0","12","1.0","85","Yes","1.0"
"CSS2","E+F","Directadjacent","7.0","12","1.0","85","Yes","1.0"
"selectors-3","E~F","Indirectadjacent","7.0","12","1.7","412","3.3.2","2.0"
"selectors-4","E/for/F","Referencecombinators","No","No","No","No","No","No"
"selectors-4","E!>F","Subject","No","No","No","No","No","No"
"selectors-4","F||E","Columnrelation","No","No","No","No","No","No"
"Attributeselectors","Attributeselectors","Attributeselectors","Attributeselectors","Attributeselectors","Attributeselectors","Attributeselectors","Attributeselectors","Attributeselectors"
"CSS2","E[attr]","Has","7.0","12","1.0","85","Yes","1.0"
"CSS2","E[attr=""value""]","Equals","7.0","12","1.0","Yes","Yes","1.0"
"CSS2","E[attr~=""value""]","Contains(space-separated)","7.0","12","1.0","Yes","Yes","1.0"
"CSS2","E[attr|=""value""]","Contains(hyphen-separated)","7.0","12","1.0","Yes","Yes","1.0"
"selectors-3","E[attr^=""value""]","Beginswith","7.0","12","1.0","Yes","3.4","1.0"
"selectors-3","E[attr$=""value""]","Endswith","7.0","12","1.0","Yes","3.4","2.0"
"selectors-3","E[attr*=""value""]","Containssubstring","7.0","12","1.0","Yes","2.0","3.4"
"selectors-3","E[ns|attr]","Namespaced","7.0","12","1.0","Yes","2.0","3.4"
"selectors-4","E[foo=""bar""i]","Case-sensitivity","No","No","No","No","No","No"
"Pseudo-classes","Pseudo-classes","Pseudo-classes","Pseudo-classes","Pseudo-classes","Pseudo-classes","Pseudo-classes","Pseudo-classes","Pseudo-classes"
"CSS2","E:link","Unvisitedhyperlink","3.0","12","1.0","85","Yes","1.0"
"CSS2","E:visited","Visitedhyperlink","3.0","12","1.0","85","Yes","1.0"
"CSS2","E:active","Active","8.0","1.0","12","85","Yes","1.0"
"CSS2","E:hover","Mouseover","7.0","12","1.0","419.3","Yes","1.0"
"CSS2","E:focus","Focused","8.0","12","1.0","Yes","Yes","1.0"
"CSS2","E:first-child","Firstchild","7.0","12","1.0","85","Yes","1.0"
"CSS2","E:lang()","Language","8.0","12","1.2","525","3.4","1.0"
"CSS2","@page:first","Firstpage","8.0","12","No","Yes","No","1.0"
"CSS2","@page:left","8.0","12","No","Yes","No","Leftpage","1.0"
"CSS2","@page:right","8.0","12","No","Yes","No","Rightpage","1.0"
"selectors-3","E:root","Root","9.0","12","1.0","85","3.4","2.1"
"selectors-3","E:not()","Negation","9.0","12","1.0","85","3.4","2.1"
"selectors-3","E:empty","Empty","9.0","12","1.8","412","3.4","2.1"
"selectors-3","E:first-of-type","Firstchildoftype","9.0","12","1.9.1","525","3.4","2.1"
"selectors-3","E:last-child","Lastchild","525","9.0","12","1.0","3.4","2.1"
"selectors-3","E:last-of-type","Lastchildoftype","525","9.0","12","1.9.1","3.4","2.1"
"selectors-3","E:only-child","Onlychild","525","9.0","12","1.8","3.4","2.1"
"selectors-3","E:only-of-type","Onlychildoftype","525","9.0","12","1.9.1","3.4","2.1"
"selectors-3","E:nth-child","Nchild","525","9.0","12","1.9.1","3.4","2.1"
"selectors-3","E:nth-last-child","Nlastchild","525","9.0","12","1.9.1","3.4","2.1"
"selectors-3","E:nth-of-type","Nchildoftype","525","9.0","12","1.9.1","3.4","2.1"
"selectors-3","E:nth-last-of-type","Nlastchildoftype","525","9.0","12","1.9.1","3.4","2.1"
"selectors-3","E:target","Target","525","9.0","12","1.3","2.5","3.4"
"selectors-3","E:enabled","Enabledstate","525","9.0","12","1.8","2.0","3.4"
"selectors-3","E:disabled","Disabledstate","2.0","525","9.0","12","1.8","3.4"
"selectors-3","E:checked","Checkedstate","2.0","525","9.0","12","1.0","3.4"
"selectors-4","E:indeterminate","Indeterminatestate","9.0","12","1.9.2","522","No","No"
"selectors-4","E:default","Default","No","No","1.9","Yes","4.3","2.0"
"selectors-4","E:valid","Valid","10.0","12","1.8","Yes","2.0","No"
"selectors-4","E:invalid","Invalid","10.0","1.8","Yes","No","12","2.0"
"selectors-4","E:in-range","Inrange","No","1.8","13","No","Yes","2.0"
"selectors-4","E:out-of-range","Outofrange","No","Yes","1.8","13","No","2.0"
"selectors-4","E:required","Required","10.0","12","2.0","No","Yes","2.0"
"selectors-4","E:optional","Optional","10.0","2.0","Yes","12","2.0","No"
"selectors-4","E:read-only","Read-only","No","13","Experimental","No","Incorrect","Incorrect"
"selectors-4","E:read-write","Readandwrite","No","Experimental","No","Incorrect","Incorrect","13"
"selectors-4","E:not(s1,s2)","Negations","No","No","No","No","No","No"
"selectors-4","E:matches(s1,s2)","No","No","Matches-any","No","No","No","No"
"selectors-4","E:has(s1)","No","No","Relationalpseudo-class","No","No","No","No"
"selectors-4","E:dir(ltr)","No","No","Directionality","No","No","No","17"
"selectors-4","E:lang(zh,*-hant)","No","No","Languages","No","No","No","No"
"selectors-4","E:any-link","No","No","Hyperlink","No","No","No","50.0"
"selectors-4","E:local-link","No","No","Locallink","No","No","No","No"
"selectors-4","E:local-link(0)","No","No","No","Locallink","No","No","No"
"selectors-4","E:scope","No","No","Contextualreference","No","No","No","20"
"selectors-4","E:current","No","No","Time-dimensional:current","No","No","No","No"
"selectors-4","E:current(s)","No","No","No","Time-dimensional:current","No","No","No"
"selectors-4","E:past","No","No","No","Time-dimensional:past","No","No","No"
