"Application","Developer","Platform","Latestrelease","Latestrelease","License","3Dsupport?","UserInterfaceLanguage(s)","Supportedformat(s)"
"Application","Developer","Platform","Version","License","3Dsupport?","UserInterfaceLanguage(s)","Supportedformat(s)","Date"
"Caddie","AdvancedComputerSolutions","Windows","14","","Proprietary","Yes","EN","DXF,DWG,DRW"
"LibreCAD","LibreCAD","POSIX","2.1.3","2016-09-23(2016-09-23)","GPL-2.0-only","No","CN,EN,ES,FR,DE,HU,IT,JP,RU,other","DXF"
"LibreCAD","LibreCAD","Windows","2.1.3","2016-09-23(2016-09-23)","GPL-2.0-only","No","CN,EN,ES,FR,DE,HU,IT,JP,RU,other","DXF"
"LibreCAD","LibreCAD","Other","2.1.3","2016-09-23(2016-09-23)","GPL-2.0-only","No","CN,EN,ES,FR,DE,HU,IT,JP,RU,other","DXF"
"VariCADViewer","VariCAD","Linux","v2.03","2019","Proprietary","Yes","EN,DE,JP,PT,CN","DWG(2D),DXF(2D),STEP(3D)"
"VariCADViewer","VariCAD","Windows","v2.03","2019","Proprietary","Yes","EN,DE,JP,PT,CN","DWG(2D),DXF(2D),STEP(3D)"
"VariCADViewer","VariCAD","Other","v2.03","2019","Proprietary","Yes","EN,DE,JP,PT,CN","DWG(2D),DXF(2D),STEP(3D)"
"WorkXPlore3D","Sescoi","Windows","1.7","2009","Proprietary","Yes","EN,FR,DE,ES,IT,JP,CN","DWG,DXF,IGES,STEP,STL,UNISURF,3DWorkNC,XDW,Parasolid,SolidWorks,Pro/E,CatiaV4,CatiaV5,UGS,ISOtoolpaths,CADDS,SolidEdge"
