"Maker","Model","Introyear","Screensize(inch)","Self-lit","Screentype","Dimensions(HxWxD)","Weight","Screenpixels","Pixeldensity(inpixelsperinch)","Touchscreen","ButtonforPage-turn","Wirelessnetwork","Text-to-speech","Folders","Internalstorage","microSDHC","Webbrowser","LibraryDRMcompatible","USBContentManagement","HeadphoneJack","Waterproof"
"Amazon.com","KindleOasisWi-Fi/3G","2016","6in7in","Yes","EInkCarta","","131g(4.6oz)(6in,nocover)194g(6.8oz)(7in,nocover)","1080x14401264x1680","300ppi","2-Point","Yes,oneside","Wi-Fi/CDMA,GSM","No","Collections","4,8or32GB(8.0GB)","No","Yes","USonly","No","",""
"Amazon.com","KindlePaperwhite(3rdgeneration)Wi-Fi/3G","2015","6in","Yes","EInkCarta","","207g(7.3oz)","1080x1430","300ppi","2-Point","No","Wi-Fi/CDMA,GSM","No","Collections","4GB(3.25GB)","No","Yes","USonly","No","",""
"Amazon.com","KindleVoyage","2014","6in","Yes","EInkCarta","","180g(6.3oz)","1080x1430","300ppi","2-Point","Sensorsonbothsides","Wi-Fi/CDMA,GSM","No","Collections","4GB(3.25GB)","No","Yes","USonly","No","",""
"Amazon.com","Kindle(7thgeneration)","2014","6in","No","EInkPearl","","191g(6.7oz)","600×800","167ppi","Yes","No","Wi-Fi","No","Collections","4GB(3.25GB)","No","Yes","USonly","No","",""
"Barnes&Noble","NookSimpleTouchwithGlowLight","2012","6in","Yes","EInkPearl","","212g(7.5oz)","600×800","167ppi","Yes","Yes","Wi-Fi","No","Yes","2GB","Yes","Yes,hiddenwebbrowser","Yes","No","",""
"Barnes&Noble","NookGlowLight","2013","6in","Yes","EInkPearl","","175g(6.2oz)","758×1024","212ppi","Yes","No","Wi-Fi","No","Yes","4GB(2.5GBusable)(512MBforusercontent)","No","Yes","Yes","Yes","",""
"Barnes&Noble","NookGlowLightPlus","2015","6in","Yes","EInkCarta","","195g(6.9oz)","1080×1430","300ppi","Yes","No","Wi-Fi","No","Yes","4GB(2.5GBusable)(512MBforusercontent)","No","Yes","Yes","Yes","",""
"Barnes&Noble","NookGlowlight3","2017","6in","Yes","EInkCarta","","195g(6.9oz)","1072×1448","300ppi","Yes","Yes","Wi-Fi","No","Yes","8GB(6.5GBusable)","No","Yes","Yes","Yes","",""
"Barnes&Noble","NookGlowLightPlus7.8","2019","7.8in","Yes","EInkCarta","","195g(6.9oz)","1404x1872","300ppi","Yes","Yes","Wi-Fi","No","Yes","8GB(6.5GBusable)","No","Yes","Yes","Yes","Yes","Yes"
"Bookeen","CybookOdysseyHDFrontLight","2012","6in","Yes","EInkPearl+HSIS","","212g(7.5oz)","758×1024","212ppi","Yes","Yes","Wi-Fi(n)","No","Yes","2GB","Yes","Yes","Yes","No","",""
"Bookeen","CybookOdyssey","2013","6in","No","EInkPearl+HSIS","","180g(6.35oz)","600×800","167ppi","Yes","Unknown","Wi-Fi(n)","No","Yes","2GB","Yes","Yes","Yes","No","",""
"Bookeen","CybookOrizon","2010","6in","No","SiPix","","245g(8.6oz)","600×800","167ppi","Yes","Yes","Wi-Fi(n),Bluetooth2.1+EDR","No","Yes","2GB","Yes","Yes","Yes","No","",""
"Bookeen","CybookMuseHD","2016","6in","Yes","EInkCarta","","180g(6.3oz)","1072×1448","300ppi","Yes","Yes","Wi-Fi(b/g/n)","No","Yes","8GB","Yes","Yes","Yes","No","",""
"Boyue","T62+","2015","6in","Yes","EInkCarta+front-light","","222g(7.83oz)","758×1024","212ppi","Yes","Yes","Wi-Fi(n)","Yes*","Yes","8GB","Yes","Yes","Yes","Yes","",""
"bqreaders[es]","Movistarebook","2011","6in","No","AUO+SiPix","","244g(8.6oz)","600×800","167ppi","Yes","Unknown","Wi-Fi","Unknown","Unknown","2GB","upto16GB","Yes","Yes","No","",""
"Tolino","tolinoshine3","2018","6in","Yes","EInkCarta","110,2x156,4x8,35mm","166g","768×1024","212ppi","Yes","No","Wi-Fi(b/g/n)","No","Yes","8GB(6GBavailableforuser)+25GBtolinocloud","No","Yes","Yes","Yes","",""
"Tolino","tolinopage2","2019","6in","Yes","EInkCarta","112,5x159,8x9,1mm","166g","1072×1448","300ppi","Yes","No","Wi-Fi(b/g/n)","No","Yes","8GB(6GBavailableforuser)+25GBtolinocloud","No","Yes","Yes","Yes","",""
"Tolino","tolinovision5","2019","7in","Yes","EInkCarta","158,6×144,2×5,2mm","195g","1264×1680","300ppi","Yes","Yes","Wi-Fi(b/g/n)","No","Yes","8GB(6GBavailableforuser)+25GBtolinocloud","No","Yes","Yes","Yes","",""
