"","Union","Intersect","Except","Innerjoins","Outerjoins","Innerselects","Mergejoins","BlobsandClobs","CommonTableExpressions","WindowingFunctions","ParallelQuery","System-versionedTables"
"4thDimension","Yes","Yes","Yes","Yes","Yes","No","No","Yes","?","?","?","?"
"ADABAS","Yes","?","?","?","?","?","?","?","?","?","?","?"
"AdaptiveServerEnterprise","Yes","?","?","Yes","Yes","Yes","Yes","Yes","?","?","Yes","?"
"AdvantageDatabaseServer","Yes","No","No","Yes","Yes","Yes","Yes","Yes","?","No","?","?"
"Altibase","Yes","Yes","Yes,viaMINUS","Yes","Yes","Yes","Yes","Yes","No","No","No","?"
"ApacheDerby","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","No","No","?","?"
"ClustrixDB","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","?"
"CUBRID","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?"
"DB2","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"EmpressEmbeddedDatabase","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"EXASolution","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","?"
"Firebird","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"HSQLDB","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?"
"H2","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","experimental","Yes","?","?"
"InformixDynamicServer","Yes","Yes","Yes,viaMINUS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Ingres","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","?","?"
"InterBase","Yes","?","?","Yes","Yes","?","?","Yes","?","?","?","?"
"LinterSQLRDBMS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"LucidDB","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","?","?","?"
"MariaDB","Yes","10.3+","10.3+","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"MaxDB","Yes","?","?","Yes","Yes","Yes","No","Yes","?","?","?","?"
"MicrosoftAccess(JET)","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","?","?"
"MicrosoftVisualFoxpro","Yes","?","?","Yes","Yes","Yes","?","Yes","?","?","?","?"
"MicrosoftSQLServer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MicrosoftSQLServerCompact(EmbeddedDatabase)","Yes","No","No","Yes","Yes","?","No","Yes","No","No","?","?"
"MimerSQL","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","No","No","?"
"MonetDB","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"MySQL","Yes","No","No","Yes","Yes","Yes","No","Yes","8+","8+","No","No"
"OpenBaseSQL","No","No","No","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"OpenLinkVirtuoso","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?","?","Yes","?"
"Oracle","Yes","Yes","Yes,viaMINUS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"OracleRdb","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"PervasivePSQL","Yes","No","No","Yes","Yes","?","?","Yes","No","No","No","?"
"PolyhedraDBMS","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","?"
"PostgreSQL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"RaimaDatabaseManager","No","No","No","Yes","Yes","No","No","Yes","No","No","No","?"
"RDMServer","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","?"
"SAPHANA","?","?","?","?","?","?","?","?","?","?","?","?"
"solidDB","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","?"
"SQLAnywhere","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"SQLite","Yes","Yes","Yes","Yes","LEFTonly","Yes","No","Yes","3.8.3+","3.25+","No","No"
"SQreamDB","ALLonly","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","?"
"Teradata","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"UniVerse","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","?","?"
"","Union","Intersect","Except","Innerjoins","Outerjoins","Innerselects","Mergejoins","BlobsandClobs","CommonTableExpressions","WindowingFunctions","ParallelQuery","System-versionedTables"
