"Type","Sensor","Class","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021","2021"
"Type","Sensor","Class","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSLR","MF","Professional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","645D","645D","645D","645D","645D","645D","645D","645D","645D","645D","645D","645D","645D","645D","645D","645D","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z","645Z"
"DSLR","FF","","","","Professional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K-1","K-1","K-1","K-1","K-1","K-1","K-1","","K-1II","K-1II","K-1II","K-1II","K-1II","K-1II","K-1II","K-1II","K-1II","K-1II","K-1II","K-1II","K-1II","K-1II","K-1","K-1II"
"DSLR","APS-C","High-end","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K-3II","K-3II","K-3II","K-3II","K-3II","K-3II","K-3II","K-3II","K-3II","K-3II","K-3II","","","","","","","","","","","","","K-3III","K-3III","K-3III"
"APS-C","","","","High-end","","","","DSLR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K-3","K-3","K-3","K-3","K-3","K-3","K-3","K-3","K-3","K-3","K-3","K-3","","","","","","","","","K-3","","","","","","","","","","","","","",""
"APS-C","DSLR","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","K-7","K-7","K-7","K-7","K-7","","K-5","K-5","K-5","K-5","K-5","K-5","K-7","K-5II/K-5IIs","K-5II/K-5IIs","K-5II/K-5IIs","K-5II/K-5IIs","K-5II/K-5IIs","K-5II/K-5IIs","K-5II/K-5IIs","K-5II/K-5IIs","K-5II/K-5IIs","K-5","","","","K-5II/K-5IIs","","","","","","","","","","","","","","","","","","","","","","","","",""
"Advanced","","APS-C","*istD","*istD","*istD","*istD","*istD","*istD","*istD","*istD","*istD","*istD","*istD","DSLR","K10D","K10D","K10D","K10D","K10D","","K20D","K20D","K20D","K20D","K20D","K20D","*istD","K10D","","","","K20D","","","","","","","","","","","","","","","","","","","","","","","","","KP","KP","KP","KP","KP","KP","KP","KP","KP","KP","KP","KP","KP","KP","KP","KP","","","","","KP",""
"APS-C","DSLR","","","","Midrange","","","","","","","","","","K100D","K100D","K100D","K100D","","100DS","K100D","K200D","K200D","K200D","100DS","","","","K200D","","","","","","","","","","K-30","K-30","K-30","K-30","","K-50","K-50","K-50","K-50","K-50","K-50","K-50","K-50","K-50","K-50","K-50","K-30","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-70","K-50","K-70"
"APS-C","DSLR","","","","Entry-level","","","*istDS","*istDS","*istDS","","*istDS2","*istDS2","*istDS2","*istDS2","*istDS","*istDS2","","","","","","","","","","","","","","","","K-r","K-r","K-r","K-r","K-r","K-r","","","K-r","","","K-500","K-500","K-500","K-500","K-500","","K-S2","K-S2","K-S2","K-S2","K-S2","K-S2","K-S2","K-S2","K-S2","K-S2","K-S2","K-S2","K-500","","","K-S2","","","","","","","","","","","","",""
"Entry-level","","","","APS-C","","","","DSLR","","*istDL","*istDL","","DL2","","K110D","K110D","K110D","*istDL","","DL2","","","K110D","K-m/K2000","K-m/K2000","K-m/K2000","K-m/K2000","","K-x","K-x","K-x","K-x","","","","K-m/K2000","","","","K-x","","","","","","","K-S1","K-S1","K-S1","K-S1","K-S1","K-S1","K-S1","","","","","","","K-S1","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MILC","APS-C","K-mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K-01","K-01","K-01","K-01","K-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MILC","1/1.7""","Q-mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Q7","Q7","Q7","Q7","Q7","Q7","Q7","Q7","Q7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/1.7""","","","","Q-mount","","","","MILC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","Q-S1","","","","","","","","Q-S1","",""
"MILC","Q-mount","","","","1/2.3""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Q","Q","Q","Q","","Q10","Q10","Q10","Q10","Q10","Q10","Q10","Q10","Q","Q10","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSLR","Prototypes","Prototypes","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)","MZ-D(2000)645DPrototype(2006)AP50thAnniv.(2007)"
"Type","Sensor","Class","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Type","2003","2003","2003","Sensor","2004","2004","2004","Class","2005","2005","2005","2003","2006","2006","2006","2004","2007","2007","2007","2005","2008","2008","2008","2006","2009","2009","2009","2007","2010","2010","2010","2008","2011","2011","2011","2009","2012","2012","2012","2010","2013","2013","2013","2011","2014","2014","2014","2012","2015","2015","2015","2013","2016","2016","2016","2014","2017","2017","2017","2015","2018","2018","2018","2016","2019","2019","2019","2017","2020","2020","2020","2018","2021","2021","2021","2019","2020","2021"
