"Country","OfficialName","Acronym","Founded","Terminated","Capabilities","Capabilities","Capabilities","Capabilities","Remarks"
"Country","OfficialName","Acronym","Founded","Terminated","Astronauts","Remarks","OperatesSatellites","SoundingRocketscapable","RecoverableBiologicalSoundingRocketscapable"
"Bangladesh","SpaceResearchandRemoteSensingOrganization","SPARRSO","1980","—","No","Yes","No","No",""
"People'sRepublicofChina","ChinaNationalSpaceAdministration(Chinese:国家航天局)","CNSA","22April1993","—","Yes","Yes","Yes","Yes",""
"India","IndianSpaceResearchOrganisation(Hindi:भारतीयअंतरिक्षअनुसंधानसंगठन)","ISROइसरो","15August1969","—","Yes","Yes","Yes","Yes",""
"Indonesia","Indonesian:LembagaAntariksadanPenerbanganNasional(NationalInstituteofAeronauticsandSpace)","LAPAN","27November1964","—","Yes","Yes","Yes","No",""
"Iran","IranianSpaceAgency(Persian:سازمانفضاییایران)","ISA","2003","—","Yes","Yes","Yes","Yes",""
"Israel","IsraeliSpaceAgency(Hebrew:סוכנותהחללהישראלית)","ISAסל""ה","April1983","—","Yes","Yes","Yes","No",""
"Japan","JapanAerospaceExplorationAgency(Japanese:宇宙航空研究開発機構)","JAXA","1October2003","—","Yes","Yes","Yes","Yes",""
"Malaysia","MalaysianNationalSpaceAgency(Malay:AgensiAngkasaNegara)","ANGKASA","2002","—","Yes","Yes","No","No",""
"NorthKorea","KoreanCommitteeofSpaceTechnology(Korean:조선우주공간기술위원회)","KCST","1980s","2013","No","Yes","Yes","No",""
"Pakistan","PakistanSpaceandUpperAtmosphereResearchCommission(Urdu:پاکستانخلائیوبالافضائیتحقی‍قاتیکمیشن)","SUPARCOسپارکو","16September1961","—","No","Yes","Yes","No",""
"Philippines","PhilippineSpaceAgency","PhilSA","8August2019","—","No","Yes","No","No",""
"SouthKorea","KoreaAerospaceResearchInstitute(Korean:한국항공우주연구원)","KARI","10October1989","—","Yes","Yes","Yes","No",""
"RepublicofChina","NationalSpaceOrganization(Chinese:國家太空中心)","NSPO","3October1991","—","No","Yes","Yes","No",""
"Thailand","Geo-InformaticsandSpaceTechnologyDevelopmentAgency(Thai:สำนักงานพัฒนาเทคโนโลยีอวกาศและภูมิสารสนเทศ)","GISTDAสทอภ","3November2002","—","No","Yes","No","No",""
