"Cardfamily","Standardsorganizations","Varieties","Entrydate","Maximumcommerciallyavailablecapacity","Picture","Mainfeatures"
"CompactFlash","SanDisk","I","1994","512GB(CF5128*2bytes)","","Thinner(3.3mm),flashonly,nowupto512GB,althoughstandardgoesupto128PBsinceCF5.0"
"CompactFlash","SanDisk","II","1994","512GB(CF5128*2bytes)","","Thicker(5.0mm),olderflash,butusuallyMicrodrives,upto128PiB"
"CFexpress","CompactFlashAssociation","1.0","2017","1TB","","CFexpressTypeB:XQDformfactor(38.5x29.8x3.8mm),PCIe3.0x2(1.97GB/s),NVMe"
"CFexpress","CompactFlashAssociation","2.0","2019","?","","CFexpressTypeA:20x28x2.8mm,PCIe3.0x1(1.0GB/s),NVMeCFexpressTypeC:54x74x4.8mm,PCIe3.0x4(4.0GB/s),NVMe"
"CFexpress","CompactFlashAssociation","-","-","-","-","PCIe3.0x8(8,0GB/s),NVMe"
"SmartMedia","Toshiba","3.3/5V","1995","128MB","","Veryslim(45.0×37.0×0.76mm),nowearlevelingcontroller,upto128MB.Thisparticularexampleshowsthewriteprotectsticker(thesilverdisc)."
"MultiMediaCard","SiemensAG,SanDisk","MMC","1997","16GB","","Slimandsmall(24×32×1.4mm),upto16GB"
"MultiMediaCard","SiemensAG,SanDisk","RS-MMC/MMCMobile","2003/2005","16GB","","Compact(24×18×1.4mm),upto16GB"
"MultiMediaCard","SiemensAG,SanDisk","MMCplus","2005","16GB","","Compact(24×32×1.4mm),swifter,optionalDRM,upto16GB"
"MultiMediaCard","SiemensAG,SanDisk","MMCmicro","2005","4GB","","Subcompact(14×12×1.1mm),optionalDRM,16MBto4GB"
"SecureDigital","SanDisk,Panasonic,Toshiba,Kodak,SDAssociation","SD","1999","4GB","","Small(32×24×2.1mm),DRM,upto4GB.(2GBand4GBcardsuselargerblocksizesandmaynotbecompatiblewithsomehostdevices.SeeArticle)"
"SecureDigital","SanDisk,Panasonic,Toshiba,Kodak,SDAssociation","miniSD","2003","4GB","","Compact(21.5×20×1.4mm),DRM,upto4GB.(2GBand4GBcardsuselargerblocksizesandmaynotbecompatiblewithsomehostdevices.SeeArticle)"
"SecureDigital","SanDisk,Panasonic,Toshiba,Kodak,SDAssociation","microSD","2005","4GB","","Subcompact(15×11×1mm),DRM,upto4GB.(2GBand4GBcardsuselargerblocksizesandmaynotbecompatiblewithsomehostdevices.SeeArticle)"
