"Codename","Model","Year","ProcessorsSupported","Fabricationprocess(nm)","FSB/QDRFrequency(MHz)","CrossfireEnabled","Features","Southbridge","NB-SBInterface","Notes"
"RS200L","IGP330","2002","Pentium4(Northwood,Prescott)","180","400","No","RadeonVE(7000)IGP150MHz,AGP4x,upto1GiBofDDR-200or266","ATIIXP200/IXP250,VIAVT82C686B,ALIM1535D+","A-Link/PCI","HydraVision,VideoImmersion,TV-out"
"RS200","IGP340","2002","Pentium4(Northwood,Prescott)","180","533/400","No","RadeonVE(7000)IGP183MHz,AGP4x,upto1GiBofDDR-200or266","ATIIXP200/IXP250,VIAVT82C686B,ALIM1535D+","A-Link/PCI","HydraVision,VideoImmersion,TV-out"
"RS200MrevA","IGP340M","533/400","RadeonVE(7000)IGP183MHz,AGP4x,upto1GiBofDDR-200or266","2002","Pentium4-M","180","ATIPowerPlay,HydraVision,VideoImmersion,TV-out","No","ATIIXP200/IXP250,VIAVT82C686B,ALIM1535D+","A-Link/PCI"
"RS200M+","IGP345M","Pentium4-M","ATIPowerPlay,HydraVision,VideoImmersion,TV-out","533/400","RadeonVE(7000)IGP183MHz,AGP4x,upto1GiBofDDR-200or266","2002","180","No","ATIIXP200/IXP250,VIAVT82C686B,ALIM1535D+","A-Link/PCI"
"RS200MrevB","IGP350M","533/400","RadeonVE(7000)IGP183MHz,AGP4x,upto1GiBofDDR-200or266","2003","PentiumM","180","","No","ATIIXP200/IXP250,VIAVT82C686B,ALIM1535D+","A-Link/PCI"
"RS250M","IGP7000(IGP360)","533/400","2003","Pentium4-MHT,Pentium4,PentiumM","180","RadeonVE(7000)IGP183MHz,AGP4x,upto4GiBofDDR-200,266or333","No","ATIPowerPlay2.0,HydraVision,VideoImmersion,TV-out","ATIIXP200/IXP250,VIAVT82C686B,ALIM1535D+","A-Link/PCI"
"RS350","ATIRadeon9100PROIGP","2004","","","800","No,AGP8x","Radeon9100IGP","IXP150,IXP200,IXP300","","DualChannelMemory"
"RC350","ATIRadeon9000PROIGP","2004","","","800","No,AGP8x","Radeon9000IGP","IXP150,IXP200,IXP300","","SingleChannelMemory"
"RX330","","","","","800","No,AGP8x","AsRS350withoutIGP","IXP150,IXP200,IXP300","",""
"RX320M","","","","","","","","","","Mobilechipset,PowerPlay"
"RS400RS415RC400RC410","ATIRadeonXpress1150(originallynamedATIRadeonXpress200forIntel)IntelEssentialSeriesD101GCC/D102GCC(GrandCountry)","Mar112005","Pentium4,Core2,IntelCore2QuadQ6600(SLACR)","","1066","No","RadeonX300IGP","","",""
"RS600","ATIRadeonXpress1250","Aug292006","Pentium4,Core2","80","1066","No","RadeonX700IGP,500MHz","","","AVIVO,HDMIwithHDCP,DualChannelMemory"
"RD600","ATIRadeonCrossFireXpress3200","Sep272006","Pentium4,Core2","","1066","Yes,Dualx8","","","","DualChannelMemory"
"Codename","Model","Year","ProcessorsSupported","Fabricationprocess(nm)","FSB/QDRFrequency(MHz)","CrossfireEnabled","Features","Southbridge","NB-SBInterface","Notes"
