"Name","CurrentStableVersion","Language(s)","SQLsupport","Datatypes","License","Description"
"Caché","2017.2.1","CachéObjectScript(dynamiclanguage),Basic.Java/.NETobjectmappingsupported.","SQLsubset.Objectnotationallowed.SupportsembeddedSQL,dynamicSQLandxDBCaccess.","","Proprietary","MUMPSancestry.Includesbuilt-insupportforXML,Web/AJAXandanEMBsystemcalledEnsemble.Supportsembedded,client/serveranddistributedimplementations."
"ConceptBase","8.1.13(2019-12-09)","Telos","CBQL(basedonDatalog)","notypesbutclasses","opensource,FreeBSD-stylelicense","historicaldb,activerules,meta-modeling,deductiverules"
"Db4o","8.0(2011-03-09)","C#,Java","db4o-sql",".NETandJavadatatypes","GPL,custom,proprietary","NativeQueries,LINQsupport,automaticschemaevolution,TransparentActivation/Persistence,replicationtoRDBMS,ObjectManagerpluginforVisualStudioandEclipse"
"GemStone/S","3.6.0","Smalltalk","None","Objectsandcode","Proprietary,freeversionavailable","Persistent,transactional,multi-userSmalltalkdevelopedbyGemTalkSystems."
"ObjectDatabase++","4.4(2015-07-03)","C++,TScript","","","Proprietary","Embedded"
"ObjectDB","2.4.6","Java","None,usesJPAorJDO","","Proprietary",""
"ObjectFile","4.14","C++,XML","None","Objects,References,BLOB's,Ctypes.","MITLicense","Veryfastloading.Fullsourcecodeforeasyportinganddebugging.Databaseversioningsupported.Byteorderconversionsupportedforcross-platformsupport.Memoryefficient.Objectscanbeinoroutofmemory.BinaryLargeObject(BLOB)support.XMLobjectandfulldatabaserepresentationcanbegenerated.Importandexportobjectsfromxml.Proveninalargedesktopapplication.Smallfootprint.Databasefilescanbesmallorverylarge.Cross-platformandportable.Portablefileformat.Opensourceandfreetouse.",""
"Objectivity/DB","10.2.1","C++,C#,Java,Python,SmalltalkandXML","SQLsuperset","","Proprietary","Distributed,ParallelQueryEngine"
"ObjectStore","7.2(July2011)","C++,Java,interoperablewith.NET","SQLsubset(alsohasownobjectquerylanguage)","","Proprietary","Embeddeddatabasesupportingefficient,distributedmanagementofC++andJavaobjects.AvoidsthecomplexitiesandlimitationsofORMproductssuchasHibernatebystoringobjectsdirectlywiththeirrelationshipsintact.Usesapage-basedmappingsystemforfastlockingandefficient,distributed,client-sidecaching."
"ODABA","12.3.0(August2013)","C++,.NET","SQLsubset,DQL","BasicTypes,Classes,Multipleinheritance,WeakTyped","GPL","Terminology-orienteddatabase"
"OpenAccess","2.2","C++","no","","Proprietary","EDAdatabase"
"OpenLinkVirtuoso","7.2.5.1","C++,Java/JSP,ASP,ASPX,Mono,RDF,SPARQL,SPARUL,SQL,Perl,Python,PHP,Ruby,XML,ODBC,JDBC,ADO.NET,more","SQL9x/200x","","GPLorproprietary",""
"Perst","Java:4.38(2015-03-18)C#:4.46(2014-08-23)","Java(includingJavaSE,JavaME&Android),C#(including.NET,.NETCompactFramework,Mono&Silverlight)","JSQL-object-orientedsubsetofSQL","Javaand.NETdatatypes","GPL,Proprietary","Smallfootprintembeddeddatabase.Diverseindexesandspecializedcollectionclasses;LINQ;replication;ACIDtransactions;nativefulltextsearch;includesSilverlight,AndroidandJavaMEdemoapps."
"Picolisp","3.1.1","Picolisp","","","MITLicense","DBbuiltintothelanguage"
"VersantObjectDatabase/JPA/FastObjects","9.1/3.0/12.0(2015-10-21)","C++/Java/C#","OQL(ODMG3.0)","","Proprietary",""
"WakandaDB","4","JavaScript,C++","Nosupport.RESTandSSJScanbeusedinstead.","JavaScriptand4Ddatatypes","AGPL,proprietary","NoSQLREST/Server-SideJavaScriptengine.IntegratesWebkitJavaScriptCoreenginewithHTML5JSAPIssupportedontheserver.TablesandcolumnsarereplacedbyJavaScriptDataClassesandattributes."
"ZopeObjectDatabase","","Python,C","Nosupport.ObjectindexingandsearchingisdonethroughZCatalogfacility.","","ZopePublicLicense",""
