"","MSHTML","EdgeHTML","Gecko","WebKit","Presto"
"mainelement","No","12","21.0","Yes","No"
"templateelement","No","13","No","Yes","No"
"SelectorsAPI","4.0","12","1.9.1","525","2.2"
"WebStorage","4.0","12","1.9.1","525","2.5"
"IndexedDatabaseAPI","5.0","12","16.0","Partial","No"
"WebSQLDatabase(obsolete)","No","No","No","Yes","2.5"
"FileAPI","5.0","12","Yes","Yes","2.8"
"FileAPI:Writer","5.0","No","No","Partial","No"
"FileAPI:DirectoriesandSystem","No","No","No","Yes","No"
"MediaCaptureAPI","No","No","2.0","No","2.10"
"Server-sentevents","No","No","6.0","Yes","2.7"
"WebSocket","6.0","12","11.0","533","2.11"
"WebWorkers","6.0","12","1.9.1","Yes","2.6"
"GeolocationAPI","5.0","12","1.9.1","533","2.6"
"OfflineWebapplications","6.0","12","1.9.1","Yes","2.6"
"WebNotifications","No","No","22.0","onlyinChrome","25"
"","MSHTML","EdgeHTML","Gecko","WebKit","Presto"
