"Audioplayer","asx,wax,wvx","M3U","pls","XSPF","CUE","SMIL"
"AIMP","Yes","Yes","Yes","Yes","Yes","?"
"Amarok","Yes","Yes","Yes","Yes","Yes","?"
"Audacious","Partial","Yes","Yes","Yes","Yes","Partial"
"Audion","No","No","No","?","?","No"
"Clementine","Yes","Yes","Yes","Yes","Yes","?"
"cmus","No","Yes","Yes","No","?","?"
"Cog","?","?","?","?","?","?"
"Exaile","Yes","Yes","Yes","Yes","?","?"
"foobar2000","Yes","Yes","Yes","Yes","Yes","?"
"iTunes","No","Yes","?","?","No","?"
"JRiverMediaCenter","Yes","Yes","Yes","Yes","Yes","?"
"JuK","?","?","?","?","?","?"
"MediaMonkey","?","Yes","?","No","?","?"
"MPXPLAY","?","Yes","Yes","?","Yes","?"
"MusicBee","Yes","Yes","Yes","Yes","Yes","?"
"MusicmatchJukebox","?","Yes","?","?","?","?"
"musikCube","?","?","?","?","?","?"
"QuodLibet","Partial","Yes","Yes","No","?","?"
"Rhapsody","?","?","?","?","?","?"
"Rhythmbox","?","?","Yes","?","No","?"
"SayonaraPlayer","?","Yes","?","?","?","?"
"Sonique","?","Yes","Yes","?","?","?"
"Spotify","No","No","No","No","No","?"
"Winamp","Yes","Yes","Yes","Yes","?","?"
"XMMS","?","Yes","Yes","?","?","?"
"Zinf","?","?","?","No","?","?"
"Audioplayer","asx/wax/wvx","M3U","pls","XSPF","CUE","SMIL"
