"Client","Developer","Initialrelease","Latestrelease","Latestrelease","License","Copyfilesover2GB"
"Client","Developer","Initialrelease","Version","License","Copyfilesover2GB","Date"
"CoreFTP","CoreFTP.com","2003","2.2(build1751)","2012-06-27","Freeware","Yes"
"Fetch","FetchSoftworks","1989","5.7.7","2017-12-02","Proprietary","Yes"
"SecureFTP","GlubTech","1999","2.6.2","2013-07-27","Apache","Yes"
"SysaxFTPAutomation","Codeorigin,LLC","2005","5.31","2012-04-12","Proprietary","Yes"
