"Name","CBCw/predictableIVs","CBCw/secretIVs","CBCw/randomper-sectorkeys","LRW","XTS","Authenticatedencryption"
"AloahaCryptDisk","No","No","No","Yes","Yes","?"
"ArchiCryptLive","No","No","No","Legacysupport","Yes","?"
"BestCrypt","No","Yes","No","Yes","Yes","?"
"BitArmorDataControl","No","Yes","Plumb-IV","No","No","?"
"BitLocker","No","Yes","No","No","Yes,Windows1010547+","?"
"BloombaseStoreSafe","Yes","Yes","Yes","Yes","Yes","?"
"CGD","No","Yes","No","No","No","?"
"CenterToolsDriveLock","?","?","?","?","?","?"
"CheckPointFullDiskEncryption","No","No","Yes","Yes","Yes","?"
"CipherShed","Legacysupport","No","No","Legacysupport","Yes","?"
"CrossCrypt","Yes","No","No","No","No","?"
"CryFS","No","No","Yes","No","No","?"
"CryptArchiver","?","?","?","?","?","?"
"CrypticDisk","No","No","No","No","Yes","No"
"Cryhod","No","Yes","No","No","No","?"
"Cryptoloop","Yes","No","No","No","No","No"
"DiskCryptor","No","No","No","No","Yes","?"
"Dm-crypt/LUKS","Yes","Yes","No","Yes,using*-lrw-benbi","Yes,using*-xts-plain","Yes,using--integritymode"
"DriveCrypt","?","?","?","?","?","?"
"DriveSentryGoAnywhere2","?","?","?","?","?","?"
"E4M","?","?","?","No","No","?"
"e-CapsulePrivateSafe","?","?","?","?","?","?"
"eCryptfs","No","Yes","?","No","No","?"
"EgoSecureHDDEncryption","No","Yes","No","No","No","?"
"FileVault","Yes","No","No","No","No","?"
"FileVault2","No","No","No","No","Yes","?"
"FREECompuSec","Yes","No","No","No","No","?"
"FreeOTFE","Yes","Yes","No","Yes","Yes","No"
"GBDE","No","No","Yes","No","No","?"
"GELI","No","Yes","No","No","Yes","Yes,using-aoption"
"Loop-AES","single-key,multi-key-v2modes","multi-key-v3mode","No","No","No","No"
"McAfeeDriveEncryption(SafeBoot)","No","Yes","No","No","No","?"
"n-CryptPro","?","?","No","No","No","?"
"PGPDisk","?","?","?","?","?","?"
"PrivateDisk","No","Yes","No","No","No","?"
"ProxyCrypt","No","No","No","No","Yes","?"
"R-Crypto","?","?","?","?","?","?"
"SafeGuardEasy","?","?","?","?","?","?"
"SafeGuardEnterprise","?","?","?","?","?","?"
"SafeGuardPrivateDisk","?","?","?","?","?","?"
"SafeHouseProfessional","Yes","No","No","No","No","?"
"Scramdisk","No","Yes","No","No","No","?"
"Scramdisk4Linux","No","Yes","No","Yes","Yes","?"
"SecuBox","Yes","No","No","No","No","?"
"SecureDoc","?","?","?","?","?","?"
"Sentry2020","?","?","?","?","?","?"
"SeqriteEncryptionManager","No","Yes","No","Yes","Yes","?"
"Softraid/RAIDC","?","?","?","?","Yes","?"
"Svnd/Vnconfig","?","?","?","?","?","?"
"SymantecEndpointEncryption","No","No","Yes","No","No","?"
"TrueCrypt","Legacysupport","No","No","Legacysupport","Yes","No"
"USBCrypt","No","Yes","No","No","Yes","?"
"VeraCrypt","No","No","No","No","Yes","?"
"CyberSafeTopSecret","No","No","No","No","Yes","?"
"Name","CBCw/predictableIVs","CBCw/secretIVs","CBCw/randomper-sectorkeys","LRW","XTS","Authenticatedencryption"
