"Name","Developer","Firstreleasedate","Lastrelease","Lastreleasedate","License"
"ApacheMINASSHD","ApacheSoftwareFoundation","2009","2.8.0","2021-12-05","Apache-2.0"
"BitviseSSHServer","BitviseLimited","2001","8.43","2020-06-06","Proprietary,Freefornon-commercialuse"
"CopSSH","Itefix","2003-08-12","7.4.0","2020-10-01","Proprietary"
"CrushFTPServer","CrushFTP,LLC","2003-01-01","9.0.0","2018-10-30","Proprietary,shareware"
"Dropbear","MattJohnston","2003-04-06","2020.81","2020-10-29","MIT"
"lsh","NielsMöller","1999-05-23","2.1","2013-06-26","GPL-2.0-or-later"
"OpenSSH(OpenBSDSecureShell)","TheOpenBSDproject","1999-12-01","8.6","2021-04-19","BSD"
"Teleport","Gravitational","2016-06-23","4.2.9","2020-05-05","Apache-2.0"
"wolfSSH","wolfSSL","2016-07-20","1.4.8","2021-11-04","GPL-3.0-or-laterorproprietary"
