"Software","Webpages","Documents","Images","Video","Emails","Contacts","Bookreferences","Discussions","Wikipages","Databasetables","Flat-files","Notes"
"Connectbeam","Yes","Yes","No","No","Yes","No","No","No","No","No","No","none"
"Dogear","Yes","Yes","No","No","No","No","No","No","No","No","No","none"
"Jumper2.0","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","none"
"KnowledgePlaza","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","none"
"Scuttle","Yes","No","No","No","No","No","No","No","No","No","No","none"
