"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Coreconfig","Clockrate","Fillrate","Memory","SupportedAPIversion","Memory","Memory","Clockrate","Clockrate","Fillrate","Memory","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","Comments"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Coreconfig","Core(MHz)","Shader(MHz)","Memory(MHz)","Pixel(GP/s)","Texture(GT/s)","TDP(Watts)","Comments","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL","Singleprecision"
"GeForce8100mGPU","2008","MCP78","TSMC80nm","Unknown","Unknown","PCIe2.0x16","8:8:4","500","1200","400(systemmemory)","2","4","Upto512fromsystemmemory","6.412.8","DDR2","64128","10.0","3.3","28.8","Unknown","TheblockofdecodingofHD-videoPureVideoHDisdisconnected"
"GeForce8200mGPU","2008","MCP78","TSMC80nm","Unknown","Unknown","PCIe2.0x16","8:8:4","500","1200","400(systemmemory)","2","4","gt","6.412.8","DDR2","64128","10.0","3.3","28.8","Unknown","PureVideo3withVP3"
"GeForce8300mGPU","2008","MCP78","TSMC80nm","Unknown","PureVideo3withVP3","Unknown","PCIe2.0x16","8:8:4","500","1500","400(systemmemory)","2","4","Upto512fromsystemmemory","6.412.8","DDR2","64128","10.0","3.3","36","Unknown"
"GeForce8300GS","July2007","G86","TSMC80nm","210","127","PCIe1.0x16","8:8:4","450","900","400","1.8","3.6","128512","6.4","DDR2","64","10.0","3.3","14.4","40","OEMonly"
"GeForce8400GS","June15,2007","G86","210","127","PCIe1.0x16PCI","450","900","400","1.8","3.6","TSMC80nm","6.4","64","16:8:4","40","128256512","28.8","","DDR2","10.0","3.3"
"GeForce8400GSrev.2","December10,2007","G98","210","128256512","TSMC65nm","","86","PCIe2.0x16PCIex1PCI","8:8:4","400","567","1400","2.268","6.4","64","4.536","22.4","25","DDR2","10.0","3.3"
"GeForce8400GSrev.3","July12,2010","GT218","TSMC40nm","260","57","","PCIe2.0x16","8:4:4","520589","1230","400(DDR2)600(DDR3)","25","2.082.356","2.082.356","5121024","4.86.49.6","DDR2DDR3","3264","10.1","3.3","19.7"
"GeForce8500GT","April17,2007","G86","TSMC80nm","210","127","","PCIe1.0x16PCI","16:8:4","450","900","400","1.8","3.6","2565121024","12.8","DDR2","128","10.0","3.3","28.8","45"
"GeForce8600GS","April2007","G84","TSMC80nm","289","169","PCIe1.0x16","16:8:8","540","1180","400","4.32","4.32","256512","12.8","DDR2","128","10.0","75.5","47","OEMonly","3.3"
"GeForce8600GT","April17,2007","G84","289","169","PCIe1.0x16PCI","TSMC80nm","540","32:16:8","4.32","1188","400700","8.64","47","2565121024","12.822.4","DDR2GDDR3","76","","3.3","128","10.0"
"GeForce8600GTS","April17,2007","PCIe1.0x16","32:16:8","G84","289","169","675","TSMC80nm","1450","1000","","5.4","10.8","256512","32","GDDR3","92.8","71","3.3","128","10.0"
"GeForce8800GS","January2008","G92","TSMC65nm","754","324","PCIe2.0x16","96:48:12","550","GDDR3","1375","800","","6.6","26.4","384768","38.4","192","264","10.0","105","3.3"
"GeForce8800GTS(G80)","February12,2007(320)November8,2006(640)","G80","TSMC90nm","681","484","PCIe1.0x16","96:24:20","513","GDDR3","800","1188","10.3","","12.3","320640","64","320","228","146","10.0","3.3"
"GeForce8800GTS112(G80)","November19,2007","G80","TSMC90nm","681","484","PCIe1.0x16","112:28:20","500","1200","10","14","640","64","320","268.8","GDDR3","800","150","onlyXFX,EVGAandBFGmodels,veryshort-lived","3.3","10.0"
"GeForce8800GT","October29,2007(512)December11,2007(256,1024)","G92","TSMC65nm","754","324","PCIe2.0x16","112:56:16","600","GDDR3","1500","700(256)900(512,1024)","9.6","33.6","2565121024","57.6","256","336","10.0","125","3.3",""
"GeForce8800GTS(G92)","December11,2007","G92","TSMC65nm","754","324","PCIe2.0x16","128:64:16","650","1625","970","10.4","41.6","512","GDDR3","256","62.1","416","","135","3.3","10.0"
"GeForce8800GTX","November8,2006","G80","TSMC90nm","681","484","PCIe1.0x16","128:32:24","575","GDDR3","1350","900","13.8","18.4","768","86.4","384","345.6","","10.0","145","3.3"
"GeForce8800Ultra","May2,2007","G80","TSMC90nm","681","484","PCIe1.0x16","128:32:24","612","1500","1080","14.7","19.6","768","103.7","384","384","GDDR3","175","3.3","10.0",""
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Coreconfig","Core(MHz)","Shader(MHz)","Memory(MHz)","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL","Singleprecision","TDP(Watts)","Comments"
"Clockrate","Fillrate","Memory","SupportedAPIversion","Memory","Memory","Clockrate","Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Coreconfig","Clockrate","Fillrate","Memory","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","Comments"
