"Tonename","Yinlevel陰平(1)","Yinrising陰上(2)","Yindeparting陰去(3)","Yinentering陰入(4)","Yanglevel陽平(5)","Yangrising陽上(6)","Yangdeparting陽去(7)","Yangentering陽入(8)","Highrising(9)","Neutraltone(0)"
"IPA","a˥","a˥˧","a˨˩","ap˩at˩ak˩aʔ˩","a˧˥","","a˧","ap˥at˥ak˥aʔ˥","a˥˥","a˨"
"Pe̍h-ōe-jī","a","á","à","apatakah","â","","ā","a̍pa̍ta̍ka̍h","","--a"
"RevisedTLPA,TLPA","a1","a2","a3","ap4at4ak4ah4","a5","a6","a7","ap8at8ak8ah8","a9","a0"
"BP","ā","ǎ","à","āpātākāh","á","","â","ápátákáh","",""
"MLT","af","ar","ax","abadagaq","aa","aar","a","apatakah","","~a"
"DT","a","à","â","āpātākāh","ǎ","","ā","apatakah","á","å"
"Taiwanesekana(normalvowels)","アア","アア","アア","アㇷ゚アッアㇰアァ","アア","","アア","アㇷ゚アッアㇰアァ","",""
"Taiwanesekana(nasalvowels)","アア","アア","アア","アㇷ゚アッアㇰアァ","アア","","アア","アㇷ゚アッアㇰアァ","",""
"Extendedbopomofo","ㄚ","ㄚˋ","ㄚ˪","ㄚㆴㄚㆵㄚㆶㄚㆷ","ㄚˊ","","ㄚ˫","ㄚㆴ˙ㄚㆵ˙ㄚㆶ˙ㄚㆷ˙","",""
"Tâi-lô","a","á","à","ah","â","ǎ","ā","a̍h","a̋","--ah"
"Example(traditionalChinese)","公司","報紙","興趣","血壓警察中國牛肉","人員","","草地","配合法律文學歇熱","昨昏","入去"
"Example(simplifiedChinese)","公司","报纸","兴趣","血压警察中国牛肉","人员","","草地","配合法律文学歇热","昨昏","入去"
