"Vehicle","Origin","Manufacturer","Payloadmassto...(kg)","Payloadmassto...(kg)","Dateofflight","Payloadmassto...(kg)","Orbitallaunchesincl.failures","Dateofflight"
"Vehicle","Origin","Manufacturer","LEO","Orbitallaunchesincl.failures","GTO","Other","First","Latest"
"Agnibaan","India","AgniKulCosmos","100","","","0","2022",""
"Alpha","UnitedStates","FireflyAerospace","1,000","","630toSSO","1","2021","2021"
"Amur","Russia","","10,500","","","","2026",""
"Angara1.2","Russia","Khrunichev","3,500","","2,400toSSO","0","2022",""
"AngaraA5","Russia","Khrunichev","24,000","7,500withKVTK5,400withBriz-M","","3","2014","2021"
"Antares230/230+","UnitedStates","NorthropGrumman","8,200","","3,000toSSO","6","2016","2021"
"Ariane5ECA/ECA+","Europe","EADSAstrium","21,000","11,210","","79","2002","2021"
"Ariane6A62","Europe","ArianeGroup","10,350","5,000","6,450toSSO3,000toHEO3,000toTLI","0","2022",""
"Ariane6A64","Europe","ArianeGroup","21,650","11,500+","14,900toSSO5,000toGEO8,400toHEO8,500toTLI","0","2023",""
"Rocket3.2","UnitedStates","AstraSpace","100","","150toSSO","3","2020","2021"
"AtlasV401","UnitedStates","ULA","9,050","4,950","6,670toSSO","38","2002","2021"
"AtlasV411","UnitedStates","ULA","9,050","6,075","8,495toSSO","6","2006","2020"
"AtlasV421","UnitedStates","ULA","9,050","7,000","9,050toSSO","7","2007","2017"
"AtlasV431","UnitedStates","ULA","9,050","7,800","9,050toSSO","3","2005","2016"
"AtlasV501","UnitedStates","ULA","8,250","3,970","5,945toSSO1,500toGEO","6","2010","2020"
"AtlasV521","UnitedStates","ULA","13,300","6,485","9,585toSSO2,760toGEO","2","2003","2004"
"AtlasV531","UnitedStates","ULA","15,300","7,425","11,160toSSO3,250toGEO","3","2010","2020"
"AtlasV541","UnitedStates","ULA","17,100","8,240","12,435toSSO3,730toGEO","7","2011","2020"
"AtlasV551","UnitedStates","ULA","18,500","8,700","13,550toSSO3,960toGEO","11","2006","2020"
"AtlasVN22","UnitedStates","ULA","13,000","","","1","2019","2019"
"Beta","UnitedStatesUkraine","FireflyAerospace","8,000","TBA","5,800toSSO","0","TBA",""
"Bloostar","Spain","Zero2Infinity","140","","75toSSO","0","TBA",""
"BlueWhale1","SouthKorea","PerigeeAerospace","63","","50toSSO","0","TBA",""
"Ceres-1","China","GalacticEnergy","350","","270toSSO","2","2020","2021"
"Cyclone-4M","Ukraine","YuzhnoyeYuzhmash","5,000","1,000","3,350toSSO","0","2023",""
"Chetak","India","BellatrixAerospace","","","","","2023",""
"DeltaIVHeavy","UnitedStates","ULA","28,790","14,220","23,560topolar11,290toTLI8,000toTMI","11","2004","2020"
"Electron","UnitedStatesNewZealand","RocketLab","300","","200toSSO","24","2017","2022"
"Epsilon","Japan","IHI","1,500","","590toSSO","4","2013","2019"
"Eris","AustraliaSingapore","GilmourSpaceTechnologies","305","","","0","2022",""
"Falcon9FullThrust(partiallyreusable)","UnitedStates","SpaceX","16,800+","5,500","9,600topolar","109","2015","2022"
"Falcon9FullThrust(expended)","UnitedStates","SpaceX","22,800","8,300","4,020toTMI","15","2017","2020"
"FalconHeavy(partiallyreusable)","UnitedStates","SpaceX","30,000–57,000","8,000–10,000","","3","2018","2019"
"FalconHeavy(expended)","UnitedStates","SpaceX","63,800","26,700","16,800toTMI","0","–",""
"GSLVMkII","India","ISRO","5,000","2,700","","7","2010","2018"
