"System","Type","Modulation","Datarate","Sidebands?","Ch.Bandwidth(KHz)","Radiospectrum","SoundCodec","Digitalsubchannels","SFN","Metadata/RDS/RBDS"
"AMradio","Analogradio","AmplitudeModulation","N/A","?","18–20kHz","148.5-283.5kHz(Longwave)510–1610kHz(Europe)510–1710kHz(USAandCanada)","N/A","N/A","No","None"
"MotorolaC-QUAM","Analogradio(AMstereo)","QAM","N/A","?","18–20kHz","510–1610kHz(Europe510–1710kHz(USAandCanada)","N/A","N/A","No","None"
"DAB","Digitalradio","OFDM(DQPSK)","around1000kbit/s(4channelsupto256kbit/s)","?","1500kHz","VHF-High/174-240MHz,L-band/1452-1492MHz","MPEG-Layer2","Yes,typically4-6""stations""perchannel","Yes","Yes"
"DAB","Digitalradio","OFDM(DQPSK)","upto256kbit/s","?","1500kHz","VHF-High/174-240MHz,L-band/1452-1492MHz","HE-AAC","No","Yes","Yes"
"DigitalRadioMondiale","Digitalradio","COFDM(QAM)","upto72kbit/s","?","4.5–5kHz(hybridmode),9–10kHz,18-20kHz","510-1610kHz(Europe),510–1710kHz(USAandCanada),SW,LW","MPEG-4HE-AAC/CELP/HVXC","Yes,viaIBOC","No?","Yes"
"FMradio","Analogradio","FrequencyModulation","N/A","?","200kHz","87.5-108MHz,76-90MHz(Japan),65.8-74MHz(USSR)","N/A","N/A","None","Yes(dependingonstation)"
"HDRadio","Hybrid/Digitalradio","COFDM-HDC(SBR)","upto60kbit/sonAM,upto300kbit/sonFM","?","20–30kHzonAMband±5kHz(onadjacentchannel),upto400kHzonFMband(2fullFMchannels)","510–1710kHz,87.5-108MHz","HDC","upto7(3full-power,4low-power)subchannels(FM)","No?","Yes"
