"Model","Type","Capacity","Speed(km/h)","Speed(mph)","Range(km)","Range(mi)","Door-to-doorcapable","Price"
"DistarUFM-13Lambada","Motorglider","2","?km/h","?","?km","?","No","€61,000"
"PipistrelVirus","Ultra-light","2","299km/h","186mph","1,419km","882mi","No","€69,000"
