"","","MSHTML","Tasman","Gecko","WebKit","KHTML","Presto"
"InterfaceCDATASection","InterfaceCDATASection","InterfaceCDATASection","InterfaceCDATASection","InterfaceCDATASection","InterfaceCDATASection","InterfaceCDATASection","InterfaceCDATASection"
"DOM1","(noproperties)","No","No","1.0","Yes","?","2.0"
"InterfaceDocumentType","InterfaceDocumentType","InterfaceDocumentType","InterfaceDocumentType","InterfaceDocumentType","InterfaceDocumentType","InterfaceDocumentType","InterfaceDocumentType"
"DOM1","name","No","No","1.0","Yes","?","1.0"
"DOM1","entities","No","No","No","Yes","?","1.0"
"DOM1","No","notations","No","No","?","Yes","1.0"
"DOM2","publicId","No","No","1.0","Yes","?","1.0"
"DOM2","systemId","No","No","1.0","Yes","?","1.0"
"DOM2","internalSubset","No","No","1.0","Yes","?","1.0"
"InterfaceNotation","InterfaceNotation","InterfaceNotation","InterfaceNotation","InterfaceNotation","InterfaceNotation","InterfaceNotation","InterfaceNotation"
"DOM1","publicId","No","No","1.0","Yes","?","2.0"
"DOM1","systemId","No","No","1.0","Yes","?","2.0"
"InterfaceEntity","InterfaceEntity","InterfaceEntity","InterfaceEntity","InterfaceEntity","InterfaceEntity","InterfaceEntity","InterfaceEntity"
"DOM1","publicId","No","No","1.0","Yes","?","No"
"DOM1","systemId","No","No","1.0","Yes","?","No"
"DOM1","notationName","No","No","1.0","Yes","?","No"
"DOM3","inputEncoding","No","No","No","No","?","No"
"DOM3","xmlEncoding","No","No","No","No","?","No"
"DOM3","xmlVersion","No","No","No","No","?","No"
"InterfaceEntityReference","InterfaceEntityReference","InterfaceEntityReference","InterfaceEntityReference","InterfaceEntityReference","InterfaceEntityReference","InterfaceEntityReference","InterfaceEntityReference"
"DOM1","(noproperties)","No","No","1.0","Yes","?","No"
"InterfaceProcessingInstruction","InterfaceProcessingInstruction","InterfaceProcessingInstruction","InterfaceProcessingInstruction","InterfaceProcessingInstruction","InterfaceProcessingInstruction","InterfaceProcessingInstruction","InterfaceProcessingInstruction"
"DOM1","target","No","No","1.0","Yes","?","2.0"
"DOM1","data","No","No","1.0","Yes","?","2.0"
