"Client","Regular","Regular","MSN(NTLM)browserlogin","Compuserve(RPA)","CRAM-HMAC","CRAM-HMAC","MD5APOP","CRAM-HMAC","DIGEST-MD5","SCRAM","withhardwaretokenPKCS#11","Biometric","SMTPAuth","X.509Clientcertificate","OAuth"
"Client","LOGIN","MSN(NTLM)browserlogin","Compuserve(RPA)","MD5APOP","PLAIN","DIGEST-MD5","SCRAM","withhardwaretokenPKCS#11","Biometric","SMTPAuth","X.509Clientcertificate","OAuth","MD5","SHA1","RIPEMD"
"Alpine","Yes","Yes","No","No","No","Yes","No","No","No","?","No","No","Yes","No","?"
"AppleMail","Yes","Yes","No","No","?","?","?","?","?","?","?","Yes","Yes","Yes","Yes"
"Becky!InternetMail","Yes","Yes","Yes","?","Yes","Yes","?","?","?","?","?","?","Yes","Yes","?"
"Citadel","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"ClawsMail","Yes","Yes","?","?","Yes","Yes","?","?","Yes","Yes","No","?","Yes","No","?"
"Courier","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","?","No","No","Yes","Yes","?"
"Elm","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"eMClient","Yes","Yes","Yes","No","No","Yes","No","No","Yes","?","No","No","Yes","No","Yes"
"EmailTray","Yes","Yes","?","?","Yes","Yes","Yes","No","?","?","No","No","Yes","No","?"
"Eudora","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","?","No","No","No","?","?"
"Evolution","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","?","No","No","Yes","No","Yes"
"Gnus","Yes","Yes","?","?","Yes","Yes","Yes","?","Yes","?","?","?","Yes","?","?"
"GroupWise","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Hiri","Yes","Yes","Yes","No","No","No","No","No","No","?","No","No","No","No","Yes"
"i.Scribe/InScribe","Yes","Yes","Yes","No","Yes","No","No","No","No","?","No","No","Yes","No","Yes"
"IBMLotusNotes","Yes","?","Yes","No","No","No","?","?","?","?","Yes","No","Yes","?","?"
"KMail","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","?","No","No","Yes","Yes","?"
"Mailpile","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"MicrosoftEntourage","Yes","No","Yes","?","?","Yes","?","?","?","?","Yes","?","Yes","Yes","?"
"MicrosoftOfficeOutlook","Yes","No","Yes","No","No","No","No","No","No","?","No","No","Yes","No","?"
"MozillaMail&Newsgroups","Yes","?","?","Yes","?","Yes","?","?","?","?","?","?","?","?","?"
"MozillaThunderbird","Yes","Yes","Yes","No","Yes","Yes","No","No","No","?","Yes","No","Yes","Yes","Yes"
"Mulberry","Yes","Yes","Yes","No","No","Yes","No","No","Yes","?","No","No","Yes","Yes","?"
"Mutt","Yes","Yes","Yes","?","Yes","Yes","No","No","Yes","?","No","No","1.5.15","Yes","1.10.1"
"NetscapeMessenger","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"NetscapeMessenger9","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"nmh/MH","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"OperaMail","Yes","Yes","No","No","Yes","Yes","No","?","?","?","No","No","Yes","Yes","?"
"OutlookExpress","Yes","No","Yes","No","No","No","No","No","No","?","No","No","Yes","No","?"
"PegasusMail","Yes","?","No","No","Yes","No","No","No","No","?","No","No","Yes","Yes","?"
"Pine","Yes","Yes","No","No","No","Yes","No","No","No","?","No","No","Yes","No","?"
"Pocomail","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"RoundCube","Yes","Yes","?","?","Yes","Yes","Yes","?","Yes","?","Yes","?","Yes","?","?"
"SeaMonkeyMail&Newsgroups","Yes","Yes","Yes","No","Yes","Yes","No","No","No","?","Yes","No","Yes","Yes","?"
"SquirrelMail","Yes","Yes","?","?","Yes","Yes","Yes","?","Yes","?","Yes","?","Yes","?","?"
"Sylpheed","Yes","Yes","No","No","Yes","Yes","No","No","No","?","No","No","Yes","No","No"
"TheBat!","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","?","Yes","Yes","Yes","No","Yes"
"Trojitá","Yes","No","No","No","No","No","No","No","No","?","No","No","Yes","No","?"
"Turnpike","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"WindowsLiveMail","Yes","No","Yes","No","Yes","No","No","No","No","?","No","No","No","No","No"
"WindowsMail","?","?","?","?","?","?","?","?","?","?","?","?","?","?","Yes"
"YAM","Yes","Yes","?","?","Yes","Yes","?","?","?","?","?","?","Yes","AmiSSL","?"
"Zimbra","Yes","Yes","?","?","Yes","Yes","?","?","?","?","Yes","?","Yes","?","?"
"Client","Regular","Regular","MSN(NTLM)browserlogin","Compuserve(RPA)","CRAM-HMAC","CRAM-HMAC","MD5APOP","CRAM-HMAC","DIGEST-MD5","SCRAM","withhardwaretokenPKCS#11","Biometric","SMTPAuth","SSL/TLSClientCertificate","OAUTH"
"Client","LOGIN","MSN(NTLM)browserlogin","Compuserve(RPA)","MD5APOP","PLAIN","DIGEST-MD5","SCRAM","withhardwaretokenPKCS#11","Biometric","SMTPAuth","SSL/TLSClientCertificate","OAUTH","MD5","SHA1","RIPEMD"
