"Maker","Model","Introyear","Endyear","Screensize(inch)","Self-lit","Screentype","Screenmodel","Weight","Screenpixels","Touchscreen","Wirelessnetwork","Text-to-speech","Folders","InternalStorage","MicroSDHC","Webbrowser","LibraryDRMcompatible","USBperipherals"
"Aluratek","LibreEbookReaderPro","2009","2014","5in","No","ePaper","","213g(7.5oz)","600×800","No","No","No","Yes","90MB","upto32GB","No","Yes","No"
"Amazon.com","KindlePaperwhite(2ndgeneration)Wi-Fi/3G","2013","2015","6in","Yes","eInkCarta","","215g(7.6oz)","758×1024","2-Point","Wi-Fi/CDMA,GSM","No","Yes","2GB(1.25GB)","No","Yes","USonly","No"
"Amazon.com","KindlePaperwhite1stgeneration","2012","2013","6in","Yes","eInkPearl","","221g(7.8oz)","758×1024","2-Point","Wi-Fi/CDMA,GSM","No","Yes","2GB(1.25GB)","No","Yes","USonly","No"
"Amazon.com","Kindle(5thgeneration)","2012","2014","6in","No","eInkPearl","","170g(5.98oz)","600×800","No","Wi-Fi","No","Yes","2GB(1.25GB)","No","Yes","USonly","No"
"Amazon.com","Kindle(4thgeneration)","2011","2012","6in","No","eInkPearl","","170g(6.0oz)","600×800","No","Wi-Fi","No","Yes","2GB(1.25GB)","No","Yes","USonly","No"
"Amazon.com","KindleTouch3G/Wi-Fi","2011","2012","6in","No","eInkPearl","","220g(7.8oz)","600×800","Yes","Wi-Fi/CDMA,GSM","Yes","Yes","4GB(3GB)","No","Yes","USonly","No"
"Amazon.com","KindleKeyboardWi-Fi/3G","2010","2011","6in","No","eInkPearl","ED060SC7(LF)","247g(8.7oz)","600×800","No","Wi-Fi/CDMA,GSM","Yes","Yes","4GB(3GB)","No","Yes","USonly","No"
"Amazon.com","KindleDX1stgenwhite","2009","2011","9.7in","No","eInk","","540g(19oz)","824×1200","No","CDMA(USA),GSM","Yes","Yes","4GB(3.3GB)","No","limited","USonly","No"
"Amazon.com","KindleDX2ndgengraphite","2010","2012","9.7in","No","eInkPearl","","535g(18.9oz)","824×1200","No","HSDPA/GSM","Yes","Yes","4GB(3.3GB)","No","limited","USonly","No"
"Amazon.com","Kindle2","2009","2010","6in","No","eInk","","289g(10.2oz)","600×800","No","CDMA(USA),GSM(World)","Yes","Yes","2GB(1.4GB)","No","limited","USonly","No"
"Amazon.com","Kindle","2007","2009","6","No","eInk","","289g(10.2oz)","600×800","No","CDMA","No","No","256MB(180MB)","SD","limited","USonly","No"
"Asus","EEEReaderDR-900","2010","2010","9in","No","SiPix","","440g(16oz)","768×1024","Yes","Wi-Fi","Yes","Yes","2GB","microSD","Yes","No","Yes"
"Barnes&Noble","NookSimpleTouch","2011","2013","6in","No","eInkPearl","","212g(7.5oz)","600×800","Yes","Yes","Wi-Fi","Yes","2GB","Yes","No","Yes","No"
"Barnes&Noble","Nook","2009","2011","6in","No","eInk","","343g(12.1oz)","600×800","Bottom","Wi-FiUMTS⌥","No","(FWv1.5)","2GB(1.3GB)","Yes","Yes(FWv1.3)","Yes","No"
"Bookeen","CybookGen3","2007","?","6in","No","eInk","","174g(6.1oz)","600×800","No","No","No","Yes","16MB,512MB,1GB","SD","No","Yes","No"
"Bookeen","CybookOpus","2009","?","5in","No","eInk","","150g(5.3oz)","600×800","No","No","No","Yes","1GB","Yes","No","Yes","No"
"Ectaco","JetBookColor","2012","?","9.7in","No","eInkTriton","","662g(23.4oz)","1200×1600,ppi206","Unknown,buttonforpageturnyes","Yes","Yes","Yes","Yes(unknownsize)","upto32GB","No","Yes,OPDS,Atom","Yes"
"EnTourage","EnTourageeDGe","2010","2011","9.7in","No","eInk&LCD","","1,400g(49oz)","825×1200","Yes","Wi-Fi,Bluetooth","Yes(PicoTTS)","Yes","3GB(10%forapps)","SD32GB","Yes","Yes","Yes"
"EnTourage","PocketeDGe","2010","2011","6in","No","eInk&LCD","","700g(25oz)","600×800","Yes","Wi-Fi,Bluetooth","Yes(PicoTTS)","Yes","3GB","microSD","Yes","Yes","Unknown"
"Fnac","FnacBook","2010","2011","6in","No","eInk","","240g(8.5oz)","600×800","Yes","Wi-FiGPRS,Edge,HSDPA","Yes","Unknown","2GB","microSD","Yes","Yes","Unknown"
"FoxitSoftware","eSlick","2009","2010","6in","No","eInk","","180g(6.3oz)","600×800","No","No","No","No","512MB","SDHC","No","Unknown","Unknown"
"Franklin","eBookMan","1999","2002","Unknown","Yes","LCD","","Unknown","Unknown","Yes","No","No","Unknown","16MB","MMC","No","Unknown","Yes"
"IcarusReader","IcarusReaderGo","2010","?","6in","No","eInk","","178g(6.3oz)","600×800","No","Wi-Fi,UMTS⌥","No","(FWv1.5)","2GB(1.3GB)","microSD","No","Yes","Unknown"
"IcarusReader","IcarusPocket","2012","?","6in","No","eInkPearl","","214g(7.7oz)","800×600","No","Wi-Fi","Unknown","Yes","4GB","SDHC32GB","Unknown","Yes","Unknown"
"IcarusReader","IcarusReaderSense","2010","?","6in","No","SiPix","","240g(8.5oz)","600×800","Yes","Wi-Fi","No","Yes","2GB(1.3GB)","microSD","Yes","Yes","Unknown"
"Intreeo","Vivid","2010","2011","6in","No","eInk","","170g(5.9oz)","600×800","No","No","No","Unknown","2GB(1.3GB)","SD","Unknown","No","Unknown"
"iRexTechnologies","DigitalReader800","2010","2010","8.1in","No","eInk","","360g(13oz)","768×1024","Yes","No","Unknown","Yes","128MB","SDHC","No","Yes","Unknown"
