"Internetmediatype","MSHTML","Tasman","Gecko","WebKit","KHTML","Presto","Prince"
"application/atom+xml","?","?","?","?","?","8.00beta2","?"
"application/mathml+xml","No","No","2.0","No","No","9.50beta2","?"
"application/rss+xml","?","?","?","?","?","7.50beta1","?"
"application/xhtml+xml","XHTML5.0","Promptfordownload","XHTML","XHTML125","HTML","XHTML1.0","?"
"application/xml","XHTML5.0","Crash","XHTML","XHTML125","XML","XHTML1.0","?"
"application/xslt+xml","?","?","?","?","?","9.00beta1","?"
"image/svg+xml","?","?","1.0","?","?","9.50","?"
"text/xml","XHTML5.0","Crash","XHTML","XHTML125","XML","XHTML1.0","?"
"text/html","HTML","HTML","HTML","HTML","HTML","HTML","?"
