"","Testedsoftwareversion","ODFversionattributeinexportedfileoffice:version=""1.X""","Filetype","Validationofsimplenewdocument","Notes"
"AbiWord","2.6.4","1.0","ODT","valid",""
"AdobeBuzzword","beta3,build600113","1.0","ODT","notvalid","(errorsinstyles.xmlandcontent.xml)"
"EditGrid","11/2008","1.0","ODS","valid",""
"Gnumeric","1.9.3","1.0","ODS","notvalid",""
"GoogleDocs&Spreadsheets","11/2008","1.0","ODT,ODS","valid-ODT,differentresults-ODS",""
"IBMLotusSymphony","1.1.0","1.1","ODT,ODS,ODP","valid",""
"IBMLotusSymphony","3.0.0FP2","1.2","ODT,ODS,ODP","",""
"Inkscape","0.4.6","1.0","ODG","notvalid",""
"KOffice","1.6.3","attributeismissing","ODT,ODS,ODP","valid-ODT,ODS,notvalid-ODP","ODT,ODS-validODF1.0and1.1"
"KOffice","2.1.2","1.2","ODT,ODS,ODP","",""
"MicrosoftOffice","2007SP2","1.1","ODT,ODS,ODP","differentresults-ODS,valid-ODT,ODP",""
"MicrosoftOffice-SUNODFPlugin","1.2","1.1","ODT,ODS,ODP","valid",""
"MicrosoftOffice-SUNODFPlugin","3.1","1.2","ODT,ODS,ODP","",""
"MicrosoftOffice-OpenXML/ODFTranslatorAdd-in","2.0","attributeismissing","ODT,ODS,ODP","differentresults-ODT,valid-ODS,notvalid-ODP","ODF1.1implemented"
"NeoOffice","2.2.5","1.0","ODT","notvalid-ODT","(errorinstyles.xml)"
"OpenOffice.org","2.0-2.3.0","1.0","ODT,ODS,ODP","valid(tested2.3.0)",""
"OpenOffice.org","2.3.1-2.4.2","1.1","ODT,ODS,ODP","valid",""
"OpenOffice.org","3.0","1.1and1.2","ODT,ODS,ODP","valid","adjustableODFversion"
"StarOffice","8.0productupdate10","1.1","ODT,ODS,ODP","valid",""
"RedOffice","4.0","1.0","ODT,ODS,ODP","valid",""
"TextEdit","1.5(244)","1.0","ODT","differentresultsinvalidators","(settings.xmlismissing)"
"TextMaker","2008rev.494","1.0","ODT","notvalid","(errorinstyles.xml)"
"TextMaker","2010","1.0","ODT","Yes",""
"WordPad","6.1(2009)","attributeismissing","ODT","differentresultsinvalidators","(settings.xmlismissing-ODF1.0/1.1validation)"
"ZohoOfficeSuite","11/2008","1.0","ODT,ODS,ODP","valid-ODT,ODS,notvalid-ODP",""
"","Testedsoftwareversion","ODFversionattributeinexportedfileoffice:version=""1.X""","Filetype","Validationofsimplenewdocument","Notes"
