"Asianinterplanetaryexplorationprobes","Asianinterplanetaryexplorationprobes","Asianinterplanetaryexplorationprobes","Asianinterplanetaryexplorationprobes","Asianinterplanetaryexplorationprobes","Asianinterplanetaryexplorationprobes"
"Missionname","Destination","Type","Year","Vehicle","Outcome"
"Nozomi","Mars","Orbiter","2003","M-V","Failure"
"Hayabusa","Asteroid:25143Itokawa","Samplereturn","2005-7","M-V","Success"
"Akatsuki(PLANET-C)","Venus","Orbiter","2010","H-IIA202","Failure(Failedorbitinsertion)"
"Akatsuki(PLANET-C)","Venus","Orbiter","2015","H-IIA202","Success"
"IKAROS","Venus","Flyby","2010","H-IIA202","Success"
"Shin'en","Venus","Flyby","2010","H-IIA202","Failure"
"Yinghuo-1","Mars","Orbiter","2011","Zenit-2M","Failure"
"Chang'e2","Asteroid:4179Toutatis","Flyby","2012","LongMarch3C","Success"
"MarsOrbiterMission","Mars","Orbiter","2013–14","PSLV-XL","Success"
"Hayabusa2","Asteroid:162173Ryugu","Samplereturn","2014–20","H-IIA202","Success"
"PROCYON","Asteroid:2000DP107","Flyby","2016","H-IIA202","Failure"
"Mio","Mercury","Orbiter","2018–24","Ariane5ECA","enroute"
"HopeMarsMission","Mars","Orbiter","2020–21","H-IIA202","Success"
"Tianwen-1","Mars","Orbiter/Lander/Rover","2020–21","LongMarch5","Success"
"Aditya-L1","Sun","Orbiter","2022","PSLV-XL","Planned"
"DESTINY+","Asteroid:3200Phaethon","Flyby","2022–26","Epsilon","Planned"
"Shukrayaan-1","Venus","Orbiterandaerobots","2023","GSLVMkIII","Planned"
"MMX","Mars","Orbiter","2024–2025","H3-24L","Planned"
"MMX","Phobos","Samplereturn","2024–2025","H3-24L","Planned"
"ZhengHe","Asteroid:469219Kamo?oalewa","SampleReturn","2024–32","LongMarch3B/LongMarch7A","Planned"
"ZhengHe","Comet:311P/PANSTARRS","Orbiter","2024–32","LongMarch3B/LongMarch7A","Planned"
"MarsOrbiterMission2","Mars","OrbiterLanderRover","TBD","GSLVMkIIorGSLVMkIII","Planned"
"Tianwen-2","Mars","Samplereturn","2028–31","LongMarch3BandLongMarch5/LongMarch9B","Planned"
"GanDe","Jupiter","Orbiter","2029–35","LongMarch5","Planned"
"GanDe","Uranus","Flyby","2029-46","LongMarch5","Planned"
