"Model(Codename)","ReleaseDate","Architecture&Fab","Transistors&DieSize","Core","Fillrate","Processingpower(GFLOPS)","Memory","Memory","Memory","Core","Fillrate","Processingpower(GFLOPS)","Memory","TDP","Businterface"
"Model(Codename)","ReleaseDate","Architecture&Fab","Transistors&DieSize","Config","Clock(MHz)","Texture(GT/s)","Pixel(GP/s)","TDP","Businterface","Single","Double","Bustype&width","Size(GiB)","Clock(MT/s)","Band-width(GB/s)"
"RadeonPro555(Polaris21)","June2017","GCN4gen14nm","3.0×10123mm","768:48:1612CU","850","40.8","13.6","1306","1/16SP","GDDR5128-bit","2","5100","81.60","50W","PCIe3.0×16"
"RadeonPro555X(Polaris21)","July2018","GCN4gen14nm","3.0×10123mm","768:48:1612CU","907","43.54","14.51","1393","1/16SP","GDDR5128-bit","4","5100","81.60","50W","PCIe3.0×16"
"RadeonPro560(Polaris21)","June2017","GCN4gen14nm","3.0×10123mm","1024:64:1616CU","907","58.05","14.51","1858","1/16SP","GDDR5128-bit","4","5080","81.28","50W","PCIe3.0×16"
"RadeonPro560X(Polaris21)","July2018","GCN4gen14nm","3.0×10123mm","1024:64:1616CU","1004","64.26","16.06","2056","1/16SP","GDDR5128-bit","4","5080","81.28","50W","PCIe3.0×16"
"RadeonPro570(Polaris20)","June2017","GCN4gen14nm","5.7×10232mm","1792:112:3228CU","1000","112","32","3584","1/16SP","GDDR5256-bit","4","6800","217.6","120W","PCIe3.0×16"
"RadeonPro575(Polaris20)","June2017","5.7×10232mm","GCN4gen14nm","2048:128:3232CU","1100","140.8","35.2","4506","1/16SP","GDDR5256-bit","4","6800","217.6","120W","PCIe3.0×16"
"RadeonPro580(Polaris20)","June2017","5.7×10232mm","GCN4gen14nm","2304:144:3236CU","11001200","172.8","38.4","5530","1/16SP","GDDR5256-bit","8","6800","217.0","150W","PCIe3.0×16"
