"","Personwholikes","Thingthatisliked","Form"
"Portuguese","Subject","Objectofprepositionde","(Eu)gostodamúsica."
"Spanish","Indirectobject","Subject","Megustalamúsica."
"English","Subject","Directobject","Ilikemusic."
