"Distribution","Founder","Maintainer","Initialreleaseyear","Currentstableversion","Securityupdates(years)","Releasedate","Systemdistributioncommitment","Forkedfrom","Targetaudience","Cost","Status"
"Kodibuntu","TheXBMCProject","TeamKodi","2008","?","?","?","X","Debian,Ubuntu","multimedia","None","Inactive"
"Korora","ChrisSmart","DevTeam","2005","26","?","2017-09-16","X","Fedora","desktop","None","Inactive"
"LibreCMC","LibreCMCteam","LibreCMCteam","2010","1.5.4","?","2020-12-31","100%Free:GNUFSDG","MergedfromLibreWRT","embeddedsystems","None","Active"
"Linspire","Linspire,Inc.","Linspire,Inc.","2001","9.5","?","2020-03-03","X","Ubuntu","?","Commercial","Active"
"LinuxMint","ClementLefebvre","devteam","2006","20.2","~3years(LMDE);5years(maineditions)","2021-07-08","X","Debian(LMDE),Ubuntu(maineditions)","desktop","None","Active"
"LinuxLite","JerryBezencon","LinuxLiteTeam","2012","5.0","?","2020-05-31","X","Ubuntu","desktop","None","Active"
"Mageia","MageiaCommunity","mageia.org","2010","7.1","1year","2019-07-01","X","MandrivaLinux","general","None","Active"
"MandrivaLinux","MandrakesoftS.A.","MandrivaS.A.","1998","2011","?","2011-08-28","X","RedHatLinux","general","Someeditionsarefreeofcharge","Inactive"
"ManjaroLinux","RolandSinger","devteam","2012","Rolling","Rolling","Rolling","X","ArchLinux","general","None","Active"
"MEPIS","WarrenWoodford","MEPISLLC","2003","11.9.90","?","?","X","Debian","desktop,server","None","Inactive"
"MusixGNU+Linux","Musixteam","Musixteam","2008","3.0.1","?","2014-03-13","100%Free:GNUFSDG","Debian","multimedia","None","Inactive"
"Netrunner","BlueSystems","devteam","2009","20.01","asperDebian","2020-02-23","X","Debian","desktop","None","Active"
"NixOS","EelcoDolstraandArmijnHemel","NixOSFoundation","2003","21.05","0.5years","2021-06-01nixo","X","–","general,server,desktop","None","Active"
"NovellOpenEnterpriseServer","Novell","Novell,Inc.devteam","2003","OES2018SP1","?","?","X","SUSELinuxEnterpriseServer","server","Commercial","Active"
"OpenELEC","StephanRaue,OpenELECTeam","OpenELECTeam","2011","8.0.4","?","2017-06-04","X","Kodi","multimedia","None","Inactive"
"openSUSE","SUSELinux","openSUSEProject","2006","Leap15.2","3years","2020-07-02","X","SLS/Slackware","general,desktop","None","Active"
"OpenWrt","?","OpenWrtteam","2007","18.06.4","?","2019-07-01","X","–","embeddedsystems","None","Active"
"OpenMandrivaLx","OpenMandrivaAssociation","OpenMandrivaAssociation","2013","4.1","?","2020-02-01","X","MandrivaLinux","general","None","Active"
"OracleLinux","OracleCorporation","OracleCorporation","2006","8.1","?","2019-11-17","X","RedHatEnterpriseLinux(RHEL)","server","None","Active"
"ParabolaGNU/Linux-libre","ParabolaHackers","ParabolaHackers","2009","Rolling","Rolling","2017-05-28","100%Free:GNUFSDGfollowedinParabolaSocialContract","ArchLinux","general","None","Active"
"Pardus","ScientificandTechnologicalResearchCouncilofTurkey(TÜB?TAK)","TÜB?TAK","2005","19.1","?","2019-11-23","X","Gentoo(2011.2)Debian","general","None","Active"
"ParrotOS","Lorenzo""Palinuro""Faletra","ParrotDevTeam","2013","4.11.2","Rolling","2021-06-03","X","Debian","security,desktop","None","Active"
"Parsix","AlanBaghumian","ParsixProject","2005","8.15","?","2017-01-25","X","Debian","desktop","None","Inactive"
"PartedMagic","PatrickVerner","PartedMagicLLC.","?","2020_12_25","?","2020-12-25","X","-","live,maintenance","Commercial","Active"
"PCLinuxOS","BillReynolds","devteam","2003","2020.1015","Semi-rolling","2020-10-14","X","MandrivaLinux","desktop","None","Active"
"Pop!OS","CarlRitchell","System76","2017","20.10","2yearsforLTSreleases.2–3monthsafterthenextreleaseforotherreleases.","2020-10-23","X","Ubuntu","desktop,laptop","None","Active"
"Pentoo","MichaelZanetta,RickFarina,JensPranaitis","Pentoo","2005","2019.1","?","2019-01-17","X","GentooLinux","auditing,security","None","Active"
"Porteus","Fanthom","Porteus","2010","4.0","?","2018-04-29","X","Slackware","lightweight,portable","None","Active"
"PuppyLinux","BarryKauler","PuppyFoundation","2003","8.0","?","2019-04-11","X","Independent,inspiredfromVectorlinux","lightweight,portable","None","Active"
"PureOS","ToddWeaver","Purism","2009","9.0","StableandRolling","2019-09-26","100%Free:GNUFSDG","Debian","general,security,privacy","None","Active"
"QubesOS","JoannaRutkowska","InvisibleThingsLab","2012","4.0.4","?","2021-03-04","X","XenandFedora","securitybycompartmentalization,desktop","None","Active"
"RedHatEnterpriseLinux(RHEL)","RedHat","RedHat","2002","8.5","10years","2021-11-09","X","RedHatLinux,Fedora","general","Commercial","Active"
"RedHatLinux","RedHat","RedHat","1995","9","?","2003-03-31","X","–","server,workstation","None","Inactive"
"RocksClusterDistribution","UCSDSupercomputingCenter,Clustercorp","UCSDSupercomputingCenter,Clustercorp","2000","7.0","?","2015-12-01","X","RedHatLinux","server,workstation","None","Active"
"RockyLinux","RockyEnterpriseSoftwareFoundation","RockyEnterpriseSoftwareFoundation","2021","8.5","10years","2021-11-15","x","RedHatEnterpriseLinux(RHEL)","general","None","Active"
"ROSA","?","LLCNTCITROSA","2011","R11","?","2019-03-15","X","Mandriva","server,general","None","Active"
"SabayonLinux","FabioErculiani","devteam","2005","19.03","?","2019-03-31","X","GentooLinux","general","None","Active"
"SalixOS","CyrillePontvieux,GeorgeVlahavas,PierrickLeBrun,ThorstenMühlfelder","Salixteam","2009","14.2","?","2016-08-29","X","Slackware","general","None","?"
"ScientificLinux","CERN,Fermilab","devteam","2004","7.6","?","2018-12-03","X","RedHatLinux,RedHatEnterpriseLinux(RHEL)","server,workstation","None","Inactive"
"Slackware","PatrickVolkerding","devteam","1993","15.0","?","2022-02-02","X","SoftlandingLinuxSystem(SLS)","general","None","Active"
"Slax","TomasMatejicek","TomasMatejicek","2002","9.11.0","?","2019-09-14","X","Debian,Slackware(untilSlax9)","live","None","Active"
"SliTazGNU/Linux","ChristopheLincoln","devteam","2008","Rolling","Rolling","2017-12-03","X","Independent","portable","None","Active"
"Solus","IkeyDoherty","devteam","2005","Rolling","Rolling","2021-02-03","X","–","desktop","None","Active"
"SolydXK","ArjenBalfoort","devteam","2013","201902","DebianpackagesasperDebian","2019-03-03","X","Debian","desktop","None","Active"
"SparkyLinux","?","SparkyLinuxteam","2012","6.0","?","2021-08-19","X","Debian","general,videogames","None","Active"
"SourceMageGNU/Linux","RyanAbrams,EricSchabell","devteam","2002","0.62-11","?","2017-10-22","SourceMageSocialContract","Sorcerer","general","None","Active"
"SteamOS","Valve","Valve","2013","2.195","?","2019-07-19","X","Debian","videogames","None","Active"
"SUSELinuxEnterprise","SUSE","SUSE","2000","15SP2","13yearsperversion","2020-07-21","Commoncodebaseforx86-64,Power,Systemz,Arm64","Slackware,Jurix","edge,workstation,server,supercomputer","Commercial","Active"
"Tails","?","TailsDevelopmentTeam","2009","4.25","–","2021-12-07","X","Debian","security-focusedaimedforanonymityandprivacy","None","Active"
"TinyCoreLinux","RobertShingledecker","TeamTinyCore","2009","12.0","?","2021-02-17","X","Independent,inspiredfromDamnSmallLinux","portable","None","Active"
"TrisquelGNU/Linux","RubénRodríguezPérez(quidam)","RubénRodríguezPérez(quidam)","2005","10.0","3years","2020-10-16","100%Free:GNUFSDG","UbuntuLTS","desktop","None","Active"
"TurnKeyGNU/Linux","AlonSwartz,LirazSiri","TurnKeyGNU/LinuxTeam","2008","16.0Release#12","DebianpackagesasperDebian;TurnKeypackagesforlifeofcurrentmajorversion(plusbackportsperrequest)","2020-12-22","DebianSocialContractandDFSG","Debian","serverbasedsoftwareappliancelibraryaimingtobalancesecurityandeaseofuse","None","Active"
"UbuntuandDerivatives","CanonicalLtd.","CanonicalLtd.","2004","21.10","Standardreleases1year,LTSreleases5years.FlavorLTSreleases3or5years.UbuntuPro10years.","2021-04-22","X","Debian","general,server,desktop,supercomputer,IBMmainframe","None","Active"
"UniventionCorporateServer","UniventionGmbH","UniventionGmbH","2004","4.4-7","upto6monthsforthefreeCoreEdition;ifmaintenanceispurchased,it'supto7years,see:","2020-12-01","X","Debian","home,business,andschool","CoreEditionisfreeofcharge","Active"
"Ututo","DiegoSaravia,DanielOlivera","UTUTOdevteam","2000","XS2012","?","2012-04-27","100%Free:GNUFSDG","UtutoXS:GentooLinux,UtutoUL:Ubuntu","general","None","Inactive"
"VectorLinux","RobertS.Lange","devteam","1999","VL7.2","?","2017-08-28","X","Slackware","desktop","None","Inactive"
"VoidLinux","JuanRomeroPardines","JuanRPandcontributors","2008","Rolling","Rolling","2019-11-09","X","Independent,partiallyinspiredbyFreeBSD/NetBSD","general","None","Active"
"Webconverger","KaiHendry","WebconvergerLimited","2007","35.0","?","2016-05-19","X","Debian","kiosksoftware,digitalsignage","Commercial","Inactive"
"Xandros","XandrosIncorporated","XandrosIncorporated","2001","?","?","2007-07-26","X","CorelLinux","?","Commercial","Inactive"
"Zentyal","eBoxTechnologies","eBoxTechnologies","2005","6.2","?","2020-06-04","X","Debian,Ubuntu","smallbusinessserver","Someeditionsarefreeofcharge","?"
"Zenwalk","Jean-PhilippeGuillemin","devteam","2004","Rolling","?","2020-12-10","X","Slackware","general","None","Active"
"ZorinOS","ZorinGroup","ZorinGroup","2009","OS15.3","?","2020-10-08","X","Ubuntu","general,desktop","ZorinOSLite&Corearefree,whileBusinessandUltimatearepaid","Active"
"Distribution","Founder","Maintainer","Initialreleaseyear","Currentstableversion","Securityupdates(years)","Releasedate","Systemdistributioncommitment","Forkedfrom","Targetaudience","Cost","Status"
