"Name","Version","Date"
"AllegroProlog","1.1.2","2018-12-12"
"BProlog","8.1","2014-02-23"
"JIProlog","4.1.6.1","2018-03-17"
"Ciao","1.20.0","2021-03-31"
"DOS-PROLOG","6.0",""
"ECLiPSe","7.0_54","2020-02-26"
"GNUProlog","1.4.5","2018-07-14"
"JLog","1.3.6","2007-09-13"
"JScriptLog","0.7.5beta","2007-09-10"
"jTrolog","",""
"LPA-PROLOG","7.0","2019-12-19"
"OpenProlog","",""
"PoplogProlog","V15.65","2015-10-14"
"SICStusProlog","4.7.0","2021-08-09"
"StrawberryProlog","3.0Beta4","2013-12-10"
"SWI-Prolog","8.4.1","2021-11-16"
"tuProlog","3.2.1","2017-02-14"
"VisualProlog","10,Build1000","2021-04-15"
"XSBProlog","3.8","2017-10-29"
"YAProlog","6.3.3","2013-01-21"
