"Model","Launch","Core","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","APIcompliance(version)","Memory","Memory","Fillrate","Memory","APIcompliance(version)","TDP/idle(watts)","Notes"
"Model","Launch","Core","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","TDP/idle(watts)","Notes","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL(OpenCL)"
"FirePro2250","2007-01-01","RV516","80","107","100","PCIex1/x16","600","500","2:4:4:4","2.4","0.3","256","32","DDR2","256","9.0c","2.1(no)","20/11","DMS-59fordualDVI-Doutput"
"FirePro2270","2011-01-31","CedarGL(RV810)","40","292","59","PCIe2.1x1/x16","600","600","80(16×5):8:4:1","2.4","4.8","5121024","9.6","GDDR3","64","11.0","4.3(1.2)","15/817/8","DMS-59fordualoutput:DPorDVI-IorD-sub"
"FirePro2450Multi-View","2009-01-01","2xRV620(Terascale1)","55","2×181","2×61","PCIe2.0x1/x16","600","600","4.8","2×40(8×5):4:4:1","512","GDDR3","2.4","38.4","256","10.1","3.3(APP)","36/18","2xVHDCIforquadoutput:DVI-IorD-sub"
"FirePro2460Multi-View","2010-04-01","CedarGL(RV810)(Tera-scale2)","40","292","59","PCIe2.1x16","500","512","500","80(16×5):8:4:1","2.0","4.0","32","GDDR5","64","11.0","4.3(1.2)","17/13","4xMiniDPforquadoutput:DPorDVI-D,UVD2,PowerPlay,Eyefinity"
