"Card","Writeprotectionswitch ","DRM"
"CompactFlash","No","No"
"SmartMedia","Partial,sticker","Partial(optional)"
"MMC,RS-MMC","No","No"
"MMCMobile","No","Yes,secureMMC"
"SD","Yes ","Yes,CPRM"
"miniSD","No","Yes,CPRM"
"microSD","No","Yes,CPRM"
"MemoryStickStandard,PRO","Yes","Optional,MagicGate"
"MemoryStickDuo,PRODuo","No","Optional,MagicGate"
"MemoryStickPRO-HGDuo","No","Optional,MagicGate"
"MemoryStickMicro(M2)","No","Optional,MagicGate"
"PSVitaMemoryCard","No","Yes,Proprietary"
"xD","No","Partial "
"USB","Sometimes","No"
