"JohnMcCain","BarackObama","JohnMcCain","BarackObama"
"McCainisamemberofTheRepublicanMainStreetPartnershipandsupportsembryonicstemcellresearchdespitehisearlieropposition.Hestatesthathebelievesthatstemcellresearch,andindeedembryonicstemcellresearch,willcontinuewhetherornottheU.S.sanctionsit,andsoitwouldbethewisestcourseofactiontosupportittotheextentthattheUnitedStateswillbeabletoregulateandmonitortheuse.","Obamasupportsfederalfundingforembryonicstemcellresearchandwasaco-sponsorofthe2005StemCellResearchEnhancementActwhichwaspassedbybothhousesofCongressbutvetoedbyPresidentGeorgeW.Bush.","McCainisamemberofTheRepublicanMainStreetPartnershipandsupportsembryonicstemcellresearchdespitehisearlieropposition.Hestatesthathebelievesthatstemcellresearch,andindeedembryonicstemcellresearch,willcontinuewhetherornottheU.S.sanctionsit,andsoitwouldbethewisestcourseofactiontosupportittotheextentthattheUnitedStateswillbeabletoregulateandmonitortheuse.","Obamasupportsfederalfundingforembryonicstemcellresearchandwasaco-sponsorofthe2005StemCellResearchEnhancementActwhichwaspassedbybothhousesofCongressbutvetoedbyPresidentGeorgeW.Bush."
"ChuckBaldwin","BobBarr","CynthiaMcKinney","RalphNader"
"","","","Nadersupportsstemcellresearch.ThroughhisConsumerProjectonTechnology,heseekstoensurethatresearchconductedwithpublicmoneyisfreelyavailabletothepublic,andnotheldbackbycorporateanduniversitypatents."
