"Maker","Model","Number","E-Books","Images","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Images","Images","Images","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","Images","Audio/Video"
"Maker","Model","Number",".azw",".cbr",".cbz",".chm",".djvu",".doc",".docx",".epub",".fb2",".html",".lit",".mobi",".opf",".pdb",".pdf",".pdg",".rtf",".tcr",".tr3",".txt",".bmp",".gif",".jpg",".png",".tiff",".avi",".flv",".m4v",".mov",".mp3",".mpeg1/2/4",".wmv"
"Aluratek","LiberTouch","09","No","No","No","No","No","No","Unknown","Yes","Partial(non-DRMonly)","No","No","No","No","No","Yes","No","Partial(non-DRMonly)","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","Partial(non-DRMonly)","Partial(non-DRMonly)","Partial(non-DRMonly)","Partial(non-DRMonly)","Yes","Partial(non-DRMonly)","No"
"Aluratek","LibreAir","11","No","No","No","No","No","No","Unknown","Yes","Partial(non-DRMonly)","Yes","No","Partial(non-DRMonly)","No","No","Yes","No","Partial(non-DRMonly)","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","No","No","No","No","Yes","No","No"
"Aluratek","LibreColoreBookReader","10","No","No","No","No","No","No","Unknown","Yes","Partial(non-DRMonly)","Yes","No","No","No","No","Yes","No","Partial(non-DRMonly)","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","Partial(non-DRMonly)","Partial(non-DRMonly)","Partial(non-DRMonly)","Partial(non-DRMonly)","Yes","Partial(non-DRMonly)","Partial(non-DRMonly)"
"Aluratek","LibrePro","08","No","No","No","No","No","No","Unknown","Yes","Partial(non-DRMonly)","No","No","Partial(non-DRMonly)","No","No","Yes","No","No","No","No","Yes","Unknown","Yes","Yes","No","Unknown","No","No","No","No","Yes","No","No"
"Amazon.com","Kindle3Wi-Fi&3G","12+","Yes","No","Yes","Unknown","No","Yes","Unknown","No","No","Yes","No","Partial(noDRM)","No","No","Yes","No","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Amazon.com","KindleDX","12","Yes","No","Unknown","Unknown","No","Unknown","Unknown","No","No","Yes","No","Partial(noDRM)","No","No","Yes","No","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Amazon.com","Kindle2","12","Yes","No","No","Unknown","No","Unknown","Unknown","No","No","Yes","No","Partial(noDRM)","No","No","Yes","No","Yes","Unknown","Yes","Yes","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Amazon.com","Kindle","Unknown","Yes","No","Unknown","Unknown","Unknown","No","Unknown","No","No","Yes","No","Partial(noDRM)","No","No","No","No","Yes","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Asus","EeeReaderDR900","Unknown","No","No","Yes","No","No","No","Unknown","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Barnes&Noble","Barnes&NobleNookColor","15+","No","Unknown","Unknown","No","No","Yes","Unknown","Yes","No","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Barnes&Noble","Nook","04","No","Unknown","Unknown","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
