"Model","Launch","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","Memory","Fillrate","Fillrate","Fillrate","Memory"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)"
"GeForceGo6100+nForceGo430","Unknown","C51M","110","HyperTransport","425","Systemmemory","2:1:2:1","850","425","850","106.25","Upto128MBsystem","Systemmemory","DDR2","64/128"
"GeForceGo6150+nForceGo430","Unknown","C51M","110","HyperTransport","425","Systemmemory","2:1:2:1","850","425","850","106.25","Upto128MBsystem","Systemmemory","DDR2","64/128"
"GeForceGo6200","Unknown","NV44M","110","PCIex16","300","600","4:3:4:2","1200","600","1200","225","16","2.4","DDR","32"
"GeForceGo6400","Unknown","NV44M","PCIex16","400","110","4:3:4:2","700","1600","800","1600","16","250","DDR","5.6","64"
"GeForceGo6600","Unknown","NV43M","700","PCIex16","110","300","8:3:8:4","3000","1500","3000","281.25","128","11.2","DDR","128"
"GeForceGo6800","November8,2004","NV41M","300","PCIex16","3000","1500","3000","130","128","7001100","12:5:12:12","375","22.435.2","DDR,DDR2DDR3","256"
"GeForceGo6800Ultra","February24,2005","NV41M","130","7001100","12:5:12:12","450","22.435.2","DDR,DDR2DDR3","256","PCIex16","5400","3600","5400","562.5","256"
