"Family","Level","Format","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2022","2022","2021","2021","2020","2020","2019","2019","2018","2018","2017","2017","2016","2016","2015","2015","2014","2014","2013","2013","2012","2012","2011","2011","2010","2010","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Alpha(α)","","","","","mα7","mα7II","mα7III","mα7IV","mα7IV","mα7IV","mα7IV","mα7III","mα7III","mα7III","mα7III","mα7III","mα7III","mα7III","mα7III","mα7III","mα7III","mα7III","mα7III","mα7II","mα7II","mα7II","mα7II","mα7II","mα7II","mα7II","mα7II","mα7II","mα7II","mα7II","mα7","mα7","mα7","","","","","","","","Basic","FF","","","","","mα7","mα7II","mα7III","mα7IV"
"Alpha(α)","","","","","","","","","","","","mα7C","mα7C","mα7C","mα7C","mα7C","mα7C","mα7C","mα7C","mα7C","","","","","","","","","","","","","","","","","","","","","Compact","FF","","","","","","","","","","","","mα7C"
"Alpha(α)","Advanced","","","sNEX-7","","","mα6500","mα6600","mα6600","mα6600","mα6600","mα6600","mα6600","mα6600","mα6600","mα6600","mα6600","mα6600","mα6600","mα6600","mα6500","mα6500","mα6500","mα6500","mα6500","mα6500","mα6500","mα6500","mα6500","","","","sNEX-7","sNEX-7","sNEX-7","sNEX-7","sNEX-7","sNEX-7","sNEX-7","sNEX-7","sNEX-7","sNEX-7","sNEX-7","","","","APS-C","","","sNEX-7","","","mα6500","mα6600"
"Alpha(α)","","","","","","","","mα6300","mα6400","mα6400","mα6400","mα6400","mα6400","mα6400","mα6400","mα6400","mα6400","mα6400","mα6400","mα6400","mα6400","mα6400","mα6400","mα6300","mα6300","mα6300","mα6300","mα6300","mα6300","mα6300","mα6300","mα6300","","","","","","","","","","","","APS-C","Mid-range","","","","","","","","mα6300","mα6400"
"","","","mNEX-6","mα6000","mα6100","","","","mα6100","mα6100","mα6100","mα6100","mα6100","mα6100","mα6100","mα6100","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mα6000","mNEX-6","mNEX-6","mNEX-6","","","","","","Mid-range","Alpha(α)","APS-C","","","","mNEX-6","mα6000","mα6100",""
"Alpha(α)","","","","","","","","","","","","","mZV-E10","mZV-E10","mZV-E10","mZV-E10","mZV-E10","","","","","","","","","","","","","","","","","","","","","","","APS-C","Vlogging","","","","","","","","","","","","","mZV-E10"
"Alpha(α)","","NEX-5","NEX-5N","NEX-5R","NEX-5T","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","α5100","NEX-5T","NEX-5R","NEX-5N","NEX-5N","NEX-5N","NEX-5","NEX-5","APS-C","Upper-entry","","NEX-5","NEX-5N","NEX-5R","NEX-5T","α5100"
"Alpha(α)","","NEX-3","NEX-C3","NEX-F3","NEX-3N","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","α5000","NEX-3N","NEX-F3","NEX-F3","NEX-C3","NEX-C3","NEX-3","APS-C","Entry-level","","NEX-3","NEX-C3","NEX-F3","NEX-3N","α5000"
"Alpha(α)","","","","","mα3000","mα3500","","","","","","","","","","","","","","","","mα3500","mα3500","mα3500","mα3500","mα3500","mα3500","mα3500","mα3500","mα3500","mα3500","mα3500","mα3500","mα3500","mα3000","","","","","","","APS-C","DSLR-style","","","","","mα3000","mα3500","","","","",""
"SmartShot","APS-C","","","","","","QX1","","","","","","","","","","","","","","","","QX1","QX1","QX1","QX1","QX1","QX1","QX1","QX1","QX1","QX1","QX1","","","","","","","","","","Mobileaccessory","","","","","","QX1","","","","",""
"SmartShot","","","","","","QX10","","","","","","","","","","","","","","","","QX10","QX10","QX10","QX10","QX10","QX10","QX10","QX10","QX10","QX10","QX10","","","","","","","","","","Mobileaccessory","1/2.3inch","","","","","","QX10","","","","",""
"","","","","","QX30","","","","","","","","","","","","","","","","QX30","QX30","QX30","QX30","QX30","QX30","QX30","QX30","QX30","QX30","QX30","","","","","","","","","","1/2.3inch","SmartShot","Mobileaccessory","","","","","","QX30","","","","",""
"SmartShot","","","","","","QX100","","","","","","","","","","","","","","","","QX100","QX100","QX100","QX100","QX100","QX100","QX100","QX100","QX100","QX100","QX100","","","","","","","","","","Mobileaccessory","1.0inch","","","","","","QX100","","","","",""
"Security","Professional","FF","","","","","","","","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","SNC-VB770","","","","","","","","","","","","","","","","","","","","SNC-VB770"
"","","","","","","","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","UMC-S3C","","","","","","","","","","","","","Security","Professional","FF","","","","","","","","UMC-S3C"
"Family","Level","Format","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2022","2022","2021","2021","2020","2020","2019","2019","2018","2018","2017","2017","2016","2016","2015","2015","2014","2014","2013","2013","2012","2012","2011","2011","2010","2010","Family","Level","Format","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
