"Name","Developer","Predecessor","Initialrelease","Platform","Latestrelease","Latestrelease","License","Cost(USD)"
"Name","Developer","Predecessor","Initialrelease","Platform","Version","License","Cost(USD)","Date"
"AbilityOffice","AbilityPlusSoftware","—","1995","Windows","11","2022-02","Proprietary","startsat39.99"
"ApacheOpenOffice","ApacheSoftwareFoundation","OpenOffice.org,StarOffice","2012-05","BSD","4.1.11","2021-10-06","Apache-2.0","Nocost"
"ApacheOpenOffice","ApacheSoftwareFoundation","OpenOffice.org,StarOffice","2012-05","GNU/Linux","4.1.11","2021-10-06","Apache-2.0","Nocost"
"ApacheOpenOffice","ApacheSoftwareFoundation","OpenOffice.org,StarOffice","2012-05","macOS","4.1.11","2021-10-06","Apache-2.0","Nocost"
"ApacheOpenOffice","ApacheSoftwareFoundation","OpenOffice.org,StarOffice","2012-05","Solaris/Illumos","4.1.11","2021-10-06","Apache-2.0","Nocost"
"ApacheOpenOffice","ApacheSoftwareFoundation","OpenOffice.org,StarOffice","2012-05","Unix","4.1.11","2021-10-06","Apache-2.0","Nocost"
"ApacheOpenOffice","ApacheSoftwareFoundation","OpenOffice.org,StarOffice","2012-05","Windows","4.1.11","2021-10-06","Apache-2.0","Nocost"
"Discontinued-AppleWorks","RupertLissner","—","1984","macOS","6.2.9","2004-01-14","Proprietary","Discontinued"
"Discontinued-AppleWorks","RupertLissner","—","1984","Windows","6.2.2","2004-01-20","Proprietary","Discontinued"
"Discontinued-BreadboxOffice","BreadboxComputerCompany","—","1990","DOS","4.1.3.0","2009","Proprietary","Discontinued"
"Discontinued-BreadboxOffice","BreadboxComputerCompany","—","1990","Windows","4.1.3.0","2009","Proprietary","Discontinued"
"CalligraSuite","KDE","KOffice","2011","BSD","3.2.1","2020-05-14","GNULGPLandGNUGPL","Nocost"
"CalligraSuite","KDE","KOffice","2011","GNU/Linux","3.2.1","2020-05-14","GNULGPLandGNUGPL","Nocost"
"CalligraSuite","KDE","KOffice","2011","macOS","3.2.1","2020-05-14","GNULGPLandGNUGPL","Nocost"
"CalligraSuite","KDE","KOffice","2011","Windows","3.2.1","2020-05-14","GNULGPLandGNUGPL","Nocost"
"CollaboraOnline","Collabora","OpenOffice.orgGo-ooStarOffice","2016","Android","21.11.2.4","2022-03-03","MPL-2.0","NocostSupportoptionsareavailable."
"CollaboraOnline","Collabora","OpenOffice.orgGo-ooStarOffice","2016","ChromeOS","21.11.2.4","2022-03-03","MPL-2.0","NocostSupportoptionsareavailable."
"CollaboraOnline","Collabora","OpenOffice.orgGo-ooStarOffice","2016","GNU/Linux","21.11.2.4","2022-03-03","MPL-2.0","NocostSupportoptionsareavailable."
"CollaboraOnline","Collabora","OpenOffice.orgGo-ooStarOffice","2016","iOS","21.11.2.4","2022-03-03","MPL-2.0","NocostSupportoptionsareavailable."
"CollaboraOnline","Collabora","OpenOffice.orgGo-ooStarOffice","2016","iPadOS","21.11.2.4","2022-03-03","MPL-2.0","NocostSupportoptionsareavailable."
"CollaboraOnline","Collabora","OpenOffice.orgGo-ooStarOffice","2016","macOS","21.11.2.4","2022-03-03","MPL-2.0","NocostSupportoptionsareavailable."
"CollaboraOnline","Collabora","OpenOffice.orgGo-ooStarOffice","2016","Online","21.11.2.4","2022-03-03","MPL-2.0","NocostSupportoptionsareavailable."
"CollaboraOnline","Collabora","OpenOffice.orgGo-ooStarOffice","2016","Windows","21.11.2.4","2022-03-03","MPL-2.0","NocostSupportoptionsareavailable."
"ConceptDrawOffice","ComputerSystemsOdessaLLC","—","2008-06-17","macOS","8","2021-11-16","Proprietary","499"
"ConceptDrawOffice","ComputerSystemsOdessaLLC","—","2008-06-17","Windows","8","2021-11-16","Proprietary","499"
"FengOfficeCommunityEdition","FengOffice","—","2007","Online","3.8.6.12","2022-01-07","AGPL-3.0-only","Nocost"
"GNUTeXmacs","JorisvanderHoeven","—","1996?","BSD","2.1.1","2021-12-10","GPL-3.0-or-later","Nocost"
"GNUTeXmacs","JorisvanderHoeven","—","1996?","GNU/Linux","2.1.1","2021-12-10","GPL-3.0-or-later","Nocost"
