"Model","Launch","Codename","Fab(nm)","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","Memory","Fillrate","Fillrate","Fillrate","Memory"
"Model","Launch","Codename","Fab(nm)","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)"
"RadeonX700","March2005","RV410(alto)","110","400","350","8:6:8:8","3200","3200","3200","600","128,256","11.2","DDR","128"
"RadeonX700Pro","March1,2005","RV410(alto)","110","425","432","8:6:8:8","3400","3400","3400","637.5","128,256","13.824","GDDR3","128"
"RadeonX800SE","Oct.2004","425","R420(loki)","3400","130","3400","637.5","400","GDDR3","6800","8:6:8:8","256","25.6","256"
"RadeonX800GT","Dec.6,2005","R420(loki)","130","475","490","256","8:6:8:16","256","3800","7600","3800","712.5","GDDR3","31.36"
"RadeonX800","Dec.2004","R430","110","400","350","256","12:6:12:16","256","4800","6400","GDDR3","4800","600","22.4"
"RadeonX800GTO","Dec.6,2005","R420(loki)","130","400","490","12:6:12:16","4800","6400","4800","600","31.36","256","GDDR3","256"
"RadeonX800Pro","May5,2004","R420(loki)","130","475","450","5700","7600","12:6:12:16","256","5700","256","712.5","28.8","GDDR3"
"RadeonX800XL","Feb.2,2005","R430","110","400","490","256","16:6:16:16","256","6400","6400","GDDR3","6400","600","31.36"
"RadeonX800XT","May4,2004","R420(loki)","130","500","500","16:6:16:16","256","8000","256","8000","8000","GDDR3","750","32"
"RadeonX800XTPE","May4,2004","R420(loki)","130","520","560","8320","8320","8320","16:6:16:16","256","780","256","35.84","GDDR3"
"RadeonX850Pro","Feb.28,2005","R481","130","507","520","12:6:12:16","256","6084","256","8112","6084","GDDR3","760.5","33.28"
"RadeonX850XT","Feb.28,2005","R481","520","540","130","16:6:16:16","8320","8320","256","8320","256","780","34.56","GDDR3"
"RadeonX850XTPE","Feb.28,2005","R481","16:6:16:16","540","590","130","8640","8640","8640","256","810","256","37.76","GDDR3"
