"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","SMcount","Coreconfig","Clockrate","Fillrate","Memoryconfiguration","SupportedAPIversion","Processingpower(GFLOPS)","SupportedAPIversion","SupportedAPIversion","Memoryconfiguration","Memoryconfiguration","Clockrate","Clockrate","Fillrate","Memoryconfiguration","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","ReleasePrice(USD)"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","SMcount","Coreconfig","Core(MHz)","Shader(MHz)","Memory(MHz)","Pixel(GP/s)","Texture(GT/s)","TDP(Watts)","ReleasePrice(USD)","Size(MB)","Bandwidth(GB/s)","DRAMtype","Buswidth(bit)","Vulkan","Direct3D","OpenGL","OpenCL","Singleprecision","Doubleprecision"
"GeForce510","September29,2011","GF119","TSMC40nm","292","79","PCIe2.0x16","1","48:8:4","523","1046","1800","2.1","4.5","10242048","14.4","DDR3","64","n/a","11.1","4.6","1.1","100.4","Unknown","25","OEM"
"GeForceGT520","April12,2011","GF119","TSMC40nm","292","79","PCIe2.0x16PCIe2.0x1PCI","1","48:8:4","810","1620","1800","3.25","6.5","10242048","14.4","DDR3","64","n/a","11.1","4.6","1.1","155.5","Unknown","29","$59"
"GeForceGT530","May14,2011","GF108?/GF118","TSMC40nm","~585","~116","PCIe2.0x16","2","96:16:4","700","1400","1800","2.8","11.2","10242048","28.8","DDR3","128","n/a","11.1","4.6","1.1","268.8","Unknown","50","OEM"
"GeForceGT545","May14,2011","GF116","~1170","TSMC40nm","PCIe2.0x16","~238","3","144:24:16","1400","720","11.52","17.28","15363072","1800","43","192","415.07","Unknown","DDR3","70","n/a","11.1","4.6","1.1","$149"
"GeForceGT545","GF116","~1170","~238","3","144:24:16","870","May14,2011","1740","1998","TSMC40nm","PCIe2.0x16","13.92","20.88","1024","64","GDDR5","128","501.12","Unknown","105","OEM","n/a","11.1","4.6","1.1"
"GeForceGTX550Ti","March15,2011","~1170","~238","GF116-400","TSMC40nm","4","GDDR5","PCIe2.0x16","192:32:24","900","1800","4104","21.6","28.8","768+2561536","65.7+32.898.5","128+64192","691.2","Unknown","116","$149","n/a","11.1","4.6","1.1"
"GeForceGTX555","May14,2011","GF114","TSMC40nm","1950","PCIe2.0x16","332","GDDR5","6","288:48:24","736","1472","3828","17.6","35.3","1024","91.9","128+64","847.9","Unknown","n/a","11.1","4.6","1.1","150","OEM"
"GeForceGTX560SE","February20,2012","GF114-200-KB-A1","1950","332","6","288:48:24","736","1472","3828","17.6","35.3","1024","91.9","128+64","847.9","TSMC40nm","150","OEM","Unknown","PCIe2.0x16","n/a","GDDR5","11.1","4.6","1.1"
"GeForceGTX560","May17,2011","GF114-325-A1","1950","332","TSMC40nm","7","PCIe2.0x16","336:56:32","GDDR5","810","1620","4008","25.92","45.36","10242048","128.1","150","256","1088.6","Unknown","$199","n/a","11.1","4.6","1.1"
"GeForceGTX560Ti","January25,2011","GF114-400-A1","1950","332","TSMC40nm","8","4008","PCIe2.0x16","384:64:32","10242048","GDDR5","256","822","1645","26.3","52.61","128.26","1263.4","110","170","$249","n/a","11.1","4.6","1.1"
"GeForceGTX560Ti","May30,2011","GF110","3000","TSMC40nm","520","PCIe2.0x16","11","GDDR5","352:44:40","732","1464","3800","29.28","32.21","12802560","152","320","1030.7","128.83","210","n/a","11.1","4.6","1.1","OEM"
"GeForceGTX560Ti448Cores","November29,2011","3000","520","GF110-270-A1","TSMC40nm","732","1464","3800","29.28","14","PCIe2.0x16","152","320","448:56:40","GDDR5","210","40.99","1280","1311.7","163.97","$289","n/a","11.1","4.6","1.1"
"GeForceGTX570","December7,2010","3000","520","GF110-275-A1","TSMC40nm","732","1464","3800","29.28","15","PCIe2.0x16","152","320","480:60:40","GDDR5","43.92","12802560","1405.4","175.68","219","$349","n/a","11.1","4.6","1.1"
"GeForceGTX580","November9,2010","3000","520","GF110-375-A1","TSMC40nm","16","PCIe2.0x16","512:64:48","GDDR5","772","1544","4008","37.05","49.41","15363072","192.384","384","1581.1","197.63","244","$499","n/a","11.1","4.6","1.1"
"GeForceGTX590","March24,2011","2xGF110-351-A1","TSMC40nm","2x3000","PCIe2.0x16","2x520","GDDR5","2x16","2x512:64:48","607","1215","3414","2x29.14","2x38.85","2x1536","2x163.87","2x384","2488.3","311.04","n/a","11.1","4.6","1.1","365","$699"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","SMcount","Coreconfig","Clockrate","Fillrate","Memoryconfiguration","SupportedAPIversion","Processingpower(GFLOPS)","SupportedAPIversion","SupportedAPIversion","Memoryconfiguration","Memoryconfiguration","Clockrate","Clockrate","Fillrate","Memoryconfiguration","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","ReleasePrice(USD)"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","SMcount","Coreconfig","Core(MHz)","Shader(MHz)","Memory(MHz)","Pixel(GP/s)","Texture(GT/s)","TDP(Watts)","ReleasePrice(USD)","Size(MB)","Bandwidth(GB/s)","DRAMtype","Buswidth(bit)","Vulkan","Direct3D","OpenGL","OpenCL","Singleprecision","Doubleprecision"
