"Product","Bookstore(s)","Booksearch","In-appEpubimport","Importviain-appBrowser","OPDScatalog","Otherimportvia","Tagbooks","Sortbooks"
"ApabiReader","Yes","Yes","Yes","No","Yes","eMail(MIMEtype)Built-inwebserver","No","Yes"
"Blio","No","No","Yes","No","No","eMail(MIMEtype)","No","No"
"BluefireReader","Freeebooklibrariesonly","Yes","No","No","No","eMail(MIMEtype)iTunesFileSharingBuilt-inWebServer","No","Yes"
"BookFusion","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"DLReader","Yes","No","Yes","Yes","No","eMail(MIMEtype)","Yes","No"
"eBookMobi","Freeebooklibrariesonly","Yes","Yes","Yes","No","eMail(MIMEtype)","No","Yes"
"eBookReader","No","No","Yes","No","No","Built-inwebserver","Yes","Yes"
"i2Reader","No","Yes","Yes","Yes","Yes","Calibre(Bonjour)Built-inwebserver","No","Yes"
"AppleBooks","AppleBooksStore","Yes","No","No","No","eMail(MIMEtype)","No","Yes"
"Kindle","No","No","No","No","No","iTunesFileSharing","No","No"
"KoboReadingApp","No","No","No","No","No","eMail(MIMEtype)","No","No"
"KyBook","Freeebooklibrariesonly","Yes","Yes","Yes","Yes","eMail(MIMEtype)GoogleBooksDropboxGoogleDriveYandexDiskVKDocsNetworkfoldersiTunesFileSharing","Yes","Yes"
"KyBook2","Yes","Yes","Yes","Yes","Yes","eMail(MIMEtype)GoogleBooksDropboxGoogleDriveYandexDiskOneDriveiCloudCouldMail.ruOwnCloud(WebDav)VKDocsNetworkfolders(SMB/CIFS)AppleFoldersAppiTunesFileSharing","Yes","Yes"
"MapleRead","Freeebooklibrariesonly","Yes","Yes","Yes","Yes","Built-inwebserverCalibre(Bonjour)eMail(MIMEtype)DropboxiTunesFileSharing","Yes","Yes"
"Marvin","Freeebooklibrariesonly","Yes","Yes","Yes","Yes","Calibre(Bonjour)eMail(MIMEtype)DropboxiTunesFileSharing","Yes","Yes"
"MegaReader","No","Yes","Yes","No","Yes","Calibre(Bonjour)eMail(MIMEtype)","No","No"
"PocketBookreader","Yes","Yes","No","Yes","Yes","iTunesFileSharingeMail(MIMEtype)","No","Yes"
"ShuBook2","Yes","Yes","Yes","Yes","Yes","Calibre(Bonjour)eMail(MIMEtype)iTunesFileSharing","Yes","Yes"
"SideBooks","No","Yes","No","No","No","iTunesFileSharingDropbox","No","No"
"Stanza","No","Yes","Yes","No","Yes","Calibre(Bonjour)eMail(MIMEtype)iTunesFileSharing","Yes","Yes"
"uBooksXL","No","Yes","Yes","No","Yes","eMail(MIMEtype)iTunesFileSharing","No","Yes"
"iBouquiniste","Freeebooklibrariesonly","Yes","Yes","No","Yes","eMail(MIMEtype)","No","Yes"
"Product","Bookstore(s)","Booksearch","In-appEpubimport","Importviain-appBrowser","OPDScatalog","Otherimportvia","Tagbooks","Sortbooks"
