"Distribution","WorkingState","Aim","Creator","Producer","BaseDistribution","InstalledSize(MB)","InitialReleaseDate","Interface","LinuxKernel","DefaultFileSystem","ArchitectureSupport","ApproximateNumberofPre-compiledPackages","DefaultPackageManagementTools","DefaultInstaller"
"Aurora","2009LastRelease,developmentstopped","AsusEeePCoptimized","Eeebuntucommunity","","Ubuntu","","2009-05-15","GnomeorGnome+NetbookRemix","Arraykernel(modifiedkernel)","","","","APT",""
"CrunchBangLinux11-20130119","2015-02-06DevelopmentStopped","Limitedhardwaremachines","PhilipNewborough","","Debian","","2013-01-19","Openbox","3.2.35","","x86+x86_64","","APT",""
"DebianEeePC","","AsusEeePC","","","Debian","","","","","","","","",""
"DebianWheezy","","","","","Writtenfromscratch","","","","","","i386,AMD64,PowerPC,SPARC,ARM,MIPS,S390,armhf,s390x.Loongson","","",""
"EasyPeasy1.6","2012LastRelease,developmentstopped","Allnetbooks","EasyPeasyCommunity","JonRamvi","Ubuntu","","2010-04-24","Gnome+NetbookRemix","2.6.32","ext4","x86","","APT","Ubiquity"
"Eeedora","","AsusEeePC701","MartinAndrews","","Fedora","","","Xfce","","","","","RPM",""
"FireflyLinux1.0Beta1","2009LastRelease,developmentstopped","","FireflyLinuxcommunity","","ArchLinux","","","LXDE","2.6.29.4","","x86","","Pacman",""
"Fuduntu","2013-04-14LastRelease,developmentstopped","Allnetbooks","AndrewWyatt""Fewt""","Fuduntu.org","None(OriginallybasedonFedora14)","","2012-10-01","Gnome","3.6.9","ext4","x86+x86_64","","RPM+YUM",""
"gNewSense","","Freesoftware","BrianBrazilandPaulO'Malley","SamGeeraertswithsponsorshipfromtheFSF","Debian","","","","Linux-libre2.6.32","","Loongson,x86,x86-64","","APT","Ubiquity(software)"
"JoliOS1.2(formerlynamedJolicloud)","2013-11-22LastRelease,developmentstopped","Allnetbooks","JoliOS","JoliOS","Ubuntu","","2011-03-09","HTML5+Gnome","2.6.35.10","ext4","x86","","APT",""
"KukiLinux2.0","2009LastRelease,developmentstopped","AspireOneoptimized","KukiLinuxcommunity","","Ubuntu","","","Xfce","","","","","",""
"Linux4One1.5","","AspireOneoptimized","Linux4Onecommunity","","Ubuntu","","","GnomeorLXDE","","","","","",""
"LeeenuxLinuxv10","2016LastRelease","Allnetbooks","AleksandarCiric","","Ubuntu16.04LTS","","","LXDE,XFCE","","ext4","x86,AMD64","","APT,Synaptic,Softwarecenter","Ubiquity"
"Lubuntu15.10","2015-10-22ActiveDevelopment","Limitedhardwaremachines","LubuntuCommunityandLXDEFoundation","","Ubuntu","","2011-10-13","LXDE","","","","","Synaptic",""
"ManjaroNetbookEdition","2015-07-25ActiveDevelopment","Allnetbooks","RobMcCathie","ManjaroLinux","ArchLinux","","","Xfce","IntelAtom-optimizedManjarokernel","ext4","x86,x86_64","","Pamac(graphicalfrontendforpacman)",""
"Midinux","","Allnetbooks","RedFlagLinux","","","","2007","","","ext3","x86","","",""
"MeeGo1.2","2012LastRelease,developmentstopped","IntelAtomprocessornetbooks,NokiaARMsmartphones","Intel,Nokia,Maemocommunity","Intel,Nokia,LinuxFoundation","None(itisadistributiondevelopedoutofMaemoandMoblin)","","2010-10-28","""NetbookUserExperience""(basedonClutter)","2.6.35","btrfs","x86withSSSE3support","","RPM",""
"Moblin2.1","2009-04LastRelease,developmentstopped","AllIntelAtomprocessornetbooksandMID","Intel","Intel/LinuxFoundation","None(borrowscomponentsforvariousdistributions)","","2009-11-04","Clutter","","","","","RPM(maychange)",""
"OpenGeeeU8.10","2012-08LastRelease,developmentstopped","","LucaDeMarini","","EasyPeasy","","2009-03-23","EnlightenmentplusGnome","2.6.27","ext3","x86","26000","APT","Ubiquity"
"PuppeeeLinux4.3X","Linpusis64-bitonly","AsusEeePCswithIntelChipsets","JemimahRuhala","","PuppyLinux4.3.1","200MB","","ChoiceofIceWM/OpenBox/FlwmwithROX-Filer/PcManFM/LxLauncher","2.6.33","AUFS+SquashFS+EXT2","Atom/CeleronM","","Pet","PetGet"
"TrisquelMini","2014-11LastRelease,developmentstopped","Limitedhardwaremachines","","","Trisquel","","2010-09","","","","","","",""
"UbuntuNetbookEdition10.10","2010-10LastRelease,developmentstopped","IntelAtomprocessornetbooks","CanonicalLtd.","CanonicalLtd.","Ubuntu","","2010-10-10","Unity","2.6.32","","x86","32000","APT",""
"Distribution","WorkingState","Aim","Creator","Producer","BaseDistribution","InstalledSize(MB)","InitialReleaseDate","Interface","LinuxKernel","DefaultFileSystem","ArchitectureSupport","ApproximateNumberofPre-compiledPackages","DefaultPackageManagementTools","DefaultInstaller"
