"Resortnameandwebsite","Nearestcity","State/province","Peakelevation(ft)","Baseelevation(ft)","Verticaldrop(ft)","Skiableacreage","Totaltrails","Totallifts","Avgannualsnowfall(in)","Adultweekendliftticketwindowprice(USD)","Datestatisticsupdated"
"LakeCity","LakeCity","Colorado","8,850","8,600","250","14","7","1","","$20","September30,2019"
"BeaverMountain","Logan","Utah","8,800","7,200","1,600","667","47","5","400","$50","September30,2019"
"CherryPeak","Richmond","Utah","7,050","5,775","1,265","200","29","3","322","$40","September30,2019"
"EaglePoint","Beaver","Utah","10,600","9,100","1,500","650","40","5","400","$65","September30,2019"
"NordicValley","Ogden","Utah","6,400","5,440","960","140","23","4","300","$45","September30,2019"
"Snowbasin","Huntsville","Utah","9,350","6,391","2,959","3,000","104","11","350","$99","September30,2019"
"SolitudeMountain","SaltLakeCity","Utah","10,488","7,988","2,500","1,200","80","8","500","$115","September30,2019"
"SundanceMountain","Provo","Utah","8,250","6,100","2,150","450","44","5","320","$90","September30,2019"
"AftonAlps","Afton","Minnesota","700","350","350","300","50","22","60","$28","October1,2019"
"AndesTowerHills","Kensington","Minnesota","1,620","1,330","290","35","15","6","55","$45","October1,2019"
"BuckHill","Burnsville","Minnesota","1,211","949","262","45","16","9","60","$47","October1,2019"
"BuenaVistaSkiArea","Bemidji","Minnesota","1,510","1280","230","30","16","5","78","$44","October1,2019"
"ChesterBowlPark","Duluth","Minnesota","875","700","175","6","5","1","100","$15","October1,2019"
"CoffeeMillSkiArea","Wabasha","Minnesota","1,150","725","425","40","14","3","48","$37","October1,2019"
"DetroitMountain","DetroitLakes","Minnesota","1,607","1,443","210","45","21","8","","$42","October1,2019"
"GiantsRidge","Biwabik","Minnesota","1,972","1,472","500","202","35","7","85","$34","October1,2019"
"HylandHills","Bloomington","Minnesota","1,075","900","175","35","13","6","60","$35.34","October1,2019"
"LutsenMountains","Lutsen","Minnesota","1,688","825","863","1,000","95","9","115","$86","October1,2019"
"MountItasca","GrandRapids","Minnesota","","","","","","","","$20","October1,2019"
"MountKato","Mankato","Minnesota","840","600","240","55","19","11","50","$49","October1,2019"
"PowderRidge","Kimball","Minnesota","850","540","310","60","15","6","45","$50","October1,2019"
"MountSkiGull","Nisswa","Minnesota","1,515","1,285","230","40","10","5","50","$39.99","October1,2019"
"SpiritMountain","Duluth","Minnesota","1,298","620","678","175","22","8","90","$59","October1,2019"
"WelchVillage","RedWing","Minnesota","1,060","700","360","140","60","11","45","$62","October1,2019"
"WildMountain","TaylorsFalls","Minnesota","1,113","813","300","100","26","9","50","$56","October1,2019"
"AbenakiSkiArea","Wolfeboro","NewHampshire","815","600","215","18","7","2","","$25","December8,2019"
"ArrowheadRecreationArea","Claremont","NewHampshire","","","120","225","9","2","","$9","December8,2019"
"AttitashMountainResort","NorthConway","NewHampshire","2,350","600","1,750","311`","68","9","120","$56","December8,2019"
"BlackMountainSkiArea","Jackson","NewHampshire","2,350","1,250","1,100","143","40","5","125","$62","December8,2019"
"BrettonWoods","BrettonWoods","NewHampshire","3,100","1,600","1,500","464","62","10","200","$96","December8,2019"
"CannonMountainSkiArea","Franconia","NewHampshire","4,180","1,850","2,330","265","73","10","160","$82","December8,2019"
"CamptonMountain","Campton","NewHampshire","1,505","1,192","313","","","2","","$20","December8,2019"
"CranmoreMountainResort","NorthConway","NewHampshire","2,000","600","1,200","200","54","10","150","$89","December8,2019"
"CrotchedMountainSkiandRide","Manchester","NewHampshire","2066","1050","1,016","75","23","5","105","$71","December8,2019"
"DartmouthSkiway","Lyme","NewHampshire","1,943","975","968","104","30","4","100","$53","December8,2019"
"VeteransMemorialRecreationArea","Franklin","NewHampshire","","","220","","10","2","","Free","December8,2019"
"GraniteGorge","Keene","NewHampshire","1,325","935","390","150","19","3","","$49","December8,2019"
"GunstockMountainResort","Laconia","NewHampshire","2,267","867","1,400","227","55","6","120","$84","December8,2019"
"KancRecreationArea","Lincoln","NewHampshire","1,080","859","221","7","2","1","","$5","December8,2019"
"KingPineSkiArea","Madison","NewHampshire","850","500","350","48","17","6","120","$59","December8,2019"
"LoonMountainResort","Lincoln","NewHampshire","3,050","950","2,100","370","61","12","163","$104","December8,2019"
"McIntyreSkiArea","Manchester","NewHampshire","510","340","169","37","10","5","","$42","December8,2019"
"Mt.EustisSkiHill","Littleton","NewHampshire","1,373","1,133","240","","","1","","$5","December8,2019"
"MountProspectSkiTow","Lancaster","NewHampshire","1,700","1,400","300","","","1","","$7","December8,2019"
"MountSunapeeResort","Claremont","NewHampshire","2,743","1,230","1,513","230","66","11","100","$79","December8,2019"
"PatsPeakSkiArea","Henniker","NewHampshire","1,460","690","770","103","28","11","100","$75","December8,2019"
"RaggedMountainResort","Danbury","NewHampshire","2250","1000","1,250","250","57","6","100","$87","December8,2019"
"RedHillSkiArea","Moultonborough","NewHampshire","820","610","210","","9","1","","$25/season","December8,2019"
"StorrsHillSkiArea","Lebanon","NewHampshire","580","280","300","20","3","1","","$15","December8,2019"
"TenneyMountainResort","Plymouth","NewHampshire","2,149","749","1,400","110","45","3","140","$59","December8,2019"
"WatervilleValleyResort","WatervilleValley","NewHampshire","3,840","1,820","2,020","220","50","11","150","$69","December8,2019"
"WhalebackMountain","Enfield","NewHampshire","1,800","1,100","700","85","30","4","110","$45","December8,2019"
"WildcatMountain","Jackson","NewHampshire","4,062","1,950","2,112","225","48","5","207","$120","December8,2019"
"BearCreekMountainResort","Allentown","Pennsylvania","1,100","590","510","86","21","7","30","$60","December9,2019"
"BlueKnobAllSeasonsResort","Claysburg","Pennsylvania","3,146","2,074","1,072","100","34","6","120","$70","December9,2019"
"BlueMountainSkiArea","Palmerton","Pennsylvania","1,540","458","1,082","164","39","13","33","$70","December9,2019"
"BoyceParkFourSeasonsLodge","Plum","Pennsylvania","1,245","1,115","130","25","9","5","","$28","December9,2019"
"CamelbackMountainResort","Scranton","Pennsylvania","2,130","1,330","800","166","35","16","50","$78","December9,2019"
"ElkMountainSkiResort","Scranton","Pennsylvania","2,667","1,742","925","180","27","7","60","$69","December9,2019"
"HiddenValleyResort","HiddenValley","Pennsylvania","2,875","2,405","470","110","26","11","140","$61","December9,2019"
"JackFrost-BigBoulderSkiArea","WhiteHaven","Pennsylvania","2,000","1,400","600","145","35","22","50","$68","December9,2019"
"LaurelMountainSkiResort","Ligonier","Pennsylvania","2,800","2,000","800","70","20","2","","$58","December9,2019"
"LibertyMountainResort","Gettysburg","Pennsylvania","1,190","570","620","100","22","9","31","$105","December9,2019"
"MountPleasantofEdinboro","Edinboro","Pennsylvania","1,550","1,200","350","35","10","2","150","$33","December9,2019"
"SevenSpringsMountainResort","SevenSprings","Pennsylvania","2,994","2,240","750","285","40","14","150","$76","December9,2019"
"ShawneeMountainSkiArea","EastStroudsburg","Pennsylvania","1,351","700","651","125","23","9","50","$68","December9,2019"
"SkiBigBear","Lackawaxen","Pennsylvania","1,250","600","650","26","18","7","69","$64","December9,2019"
"DentonHillStatePark","Ulysses","Pennsylvania","2,460","1,800","660","","","5","","ClosedTemporarily","December9,2019"
"RoundtopMountainResort","Lewisberry","Pennsylvania","1,335","755","600","103","20","7","30","$73","December9,2019"
"SpringMountainAdventure","Schwenksville","Pennsylvania","528","78","450","45","9","6","20","$48","December9,2019"
"SkiSawmillResort","Morris","Pennsylvania","2,215","1,700","515","15","14","5","24","$48","December9,2019"
"MontageMountainResorts","Scranton","Pennsylvania","1,960","960","1000","140","26","9","60","$58","December9,2019"
"TusseyMountainSkiandRecreation","StateCollege","Pennsylvania","1,750","1,230","520","38","7","3","41","$62","December9,2019"
"WhitetailResort","ClearSpring","Pennsylvania","1,800","865","935","109","25","9","40","$64","December9,2019"
"AlpineValleyResort","Elkhorn","Wisconsin","1,040","820","220","90","20","12","80","$53","December9,2019"
"BruceMoundWinterSportsArea","Merrillan","Wisconsin","1,375","1,000","375","40","12","5","42","$26","December9,2019"
"Camp10SkiArea","Rhinelander","Wisconsin","1,740","1,510","230","","15","4","","$38","December9,2019"
"CascadeMountain","Portage","Wisconsin","1,270","820","450","175","47","11","56","$66","December9,2019"
"ChristieMountain","Bruce","Wisconsin","1,650","1,300","350","45","30","5","48","$40","December9,2019"
"ChristmasMountain","WisconsinDells","Wisconsin","1,250","1,000","250","40","16","3","20","$45","December9,2019"
"TheRockSnowpark","Milwaukee","Wisconsin","925","700","225","75","10","5","","$36","December9,2019"
"Devil'sHeadResort","Baraboo","Wisconsin","1,420","930","490","268","28","10","55","$66","December9,2019"
"GranitePeakSkiArea","Wausau","Wisconsin","1,950","1,250","700","220","75","7","75","$49","December9,2019"
"KettlebowlSkiArea","Antigo","Wisconsin","1,780","1,455","325","","7","5","","$5","December9,2019"
"KewauneeWinterPark","Kewaunee","Wisconsin","740","580","160","","5","1","","$15","December9,2019"
"KeyesPeakSkiHill","Florence","Wisconsin","1,480","1,250","230","","5","2","60","$12","December9,2019"
"LittleSwitzerlandSkiArea","Slinger","Wisconsin","1,269","1,069","200","50","18","8","45","$43","December9,2019"
"MontDuLacResort","Superior","Wisconsin","920","640","270","10","11","2","55","$40","December9,2019"
"GrandGenevaResortandSpa","LakeGeneva","Wisconsin","1000","789","211","30","20","5","25","$55","December9,2019"
"MountAshwabaySkiandRecreationArea","Bayfield","Wisconsin","","","317","65","13","2","","$26","December9,2019"
"MountLaCross","LaCrosse","Wisconsin","1,010","594","516","100","19","4","40","$58","December9,2019"
"NavarinoHills","Shiocton","Wisconsin","885","785","100","","","4","","TemporarilyClosed","December9,2019"
"NordicMountain","WildRose","Wisconsin","1,137","872","265","60","18","7","80","$39","December9,2019"
"NuttHillSkiArea","Plymouth","Wisconsin","","","100","10","2","1","","TemporarilyClosed","December9,2019"
"PowersBluffCountyParkandWinterRecreationArea","Arpin","Wisconsin","1,430","1,180","250","","3","2","","$10","December9,2019"
"StandingRocksCountyParkandWinterRecreationArea","Portage","Wisconsin","","","125","","5","1","","$16","December9,2019"
"SunburstWinterSportsPark","WestBend","Wisconsin","1,100","866","214","40","12","9","50","$44","December9,2019"
"TriangleSportsArea","GreenBay","Wisconsin","710","640","70","","2","3","","$5","December9,2019"
"Trollhaugen","Dresser","Wisconsin","1,200","920","280","86","24","10","50","$55","December9,2019"
"TyrolBasin","MountHoreb","Wisconsin","1,130","870","260","30","16","6","41","$48","December9,2019"
"WhitecapMountainsResort","Upson","Wisconsin","1,750","1,295","400","400","43","5","200","$65","December9,2019"
"WhitetailRidgeSkiArea","FortMcCoy","Wisconsin","1,050","865","185","","","1","","$37","December9,2019"
"WilmotMountainSkiResort","Wilmot","Wisconsin","960","770","190","120","23","11","48","$65","December9,2019"
"AlpineValley","WhiteLake","Michigan","500","126","374","100","25","14","20","$48","December9,2019"
"AppleMountain","Freeland","Michigan","820","600","220","80","12","6","52","TemporarilyClosed","December9,2019"
"BigPowderhornMountainResort","Bessemer","Michigan","1,800","1,200","600","253","45","10","214","$69","December9,2019"
"BittersweetSkiResort","Otsego","Michigan","850","450","400","100","20","12","90","$50","December9,2019"
"BigSnowResort(includesBlackjackandIndianheadMountain)","Bessemer","Michigan","1,935","1,297","638","321","56","17","205","$65","December9,2019"
"BoyneHighlandsResort","HarborSprings","Michigan","1,290","745","545","435","55","10","140","$75","December9,2019"
"CaberfaePeaks","Cadillac","Michigan","1,569","1,060","485","200","34","5","140","$59","December9,2019"
"CannonsburgSkiArea","Belmont","Michigan","1,100","850","250","100","21","10","100","$39","December9,2019"
"CrystalMountain","Thompsonville","Michigan","1,132","757","375","102","58","8","132","$74","December9,2019"
"HickoryHillsSkiArea","TraverseCity","Michigan","","","237","125","8","5","","$25","December9,2019"
"TheHomestead","GlenArbor","Michigan","900","580","320","16","15","5","150","$39","December9,2019"
"MarquetteMountainSkiArea","Marquette","Michigan","1,257","800","457","169","25","4","117","$54","December9,2019"
"MontRipleySkiArea","Hancock","Michigan","1,140","700","440","112","25","4","275","$52","December9,2019"
"MountBohemia","Mohawk","Michigan","1,500","600","900","585","102","2","273","$74","December9,2019"
"MountBrighton","Brighton","Michigan","1,330","1,100","230","130","26","13","60","$64","December9,2019"
"MountHolidaySkiandRecreationalArea","TraverseCity","Michigan","440","240","200","45","12","4","120","$34","December9,2019"
"MountMcSauba","Charlevoix","Michigan","650","400","150","80","10","4","","$18","December9,2019"
"MountZionSkiHill","Ironwood","Michigan","1,400","1,100","300","20","9","2","","$25","December9,2019"
"Mulligan'sHollowSkiBowl","GrandHaven","Michigan","700","570","130","10","7","5","60","$20","December9,2019"
"NorwayMountainResort","Norway","Michigan","1,335","835","500","186","17","6","100","$45","December9,2019"
"Nub'sNobSkiArea","HarborSprings","Michigan","1,338","911","427","248","53","10","123","$88","December9,2019"
"OtsegoClubandResort","Gaylord","Michigan","1,380","1,080","300","160","30","5","150","$65","December9,2019"
"PetoskeyWinterSportsPark","Petoskey","Michigan","790","720","70","","","1","","Free","December9,2019"
"PineKnob","Clarkston","Michigan","1,308","1,009","300","80","14","6","","$47","December9,2019"
"PineMountainResort","IronMountain","Michigan","1,650","1,150","500","220","31","4","60","$49","December9,2019"
"PorcupineMountainsSkiArea","Ontonagon","Michigan","1,360","720","640","200","19","3","","$45","December9,2019"
"ShantyCreekResort","Bellaire","Michigan","1,125","675","450","70","42","8","160","$74","December9,2019"
"SkiBrule","Stambaugh","Michigan","1,861","1,361","500","150","17","11","150","$55","December9,2019"
"SnowSnakeMountainSkiArea","Harrison","Michigan","1,230","1,020","210","40","12","6","","$35","December9,2019"
"TimberRidge","Gobles","Michigan","850","650","200","50","16","8","","$45","December9,2019"
"TreetopsResort","Gaylord","Michigan","1,345","1,120","225","80","23","5","175","$43","December9,2019"
"BelleyareSkiCenter","Kingston","NewYork","3,429","2,024","1,405","173","52","8","141","$80","December10,2019"
"GoreMountainSkiResort","GlensFalls","NewYork","3,600","1,000","2,600","428","109","15","150","$94","December10,2019"
"HolidayValley","Buffalo","NewYork","2,250","1,500","750","290","58","13","180","$85","December10,2019"
"Peek'nPeakResort","Erie","NewYork","1,800","1,400","400","130","27","9","105","$64","December10,2019"
"CatamountSkiArea","GreatBarrington","NewYork","2,000","1,000","1,000","119","36","7","75","$30","December10,2019"
"GreekPeakMountainResort","Virgil","NewYork","2,200","1,148","952","220","55","9","122","$79","December10,2019"
"TitusMountainFamilySkiCenter","Malone","NewYork","2,025","825","1,200","380","50","10","150","$49","December10,2019"
"KissingBridge","Glenwood","NewYork","1,700","1,150","550","700","39","10","120","$65","December10,2019"
"HolidayMountain","Monticello","NewYork","1,550","1,150","400","37","9","4","50","$42","December9,2019"
"BristolMountainSkiResort","Rochester","NewYork","2,150","1,000","1,150","160","35","6","130","$79","December9,2019"
"BuffaloSkiCenter","Colden","NewYork","3,429","2,025","500","225","43","6","","$50","December9,2019"
"BigTupperSkiArea","TupperLake","NewYork","","","","","","","","TemporarilyClosed","December9,2019"
"HickorySkiCenter","","NewYork","","","","","","","","TemporarilyClosed","December9,2019"
"FourSeasonSkiCenter","Fayetteville","NewYork","604","545","59","12","4","2","","$24","December10,2019"
"MapleSkiRidge","Schenectady","NewYork","1,200","750","450","25","10","3","","$39","December10,2019"
"McCauleyMountainSkiCenter","OldForge","NewYork","2,280","1,647","633","70","21","5","200","$35","December10,2019"
"MountPisgahSkiArea","SaranacLake","NewYork","2,060","1,770","290","15","5","1","","$15","December10,2019"
"BeartownSkiArea","Plattburgh","NewYork","1,000","850","150","32","9","2","","$22","December10,2019"
"MountPeter","Warwick","NewYork","1,250","800","450","69","14","5","50","$62","December10,2019"
"OakMountain","Speculator","NewYork","2,400","1,650","750","46","22","4","120","$40","December10,2019"
"RoyalMountainSkiArea","Johnstown","NewYork","1,800","1,250","550","35","14","3","90","$45","December10,2019"
"SongMountainResort","Tully","NewYork","1,940","1,240","700","93","24","5","125","$61","December10,2019"
"SnowRidgeSkiResort","Turin","NewYork","2,000","1,350","650","130","21","6","230","$48","December10,2019"
"LabradorMountain","Truxton","NewYork","1,825","1,125","700","250","23","4","125","$61","December10,2019"
"SwainResort","Grove","NewYork","1,970","1,320","650","130","35","5","120","$65","December10,2019"
"DryHillSkiArea","Watertown","NewYork","950","650","300","37","7","3","125","$38","December10,2019"
"ThunderRidgeSkiArea","Patterson","NewYork","1270","670","600","90","21","7","","$57","December10,2019"
"TuxedoRidgeSkiCenter","","NewYork","","","","","","","","TemporarilyClosed","December10,2019"
"WestMountain","GlensFalls","NewYork","1,470","460","1,010","124","30","7","80","$79","December10,2019"
"WillardMountain","Greenwich","NewYork","1,415","910","505","50","16","5","80","$47","December10,2019"
"ToggenburgMountainSkiCenter","Fabius","NewYork","2,000","1,300","700","85","22","5","130","$57","December10,2019"
"WoodsValleySkiArea","Rome","NewYork","1,400","900","500","25","21","6","180","$39","December10,2019"
"BrantlingSkiSlopes","Sodus","NewYork","850","600","250","20","10","5","110","$32","December10,2019"
"PlattekillMountain","Roxbury","NewYork","3,500","2,400","1,100","110","38","4","175","$68","December10,2019"
"BromleyMountainResort","Manchester","Vermont","3,284","1,950","1,334","178","47","9","168","$92","December10,2019"
"BurkeMountain","Lyndonville","Vermont","3,267","1,210","2,011","178","50","6","217","$75","December10,2019"
"Cochran'sSkiArea","Richmond","Vermont","950","600","350","15","8","3","150","$19","December10,2019"
"Hard'ackRecreationArea","St.Albans","Vermont","","","100","","","1","","Free","December10,2019"
"LivingMemorialPark","Brattleboro","Vermont","1126","922","204","8","2","1","","$5","December10,2019"
"LyndonOutingClub","Lyndon","Vermont","1,247","814","433","32","10","2","","$15","December10,2019"
"MadRiverGlen","Waitsfield","Vermont","3,637","1,600","2,037","115","52","5","230","$79","December10,2019"
"JayPeak","Jay","Vermont","3,968","1,815","2,153","385","79","9","350","$89","December10,2019"
"MagicMountain","Londonderry","Vermont","2,850","1,350","1,500","205","51","6","150","$74","December10,2019"
"MiddleburyCollegeSnowBowl","Hancock","Vermont","2,720","1,720","1,000","110","17","3","250","$60","December10,2019"
"PicoMountain","Killington","Vermont","3,967","2,000","1,967","468","57","7","250","$85","December10,2019"
"SuicideSix","Pomfret","Vermont","1,200","550","650","100","23","3","110","$79","December10,2019"
"Searchmont","SaultSte.Marie,Ontario","Ontario","912","1470","700","100","21","4","132","$59","March9,2020"
"ChapmanSkiHill","Durango","Colorado","7,297","6,522","775","7","1","2","71","$15","June21,2020"
"Lee'sSkiHill","Ouray","Colorado","7,867","7,792","75","2","1","1","134","Free","June21,2020"
"WhitewaterSkiResort","Nelson","BritishColumbia","6,709","4,665","2,044","1,180","46","4","472","",""
"KimberleyAlpineResort","Kimberley","BritishColumbia","","","2,464","1,800","","","160","",""
"Nakiska","Kananaskis","Alberta","7415","5003","2,412","1,021","79","6","100","",""
"SalmoSkiArea","Salmo","BritishColumbia","","","1,120","","","","120","",""
"SasquatchMountain","Chehalis","BritishColumbia","","","1,100","300","","","","",""
"MountWashingtonAlpineResort","Courtenay","BritishColumbia","","","1,663","1,700","","","432","",""
"ManningPark","ManningPark","BritishColumbia","","","1,417","140","","","296","",""
"MountBaldySkiArea","Oliver","BritishColumbia","","","1,293","600","","","256","",""
"HarperMountain","Kamloops","BritishColumbia","","","1,400","400","","","156","",""
"LittleSkiHill","McCall","Idaho","5,600","5,195","405","50","6","1","140","$25","February15,2022"
