"Resortnameandwebsite","Nearestcity","State/province","Peakelevation(ft)","Baseelevation(ft)","Verticaldrop(ft)","Skiableacreage","Totaltrails","Totallifts","Avgannualsnowfall(in)","Adultweekendliftticketwindowprice(USD)","Datestatisticsupdated"
"MountWaterman","ThreePoints","California","8,030","7,000","1,030","150","27","3","180","$60","December11,2019"
"MountainHigh","Wrightwood","California","8,200","6,600","1,600","290","59","13","132","$79","December11,2019"
"SnowSummit","BigBearLake","California","8,174","6,965","1,209","240","30","14","100","$115","December11,2019"
"SnowValleyMountainResort","RunningSprings","California","7,841","6,800","1,041","240","29","12","150","$72","December11,2019"
"WolfCreekSkiArea","PagosaSprings","Colorado","11,904","10,300","1,604","1,600","77","7","465","$76","December11,2019"
"KickingHorseResort","Golden","BritishColumbia","8,218","3,900","4,314","3,486","120","3","295","$73","March16,2019"
"EldoraMountainResort[11]","Nederland","Colorado","10,600","9,400","1,200","680","53","12","300","$129","December11,2019"
"AlyeskaResort[12]","Girdwood","Alaska","3,939","250","2,500","1,400","73","9","643","$89","November7,2019"
"MarmotBasin[13]","Jasper","Alberta","8,570","5,570","3,000","1,675","86","8","160","$105","September19,2019"
"LakeLouiseMountainResort[14]","LakeLouise","Alberta","8,650","5,400","3,250","4,200","139","9","180","$84.95","February14,2014"
"BigWhiteSkiResort[15]","Kelowna","BritishColumbia","7,606","4,950","2,656","2,800","118","16","294","$76","November19,2010"
"SilverStarMountainResort[16]","Vernon","BritishColumbia","6,282","3,789","2,500","3,269","128","12","275","$81","April,2015"
"WhistlerBlackcomb[17]","Whistler","BritishColumbia","7,494","2,140","5,280","8,171","200","26","404","$93","December23,2017"
"SteamboatSprings[18]","SteamboatSprings","Colorado","10,568","6,900","3,668","2,956","165","16","349","$155","December11,2019"
"CopperMountain(Colorado)[19]","Frisco","Colorado","12,313","9,712","2,601","2,450","126","22","282","$190","December11,2019"
"VailSkiResort","Vail","Colorado","11,570","8,120","3,450","5,289","195","31","354","$209","December11,2019"
"BeaverCreek","Avon","Colorado","11,440","8,100","3,340","2,082","167","24","325","$209","December11,2019"
"WinterParkResort","WinterPark","Colorado","12,060","9,000","3,060","3,000","143","25","365","$109","December8,2019"
"SaddlebackMaine","Farmington","Maine","4,120","2,120","2,000","485","66","5","200","TemporarilyClosed","December11,2019"
"BoyneMountain","BoyneCity","Michigan","1,120","620","500","41","60","10","140","$102","December11,2019"
"MountainCreek","VernonTownship","NewJersey","1,480","440","1,040","200","41","8","65","$80","December11,2019"
"BlueMountain","Collingwood","Ontario","1,483","741","742","250","34","15","109","$67",""
"MtBachelor[20]","Bend","Oregon","9,065","5,700","3,365","4,318","101","11","462","$99","September29,2019"
"MountHoodMeadows[21]","Portland","Oregon","7,300","4,523","2,777","2,150","85","11","430","$79","December11,2019"
"Mont-Sainte-Anne","Beaupré","Quebec","2,625","575","2,050","450","65","13","187","$65",""
"MontTremblantResort","MontTremblant","Quebec","2,870","750","2,120","627","95","14","156","$70.35",""
"LeMassif","Petite-Rivière-Saint-François","Quebec","2,645","118","2,527","410","48","4","248","$61",""
"BrianHead","BrianHead","Utah","11,307","9,600","1,548","650","14","8","370","$45","December11,2019"
"ParkCityMountainResort","ParkCity","Utah","10,000","6,900","3,100","7,300","348","41","360","$179","December11,2019"
"DeerValley","ParkCity","Utah","9,570","6,570","3,000","2,026","100","21","280","$209","December11,2019"
"BrightonSkiResort[22]","SaltLakeCity","Utah","10,500","8,755","1,745","1,500","66","6","500","$99","December11,2019"
"AltaSkiArea[23]","SaltLakeCity","Utah","10,550","8,530","2,020","2,200","116","10","560","$125","December11,2019"
"Snowbird[24]","SaltLakeCity","Utah","10,992","7,760","3,240","2,500","85","13","500","$145","December11,2019"
"Smuggler'sNotch","Jeffersonville","Vermont","3,640","1,030","2,610","1,000","78","16","288","$82","December11,2019"
"WindhamMountain","Windham","NewYork","3,100","1,500","1,600","279","52","12","100","$98","December11,2019"
"HunterMountain","Hunter","NewYork","3,200","1,600","1,600","240","58","10","120","$91","December11,2019"
"KillingtonSkiResort","Killington","Vermont","4,241","1,165","3,050","1,509","155","21","250","$125","December11,2019"
"OkemoMountain","Ludlow","Vermont","3,344","1,144","2,200","632","119","19","200","$119","December11,2019"
"StoweMountainResort","Stowe","Vermont","3,719","1,559","2,160","485","116","13","333","$139","December11,2019"
"SugarbushResort","Warren","Vermont","4,083","1,483","2,600","508","111","16","269","$128","December11,2019"
"Sugarloaf","CarrabassettValley","Maine","4,237","1,417","2,820","1,153","154","14","200","$105","December11,2019"
"SnowshoeMountain","Marlinton","WestVirginia","4,848","3,348","1,500","244","60","14","180","$109","December11,2019"
"SunshineVillage[25]","Banff","Alberta","8,954","5,440","3,514","3,358","107","12","360","$82","January19,2013"
"Mt.Norquay[26]","Banff","Alberta","8,040","5,500","1,650","190","28","5","120","$59","January19,2013"
"GrouseMountain[27]","NorthVancouver","BritishColumbia","4,039","899","1,198","212","26","5","120","$58","April2,2013"
"MountSeymour[28]","NorthVancouver","BritishColumbia","4,150","935","1,083","200","23","5","394","$51","April2,2013"
"CypressMountain[29]","WestVancouver","BritishColumbia","4,724","2,985","2,001","600","53","6","245","$60","April2,2013"
"StevensPass[30]","StevensPass","Washington","5,845","4,061","1,800","1,125","37","10","450","$111","December11,2019"
"SunPeaksResort","Kamloops","BritishColumbia","6,824","3,930","2,894","4,270","135","12","237","$74","December23,2017"
"CrystalMountain","Enumclaw","Washington","7,012","3,912","3,100","2,600","57","12","350","$96","December11,2019"
"RedMountainResort[31]","Rossland[32]","BritishColumbia","6,807","3,887","2,919","4,200","110","7","300","$74","February26,2019"
"MtBaker[33]","Glacier","Washington","5,089","3,500","1,589","1,000","31","10","641","$63","December11,2019"
"WhitefaceMountain","LakePlacid","NewYork","4,650","1,220","3,430","314","87","11","168","$104","December11,2019"
"PowderMountain","Eden","Utah","9,422","6,900","2,205","8,464","167","9","500","$95","December11,2019"
"SugarMountainResort[34]","BannerElk","NorthCarolina","5,300","4,100","1,200","120","21","8","77","$77","December11,2019"
"BeechMountainResort[35]","BeechMountain","NorthCarolina","5,506","4,675","831","95","17","8","84","$70","December11,2019"
"AppalachianSkiMountain[36]","BlowingRock","NorthCarolina","4,000","3,635","365","27","12","5","27","$66","December11,2019"
"CataloocheeSkiArea[37]","MaggieValley","NorthCarolina","5,400","4,660","740","50","18","5","24","$72","December11,2019"
"SapphireValleySkiArea[38]","Sapphire","NorthCarolina","3,400","3,200","200","8","3","3","24","$45","December11,2019"
"WolfRidgeSkiResort[39]","MarsHill","NorthCarolina","4,700","4,000","700","65","15","4","65","$65","December11,2019"
"AspenHighlands","Aspen","Colorado","11,678","8,040","3,638","1,010","144","5","300","$74","December11,2019"
"AspenMountain","Aspen","Colorado","11,212","7,945","3,267","673","76","8","300","$174","December11,2019"
"Buttermilk","Aspen","Colorado","9,900","7,870","2,030","435","44","8","200","$174","December11,2019"
"Snowmass","Aspen","Colorado","12,510","8,104","4,406","3,362","96","17","300","$174","December11,2019"
"LeeCanyon(SkiandSnowboardResort)","LasVegas","Nevada","11,289","8,510","860","385","27","3","161","$79","December11,2019"
"TerryPeak","Lead","SouthDakota","7,064","5,930","1,134","450","30","4","150","$59","December11,2019"
"MountSnow[40]","Dover","Vermont","3,600","1,900","1,700","600","86","20","156","$118","December11,2019"
"Wintergreen","Charlottesville","Virginia","3,515","2,512","1,003","129","26","5","35","$94","December11,2019"
"AngelFireResort[41]","AngelFire","NewMexico","10,677","8,600","2,077","30","80","7","210","$84","December11,2019"
"BridgerBowl","Bozeman","Montana","8,700","6,100","2,600","2,000","75","11","350","$63","September28,2019"
"TurnerMountain","Libby","Montana","5,952","3,842","2,110","1,000","22","1","200","$38","September28,2019"
"Discovery","Anaconda","Montana","8,158","5,770","2,388","2,200","67","8","150","$52","September28,2019"
"GreatDivide","Helena","Montana","7,210","5,880","1,330","1,500","140","6","180","$48","September28,2019"
"Showdown","GreatFalls","Montana","8,200","6,800","1,400","640","36","4","240","$49","September28,2019"
"MaverickMountain","Dillon","Montana","8,820","6,800","2,020","350","24","2","200","$45","February15,2022"
"LostTrailPowderMountain","Hamilton","Montana","8,200","6,400","1,800","1,800","60","8","325","$46","September28,2019"
"BlacktailMountain","Kalispell","Montana","6,780","5,340","1,440","1,000","26","4","250","$42","September28,2019"
"BearPawSkiBowl","Havre","Montana","5,280","4,200","1,080","80","11","2","140","$20","September28,2019"
"RedLodgeMountain","RedLodge","Montana","9,416","7,016","2,400","1,635","70","7","250","$69","September28,2019"
"MontanaSnowbowl","Missoula","Montana","7,600","5,000","2,600","950","39","4","300","$52","September28,2019"
"TetonPass","Choteau","Montana","7,200","6,190","1,010","114","26","2","250","$45","May25,2020"
"WhitePass","Yakima","Washington","6,500","4,500","2,000","1,400","45","8","350","$69","September28,2019"
"49DegreesNorth","Spokane","Washington","5,774","3,923","1,851","2,325","82","6","300","$62","September28,2019"
"HurricaneRidge","PortAngeles","Washington","5,500","4,800","700","","10","3","400","$37","September28,2019"
"TheSummitatSnoqualmie","NorthBend","Washington","5,420","2,610","2,280","1,914","62","27","435","$58","September28,2019"
"SkiBluewood","Dayton","Washington","5,670","4,454","1,216","530","24","3","300","$50","September28,2019"
"MountSpokane","Spokane","Washington","5,889","3,818","2,071","1,704","52","8","300","$62","September28,2019"
"MissionRidge","Wenatchee","Washington","6,820","4,570","2,250","2,000","36","6","200","$75","September28,2019"
"LoupLoupSkiBowl","Twisp","Washington","5,280","4,040","1,240","550","10","3","150","$55","September28,2019"
"EchoValley","Chelan","Washington","3,900","3,000","900","70","6","4","","$30","September28,2019"
"BadgerMountain","Waterville","Washington","3,470","3,145","325","10","5","3","120","$10","September28,2019"
"LeavenworthSkiHill","Leavenworth","Washington","1,706","1,476","230","17","2","2","","$22","September28,2019"
"MeanyLodge","Easton","Washington","","","450","54","32","1","","$40","September28,2019"
"SitzmarkLifts","Tonasket","Washington","4,950","4,300","650","","11","2","","$45","September28,2019"
"MountEyak","Cordova","Alaska","1,200","400","800","100","10","2","350","$30","September28,2019"
"MooseMountain","Fairbanks","Alaska","1,985","685","1,300","200","40","0","70","$40","September28,2019"
"Eaglecrest","Juneau","Alaska","2,750","1,130","1,620","640","34","4","350","$58","September28,2019"
"Hilltop","Anchorage","Alaska","780","486","294","30","13","3","69","$34","September28,2019"
"ArcticValley","Anchorage","Alaska","4,000","2,500","1,500","320","24","3","250","$40","September28,2019"
"MountAuroraSkiland","Fairbanks","Alaska","2,435","1,408","1,027","530","46","2","","$40","September28,2019"
"WhitePine","Pinedale","Wyoming","9,500","8,450","1,050","350","27","2","150","$50","September28,2019"
"SnowyRange","Centennial","Wyoming","9,663","8,798","865","250","27","5","245","$49","September28,2019"
"SnowKing","Jackson","Wyoming","7,808","6,237","1,571","400","32","5","175","$59","September28,2019"
"PineCreek","Cokeville","Wyoming","8,200","6,875","1,325","370","30","2","150","$45","September28,2019"
"Hogadon","Casper","Wyoming","8,000","7,370","630","60","27","2","140","$48","September28,2019"
"MeadowlarkSkiLodge","TenSleep","Wyoming","9,500","8,500","1,000","300","14","3","","$48","September28,2019"
"SleepingGiant","Cody","Wyoming","7,428","6,619","810","184","49","3","310","$42","September28,2019"
"ElkoSnobowl","Elko","Nevada","6,988","6,338","650","60","10","2","24","$20","September28,2019"
"DiamondPeak","InclineVillage","Nevada","8,540","6,700","1,840","655","30","6","225","$99","September28,2019"
"GreatBearSkiValley","SiouxFalls","SouthDakota","1,530","1,352","178","220","14","4","150","$29","September28,2019"
"HuffHills","Mandan","NorthDakota","2,150","1,725","425","","21","3","40","$35","September28,2019"
"BottineauWinterPark","Bottineau","NorthDakota","2,450","2,270","180","40","8","6","13","$35","September28,2019"
"ElkRidge","Williams","Arizona","8,150","7,500","650","37","10","2","150","$40","September28,2019"
"MountLemmonSkiValley","Tucson","Arizona","9,157","8,200","957","200","21","3","180","$60","February27,2021"
"SunrisePark","Greer","Arizona","11,100","9,200","1,900","800","65","9","250","$78","September28,2019"
"SandiaPeak","Albuquerque","NewMexico","10,378","8,678","1,700","200","39","5","100","$55","September28,2019"
"SkiApache","Ruidoso","NewMexico","11,500","9,600","1,900","750","55","8","185","$74","September28,2019"
"Sipapu","Taos","NewMexico","9,225","8,200","1,055","200","41","6","190","$45","September28,2019"
"RedRiver","RedRiver","NewMexico","10,350","8,750","1,600","209","64","7","214","$82","September28,2019"
"KellyCanyon","IdahoFalls","Idaho","6,600","5,600","1,000","640","26","5","200","$42","September28,2019"
"PebbleCreek","Pocatello","Idaho","8,560","6,360","2,200","1,100","54","3","250","$52","September28,2019"
"MagicMountain","TwinFalls","Idaho","7,240","6,540","700","120","11","4","230","$33","September28,2019"
"BlizzardMountain","Arco","Idaho","6,305","5,595","710","","","1","","","September28,2019"
"Rotarun","Hailey","Idaho","5,895","5,420","475","","12","1","","$20","September28,2019"
"ChipmunkHill","Challis","Idaho","","","","30","1","1","","$5","September28,2019"
"Snowhaven","Grangeville","Idaho","5,600","5,200","400","40","9","2","60","$19","September28,2019"
"Tamarack","Boise","Idaho","7,660","4,900","2,760","1,100","45","6","300","$71","September28,2019"
"CottonwoodButte","Cottonwood","Idaho","5,730","4,885","845","260","7","2","45","$20","September28,2019"
"BaldMountain","Pierce","Idaho","4,800","4,000","800","140","16","2","100","$20","September28,2019"
"SilverMountain","Coeurd'Alene","Idaho","6,297","4,100","2,197","1,600","67","8","300","$58","September28,2019"
"MohawkMountain","Cornwall","Connecticut","1,600","960","640","107","25","8","24","$67","September28,2019"
"PowderRidge","Middlefield","Connecticut","803","377","426","80","19","7","60","$49","September28,2019"
"SkiSundown","Hartford","Connecticut","1075","450","625","70","16","5","45","$62","September28,2019"
"MountSouthington","Waterbury","Connecticut","525","100","425","51","14","7","80","$62","September28,2019"
"YawgooValley","Exeter","RhodeIsland","310","70","240","36","14","3","39","$50","September28,2019"
"FrostFire","Walhalla","NorthDakota","1,400","1,070","330","","10","3","","$23","September28,2019"
"HiddenValley","Wildwood","Missouri","860","540","320","65","17","9","19","$49","September28,2019"
"SnowCreek","Weston","Missouri","1,099","799","300","25","12","5","20","$47","September28,2019"
"OberGatlinburg","Gatlinburg","Tennessee","3,300","2,700","600","38","10","4","9","$65","September28,2019"
"PaoliPeaks","Paoili","Indiana","900","600","300","65","17","8","18","$45","September28,2019"
"PerfectNorthSlopes","Lawrenceburg","Indiana","800","400","400","100","23","11","23","$52","September28,2019"
"AlpineValley","Chesterland","Ohio","1,500","1,260","240","72","11","5","120","$44","September28,2019"
"BostonMills/Brandywine","Peninsula","Ohio","871","531","240","79","18","16","54","$44","September28,2019"
"MadRiver","Bellafontaine","Ohio","1,460","1,160","300","144","23","12","36","$49","September28,2019"
"SnowTrails","Mansfield","Ohio","1,475","1,175","300","80","17","7","52","$52","September28,2019"
"BigCreek","Concord","Ohio","1,466","1,292","174","23","5","2","102","PrivateClub","September28,2019"
"WispSkiResort","McHenry","Maryland","3,115","2,145","700","132","34","12","100","$49","September28,2019"
"CampgawMountain","Mahwah","NewJersey","726","450","276","23","12","5","45","$41","September28,2019"
"MountainCreek","Vernon","NewJersey","1,490","450","1,040","167","46","9","65","$80","September28,2019"
"CockaigneResort","CherryCreek","NewYork","2.022","1,592","430","100","11","3","175","$50",""
"BigRock","PresqueIsle","Maine","1,590","670","920","60","27","3","100","$40","September29,2019"
"BigSquawMountain","Greenville","Maine","2,920","1,300","1,620","1,216","33","1","136","$30","September29,2019"
"MountJefferson","Lee","Maine","775","343","432","160","13","2","75","$25","September29,2019"
"NewHermonMountain","Bangor","Maine","450","150","300","70","20","3","90","$35","September29,2019"
"CamdenSnowBowl","Camden","Maine","1,080","235","845","100","17","3","50","$33","September29,2019"
"PowderhouseHill","Portland","Maine","240","120","120","","3","1","","$5","September29,2019"
"LostValley","Lewiston","Maine","480","240","240","45","27","4","99","$60","September29,2019"
"ShawneePeak","Bridgton","Maine","","","1,300","245","44","6","110","$75","September29,2019"
"SundayRiver","Newry","Maine","3,140","800","2,340","870","153","18","155","$109","September29,2019"
"SkiMountAbraham","Bethel","Maine","1,990","940","1,050","650","44","5","115","$49","September29,2019"
"BlackMountainofMaine","Lewiston","Maine","2,380","1,000","1,380","300","46","2","120","$45","September29,2019"
"TitcombMountain","Farmington","Maine","750","400","350","45","16","3","85","$17","September29,2019"
"SpruceMountainSkiSlope","Jay","Maine","310","10","300","","12","3","","$25","September29,2019"
"EatonMountain","Waterville","Maine","840","220","620","130","18","2","72","$15","September29,2019"
"BakerMountain","Bingham","Maine","","","460","","5","1","","$10","September29,2019"
"BlandfordSkiArea","Blandford","Massachusetts","1,490","1,025","465","55","29","5","70","$45","September29,2019"
"BerkshireEast","Greenfield","Massachusetts","1,720","540","1,180","180","45","6","120","$69","September29,2019"
"SkiButternut","GreatBarrington","Massachusetts","1,764","645","1,119","110","22","10","115","$65","September29,2019"
