"","Fills&hatch","Vectorcombine","Rotate&move","Polylines","Splinecurves","Linestocurvescmd.&viceversa","Vectorshapes","FontID&replace"
"EasyTrace","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"GraphicTracerProfessional","N/A","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Illustrator","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"Potrace","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No"
"ImageTracer","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No"
"Scan2CAD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"WinTopoPro","?","Yes","Yes","Yes","Yes","?","?","No"
"AutoTrace","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No"
"","Fills&hatch","Vectorcombine","Rotate&move","Polylines","Splinecurves","Linestocurvescmd.&viceversa","Vectorshapes",""
