"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Clockspeed","Fillrate","Memory","SupportedAPIversion","Memory","Memory","Clockspeed","Clockspeed","Fillrate","Memory","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","Notes"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Core(MHz)","Shader(MHz)","Memory(MHz)","Pixel(GP/s)","Processingpower(GFLOPS)","TDP(Watts)","Notes","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"GeForceG210M","June15,2009","GT218","40","PCIe2.0x16","16:8:4","625","1500","1600","2.5","5","512","12.8","GDDR3","64","10.1","3.3","72","14","LowerclockedversionsoftheGT218coreisalsoknownasNvidiaION2"
"GeForceGT220M","2009","G96b","55","PCIe2.0x16","32:16:8","500","1250","10001600","4","8","1024","1625.6","DDR2GDDR3","128","10.1","3.3","120","14","rebranded9600MGT@55nmnodeshrink"
"GeForceGT230M","June15,2009","GT216","40","PCIe2.0x16","500","48:16:8","1100","4","8","1024","1600","25.6","128","GDDR3","158","23","","10.1","3.3"
"GeForceGT240M","June15,2009","GT216","40","48:16:8","550","1600","25.6","GDDR3","1210","23","","4.4","PCIe2.0x16","8.8","174","10.1","3.3","1024","128"
"GeForceGTS250M","June15,2009","GT215","40","96:32:8","500","PCIe2.0x16","1250","3200","4","16","","51.2","1024","GDDR5","360","128","28","10.1","3.3"
"GeForceGTS260M","June15,2009","96:32:8","GT215","40","550","1375","PCIe2.0x16","3600","GDDR5","4.4","17.6","57.6","","396","1024","38","10.1","128","3.3"
"GeForceGTX260M","March3,2009","550","1375","G92b","55","PCIe2.0x16","112:56:16","1900","8.8","30.8","60.8","1024","","GDDR3","256","462","65","10.1","3.3"
"GeForceGTX280M","March3,2009","G92b","55","128:64:16","1900","585","1463","60.8","GDDR3","256","PCIe2.0x16","9.36","37.44","562","75","10.1","1024","","3.3"
"GeForceGTX285M","128:64:16","February2010","G92b","55","600","1500","75","PCIe2.0x16","2000","9.6","GDDR3","256","38.4","64.0","576","1024","HigherClockedVersionofGTX280Mwithnewmemory","10.1","3.3"
