"Program","Developer","License","Supportedfilesystems","Supportedplatforms","GUI","CLI","Script","Scheduler","Boottime","Autodefragwhenidle","Stablerelease"
"AuslogicsDiskDefrag","Auslogics","Freeware","FAT16,FAT32,NTFS","WindowsXPandlater","Yes","Yes","","Yes","Yes","Yes","9.5.0.2(Free),4.11.0.7(Ultimate)(unknowndate(unknowndate)(Free),March3,2020(2020-03-03)(Ultimate))[±]"
"AVGPCTuneUp","AVGTechnologies","Trialware","","","","","","","","","2015(v15.0.1001.238)(November30,2014)"
"Contig","Microsoft","Freeware","NTFS","WindowsXPandlater;WindowsServer2003andlater","No","Yes","No","Yes,withWindowsTaskScheduler","No","Yes,withWindowsTaskScheduler","1.8(July4,2016)"
"Defraggler","Piriform","Freeware","FAT32,NTFS,exFAT,ReFS","WindowsXPandlater","Yes","Yes","No","Yes,withWindowsTaskScheduler","Yes","Yes,withWindowsTaskScheduler","2.22.995(May22,2018(2018-05-22))[±]"
"DriveOptimizer(formerlyDiskDefragmenter)","Microsoft","BundledwithMicrosoftWindows","FAT16,FAT32,NTFS,ReFS","Windows2000andlater;Windows95andlater","Yes","Yes","Yes","Yes,withWindowsTaskScheduler","No","No","SameasWindows"
"Diskeeper","CondusivTechnologies","Discontinued(formerlytrialware","FAT16,FAT32,NTFS","WindowsXPandlater","Yes","Yes","Yes","Yes","Yes","Yes","2020(20.0.1302)(March23,2020(2020-03-23))[±]"
"JkDefrag","JeroenKessels","GNUGPL","FAT&NTFS","Windows2000,WindowsXP,WindowsVista","Yes","Yes","","","","","3.36.0.2/August31,2008"
"O&ODefrag","O&OSoftware","Trialware","FAT16,FAT32,NTFS,exFAT","Windows2000,XP,Vista,Server2008,7,and8","Yes","Yes","","Yes","Yes","Yes","25.0.7210(September14,2021)[±]"
"PageDefrag","Microsoft","Freeware","FAT16,FAT32,NTFS","Windows2000,XP","No","No","No","No","Yes","No",""
"PerfectDisk","Raxco","Trialware","FAT16,FAT32,exFAT,NTFS,ReFS*andCSVFS","WindowsXPSP3orhigher(x86,x64),Windows10,WindowsServer2003SP1,WindowsServer2019","Yes","EnterpriseConsoleeditiononly","","Yes","Yes","Yes","PerfectDisk14Build894(May2,2019)"
"UltimateDefrag","DiskTrix","Trialware","FAT32,NTFS","WindowsXPandlater","Yes","Yes","","Yes","Yes","","6.1.2.0(28July2021)"
"UltraDefrag","DmitriArkhangelski,JustinDearing,SayemChaklader,StefanPendl","Commercialsoftware(8.0)/GNUGPL(7.1.x)","FAT12,FAT16,FAT32,NTFS,exFAT","WindowsNT4.0andlater","Yes","Yes","Yes","Yes,withWindowsTaskScheduler","Yes","Yes,withWindowsTaskScheduler","9.0.1(October20,2019;2yearsago(2019-10-20))[±],Opensourceversiondiscontinued"
"Vopt","GoldenBow(orDataTuna)","Discontinued(formerlyfreeware)","FAT32,NTFS","Windows2000andlater","Yes","","","Yes","","","9.21.0001(November14,2010(2010-11-14))[±]"
"Program","Developer","License","Supportedfilesystems","Supportedplatforms","GUI","CLI","Script","Scheduler","Boottime","Autodefragwhenidle","Stablerelease"
