"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Shaderclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Processingpower(GFLOPS)","SupportedAPIversion","Memory","Memory","Fillrate","Memory","Processingpower(GFLOPS)","SupportedAPIversion","TDP(Watts)","Notes"
"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Shaderclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","TDP(Watts)","Notes","Bustype","Buswidth(bit)","Singleprecision","Doubleprecision","Direct3D","OpenGL"
"Quadro400","GT216GL","40","PCIe2.0x16","450","1125","1540","48:16:4","1.8","7.2","512","12.3","DDR3","64","108","-","10.1","4.5","32","DisplayPort,DualLinkDVI"
"Quadro600","GF108GL","40","PCIe2.0x16","640","1280","1600","96:16:4","2.56","10.24","1024","25.6","DDR3","128","245.76","15","11.0","4.6","40","DisplayPort,DualLinkDVI"
"Quadro2000","GF106GL(GF106-875)","40","PCIe2.0x16","625","1250","2600","192:32:16","1024","10","128","20","41.6","11.0","4.6","GDDR5","480","30","62","StereoDPDualLinkDVI,DualDisplayPort"
"Quadro4000","GF100","40","PCIe2.0x16","475","950","2800","256:32:32","15.2","GDDR5","15.2","2048","89.6","256","11.0","4.6","486.4","243","142",""
"Quadro5000","GF100","513","40","PCIe2.0x16","1026","3000","352:44:40","20.53","22.572","GDDR5","2560","120","320","","722.304","11.0","4.6","359","152"
"Quadro6000","GF100","574","3000","40","PCIe2.0x16","1148","448:56:48","27.552","32.144","6144","GDDR5","144","384","1028.608","","515","11.0","4.6","204"
"Quadro7000","GF110","40","PCIe2.0x16","651","1301","3696","512:64:48","384","31.248","GDDR5","204","41.7","6144","177","1332","","11.0","4.6","667"
"QuadroPlex7000","2xGF100","40","PCIe2.0x16","574","1148","3000","2x512:64:48","2x18.37","GDDR5","2x36.74","2x6144","2x144","2x384","","11.0","4.6","2x1176","2x588","600"
