"Hindi-Urdu","Wordorder","Meaning"
"sabses?fkamr?","[all].INST[clean][room].NOM.MASC","Thecleanestroom."
"sabsekams?fkamr?","[all].INST[less][clean][room].NOM.MASC","Theleastcleanroom"
"sabsegand?kamr?","[all].INST[dirty].NOM.MASC[room].NOM.MASC","Thedirtiestroom."
"kamr?sabse(zy?d?)s?fhai","[room].NOM.MASC[all].INST[clean][is]","Theroomisthecleanest"
"kamr?sabsekams?fhai","[room].NOM.MASC[all].INST[less][clean][is]","Theroomistheleastclean"
"kamr?sabsegand?hai","[room].NOM.MASC[all].INST[dirty].MASC[is]","Theroomisthedirtiest"
