"DatasetName","Briefdescription","Preprocessing","Instances","Format","DefaultTask","Created(updated)","Reference","Creator"
"ForestFiresDataset","Forestfiresandtheirproperties.","13featuresofeachfireareextracted.","517","Text","Regression","2008","","P.Cortezetal."
"IrisDataset","Threetypesofirisplantsaredescribedby4differentattributes.","None.","150","Text","Classification","1936","","R.Fisher"
"PlantSpeciesLeavesDataset","Sixteensamplesofleafeachofone-hundredplantspecies.","Shapedescriptor,fine-scalemargin,andtexturehistogramsaregiven.","1600","Text","Classification","2012","","J.Copeetal."
"SoybeanDataset","Databaseofdiseasedsoybeanplants.","35featuresforeachplantaregiven.Plantsareclassifiedinto19categories.","307","Text","Classification","1988","","R.Michalskietal."
"SeedsDataset","Measurementsofgeometricalpropertiesofkernelsbelongingtothreedifferentvarietiesofwheat.","None.","210","Text","Classification,clustering","2012","","Charytanowiczetal."
"CovertypeDataset","Dataforpredictingforestcovertypestrictlyfromcartographicvariables.","Manygeographicalfeaturesgiven.","581,012","Text","Classification","1998","","J.Blackardetal."
"AbscisicAcidSignalingNetworkDataset","Dataforaplantsignalingnetwork.Goalistodeterminesetofrulesthatgovernsthenetwork.","None.","300","Text","Causal-discovery","2008","","J.Jenkensetal."
"FolioDataset","20photosofleavesforeachof32species.","None.","637","Images,text","Classification,clustering","2015","","T.Munisamietal."
"OxfordFlowerDataset","17categorydatasetofflowers.","Train/testsplits,labeledimages,","1360","Images,text","Classification","2006","","M-ENilsbacketal."
"PlantSeedlingsDataset","12categorydatasetofplantseedlings.","Labelledimages,segmentedimages,","5544","Images","Classification,detection","2017","","Giselssonetal."
"Fruits360dataset","Databasewithimagesof120fruitsandvegetables.","100x100pixels,Whitebackground.","82213","Images(jpg)","Classification","2017–2019","","MihaiOltean,HoreaMuresan"
