"IDE","License","Platforms","LatestRelease","Developer"
"EclipseFPPlugin","EPL?","JavaVirtualMachine","2.6.4/January19,2015","eclipsefp.github.io"
"SlickEdit","Proprietary","Windows,Linux,macOS,AIX,HP-UX,Solaris,SolarisSPARC","October2016","SlickEdit"
