"","MSHTML","Gecko","WebKit","Blink","Presto","KSVG","Amaya"
"<img>","5.0","2.0","Yes","?","2.1","No","5.1"
"<embed>","5.0","1.8","Yes","?","Partial","Partial","5.2"
"<object>","1.8","Yes","5.0","Partial","Yes","5.1","?"
"CSSbackground-image","5.0","2.0","No","?","2.1","No","?"
"CSSlist-style-image","2.0","5.0","2.1","No","Partial","?","?"
"asFavicon","No","41","No","No","80","2.1.1","?"
"indataURIs","5.0","Yes","Yes","?","No","?","?"
