"Name","Releaseyear","Market","Processor","Processor","DeviceID","Clockrate","APIsupport","APIsupport","APIsupport","Coreconfig","Clockrate","APIsupport","Memorybandwidth(GB/s)"
"Name","Releaseyear","Market","Codename","DeviceID","Coreconfig","Model","Min(MHz)","Memorybandwidth(GB/s)","Max(MHz)","Direct3D","OpenGL","OpenCL","Vulkan"
"UHDGraphics730","2020","Desktop","RocketLake","Corei5-11400T","4C8B","192:24:3","350","1200","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","51.2"
"UHDGraphics730","2020","Desktop","RocketLake","Corei5-11400","4C8B","192:24:3","350","1300","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","51.2"
"UHDGraphics750","2020","Desktop","RocketLake","Corei5-11500T","4C8A","256:32:4","350","1200","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","51.2"
"UHDGraphics750","Corei5-11500Corei5-11600Corei5-11600KCorei5-11600TCorei7-11700Corei7-11700KCorei7-11700TCorei9-11900KCorei9-11900T","4C8A","256:32:4","2020","Desktop","RocketLake","1300","350","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","51.2"
"UHDGraphics","2020","Mobile","TigerLake","Corei3-1110G4Corei3-1120G4","9A78","384:48:6","400","1100","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","59.7"
"UHDGraphics","Mobile","TigerLake","Celeron6305PentiumGold7505Corei3-1115G4Corei3-1125G4","9A78","384:48:6","400","2020","59.7","1250","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2"
"IrisXeGraphics","Mobile","TigerLake","2020","Corei5-1130G7Corei5-1140G7","9A40","400","640:80:6","1100","68.2","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2"
"IrisXeGraphics","Corei7-1160G7Corei7-1180G7","9A40","Mobile","1100","68.2","TigerLake","2020","768:96:6","12FL12_1","400","4.64.6ES3.2","3.03.0","1.21.2"
"IrisXeGraphics","Corei5-1135G7Corei5-11300HCorei5-1145G7","Mobile","TigerLake","2020","68.2","9A49","640:80:6","400","1300","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2"
"IrisXeGraphics","9A49","Corei7-1165G7","400","Mobile","TigerLake","2020","68.2","768:96:6","1300","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2"
"IrisXeGraphics","768:96:6","9A49","Corei5-11320HCorei7-1185G7Corei7-11370HCorei7-11375H","400","Mobile","TigerLake","2020","68.2","1350","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2"
"IrisXeGraphics","768:96:6","9A49","Corei7-1195G7Corei7-11390H","400","Mobile","TigerLake","2020","68.2","1400","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2"
"IrisXeMax","768:96:6","2021","Desktop","DG1","","68.2","4905","300","1650","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2"
"IrisXePod","2021","768:96:6","DG1","Desktop","","300","1650","4906","12FL12_1","68.2","4.64.6ES3.2","3.03.0","1.21.2"
"GPUSG-18M","2021","768:96:6","DG1","Server","","300","1650","4907","12FL12_1","68.2","4.64.6ES3.2","3.03.0","1.21.2"
"IrisXeGraphics","2021","768:96:6","DG1","Desktop","","300","1650","4908","12FL12_1","68.2","4.64.6ES3.2","3.03.0","1.21.2"
