"Provider","Win.","Linux","Mac","Android","iOS","Encryptedstorage","Zeroknowledge","SecureKeyManagement","LimitedMBplan","UnlimitedMBplan","$/MBplan","UnlimitedBW","Provider","CloudhostedNetDrive","Sync","Autodetectchanges","Publicfilehosting","physicalmediarestore","Serverlocation(s)","Freeonlinestorage(non-trial)","Maximumper-filesize","Externalharddrivesupport","HybridOption","GreenHosting","OpenSaaS"
"Backblaze","Yes","B2only","Yes","Yes","Yes","Yes","NoCompanymustbegivenpassphrase(toprivatekey)torestoreanydata.","No","No","Yes","No","No","Backblaze","","","Yes","Yes","Yes","UnitedStates,Europe","10GB","Nolimit","Yes","No","",""
"BaiduCloud","Yes","Yes","Yes","Yes","Yes","Yes","No","?","No","No","Yes","","Baidu","","Yes","Yes","Yes","","China","2TB","4GB(Non-member)10GB(Member)20GB(SuperMember).","","?","",""
"BarracudaBackupService","Yes","Yes","Yes","","","Yes","No","?","Nofeepercomputer","No","Yes","","BarracudaBackupService","Yes","Yes","","No","Yes","UnitedStates,Canada,APAC,Europe","No","","","?","",""
"Box","Yes","Partial(noofflinesync,accessthroughDAVserver)","Yes","Yes","Yes","Yes","No","?","Yes","No","","","Box","Yes","Yes","Yes","","","UnitedStates","10GB","250MB(Free)5GB(Paid)","","","",""
"Carbonite","Yes","No","Yes","Yes","Yes","Yes","Partial,optionalforWindowsonly","?","Yes(Businessonly)","Yes(Homeonly)","No","Yes","Carbonite","","Yes","Yes","Yes","","UnitedStates","No","4GB","Yes","Yes","",""
"CloudMe","Yes","Yes","Yes","Yes","Yes","No,but3rdpartyappsavailable","","?","","No","","Yes","CloudMe","Yes","Yes","Yes","","","Sweden","3GB","150MB(FreeAccounts)Nolimit(PremiumAccounts)","NoLimit","No","",""
"ComodoBackup","Yes","No","No","","","Yes","No","?","Yes","No","Yes(5)","","ComodoBackup","No","No","","No","","UnitedStates","No","","","","",""
"CrashPlan","Yes","Yes","Yes","Yes","Yes","Yes","Yes,exceptforwebrestore","Yes","Yes,10TB","No","No","Yes","CrashPlan","No","No","Yes","No","No","UnitedStates,Australia","No","NoLimit","Yes","No","",""
"Dropbox","Yes","Doesnotworkonfilesystemsotherthanext4andbtrfs","Yes","Yes","Yes","Yes","No","?","","","Yes","","Dropbox","No","Yes","Yes","Yes","","","2GB","NoLimit","","","","No"
"Dropmysite","Yes","Yes","Yes","","","Yes","No","?","Yes","No","No","Yes","Dropmysite","","Yes","Yes","Yes","","Global","2GB","Nolimit","","?","",""
"Egnyte","Yes","Yes","Yes","","","Optional","Optional","?","","","","","Egnyte","Yes","Yes","Yes","Yes","","UnitedStates","No","Nolimit","","?","",""
"ElephantDrive","Yes","Yes","Yes","Yes","","Yes","Optional(offbydefault)","?","Yes","No","","","ElephantDrive","Yes","Yes","Yes","Yes","","UnitedStates","2GB","","Yes","?","No,AmazonAWS",""
"GoogleDrive","Yes","No,noprovider-sanctionedLinuxsupport.","Yes","Yes","Yes","Yes","No","?","","Yes(EnterpriseOnly)","Yes","Yes","GoogleDrive","No","Yes","Yes","Yes","","UnitedStates,Worldwide","15GB","5TB","","","Partial:34%","No"
"iCloud","Yes","Yes,viaStorageMadeEasyclient","Yes","Yes,viaStorageMadeEasyclient","Yes","Yes","No","?","No","No","Yes","","iCloud","?","Yes","?","?","","ChinaformainlandChinaaccounts;unknownforothers","1GB(everyone)5GB(Appleusersonly)","","","","Yes,94%","No"
