"Model","Codename","Released","CPUsupport","Fab(nm)","HT(MHz)","HardwareVirtualization(AMD-V™)","IGP","CrossFire","SLI","TDP(W)","Southbridge","Features/Notes"
"AMD870chipset","RX880","2010","PhenomII,Athlon64,Sempron","65","2600(HT3.0)","?","No","Hybrid,x16+x4","No","?","SB850","SinglePCIe2.0x16"
"AMD880Gchipset","RS880P","Q42010","PhenomII,AthlonII,Sempron","55","2600(HT3.0)","?","RadeonHD4250","Hybrid","No","?","SB710,SB750,SB810,SB850,SB920,SB950","DirectX10.1,UVD2,HDMI/HDCP,DisplayPort/DPCP,ORsinglePCIe2.0x16AM3+socketsupport"
"AMD880Mchipset","RS880M","Q22010","MobileTurionII,MobileAthlonII,MobileSempron","55","?","2600(HT3.0)","RadeonHD4200","PowerXpressAXIOM/MXMmodule(s)","No","SB820","?","DirectX10.1,UVD2,HDMI/HDCP,DisplayPort,DVI,VGA,sideportmemory,ORsinglePCI-E2.0x16MobileChipset,Tigrisplatform"
"AMD880Mchipset","RS880M","Q22010","AthlonIINeo,TurionIINeo","?","RadeonHD4225","PowerXpressAXIOM/MXMmodule(s)","No","SB820","55","DirectX10.1,UVD2,HDMI/HDCP,DisplayPort,DVI,VGA,ORSinglePCI-E2.0x16MobileChipset,Nileplatform","2600(HT3.0)","?"
"AMD880Mchipset","RS880M","Q22010","MobilePhenomII,MobileTurionII,MobileAthlonII,MobileSempronV-Series","?","RadeonHD4250RadeonHD4270","PowerXpressAXIOM/MXMmodule(s)","No","SB820","55","DirectX10.1,UVD2,HDMI/HDCP,DisplayPort,DVI,VGA,ORsinglePCI-E2.0x16MobileChipset,Danubeplatform","2600(HT3.0)","?"
"AMD890GXchipset","RS880D","Q22010","PhenomII,AthlonII,Sempron","?","55","RadeonHD4290","2600(HT3.0)","Hybrid,x8+x8","No","22","SB710,SB750,SB810,SB850","DirectX10.1,UVD2,HDMI/HDCP,DisplayPort/DPCP,Side-portmemory,ORtwoPCIe2.0x16"
"AMD890FXchipset","RD890","Q22010","Bulldozer,PhenomII,AthlonII,Sempron","65","Yes","2600(HT3.0)","No","x16+x16orx8quad","No","18","SB710,SB750,SB810,SB850","FourPCIe2.0x16"
"","","","","","","","","","",""
"AMD970chipset","RX980","Q22011","Bulldozer,PiledriverPhenomII,AthlonII,Sempron,FX","65","2400(HT3.0)","Yes","No","x16+x4","No","13.6","SB710,SB750,SB810,SB850,SB920,SB950","SinglePCIe2.0x16,IOMMUAM3+socketsupport"
"AMD990Xchipset","RD980","Q22011","Bulldozer,PiledriverPhenomII,AthlonII,Sempron,FX","65","2600(HT3.0)","Yes","No","x8+x8","x8+x8","14","SB710,SB750,SB810,SB850,SB920,SB950","TwoPCIe2.0x16,IOMMUAM3+socketsupport"
"AMD990FXchipset","RD990","2600(HT3.0)","Q22011","Bulldozer,PiledriverPhenomII,AthlonII,Sempron,FX","65","x16+x16orx8quad","Yes","No","x16+x16orx16+x8+x8orx8quad","19.6","FourPCIe2.0x16,IOMMUAM3+socketsupport","SB710,SB750,SB810,SB850,SB920,SB950"
"Model","Codename","Released","CPUsupport","Fab(nm)","HT(MHz)","HardwareVirtualization(AMD-V™)","IGP","CrossFire","SLI","TDP(W)","Southbridge","Features/Notes"
