"Name","Viewfunctions","Otherfunctions","License"
"ACDSee","Thumbnails(user-definedsizes),fullscreen,slideshow,zoom,fit,viewExifinfo,viewinsideZIParchives,...","Resize,crop,rotate,flip,JPEGlosslessrotate/mirror,facerecognition,adjustexposureandcolorsetc.,filters(sharpen,blur,average,emboss),redeyeremoval,batchrename,editExifinfo","Proprietary"
"AdobeBridge","Thumbnails,slideshow,filmstrip,preview,versionswithalternates","StandAlone:rotate,rename,delete,move,copy,batchrename,add/Editmetadata,camerarawimageadjustments:crop,resize,exposure,contrast,whitebalance,curvesViaPhotoshop:contactsheet,mergetoHDR,PDFpresentation,photomerge,Webpicturegallery","Proprietary"
"AdobePhotoshopLightroom","Libraryorganization,RAWandJPEGediting,slideshowtools,printlayoutandpreferences,webgallerycreationanduploading","","Proprietary"
"Aperture","","","Proprietary"
"CDisplay","Fittowindow,zoom,print,full-screen,slideshow,imagecollection,imageinformation...","Rotate,flip,saveas,usedforreadingcomicsandmanga.","Proprietary"
"Darktable","Lighttable(contactsheet),darkroom(imageediting),map,tethering","Non-destructiveRAWphotoediting(likeAdobeLightroom)aswellascommonimageformats","GPL-3.0-or-later"
"digiKam","Fittowindow,zoom,pan,lighttable,slideshowwitheffects,OpenGLviewer","Rotate,crop,vertical/horizontalflip,losslessJPEGoperations(90°steps),colormanagement,16bitcolordepth,LightTable,Exif,IPTC,XMP,GPSmetadata,adjustcolors/brightness/levels,elaborateBlackandWhiteconversion,automaticlenscorrection,anti-vignetting,sharpeningtools,vibrance,manyfilters,facerecognition,Batchoperations,exporttoarchive,HTML,flickr,gallery2,picasaweb,smugmug,iPod,Facebook,23hq,flash.","GPL-2.0-or-later"
"EyeofGNOME","Fittowindow,zoom,flip,rotate,full-screen,slideshow,imagecollection,imageinformation","Delete,print,save,rename,setwallpaper","GPL-2.0-or-later"
"FastPictureViewer","Borderlessfull-screenkioskmode,Fit-to-window,1:1,50%to6400%magnifier,multicore-enabled,GPU-basedpanning/zooming,black&whitepreviewandlostshadows/highlightsview.","Filerenaming,single-clickbackgroundcopy/movetopresetlocation,single-clickrating/labeling(writesAdobeXMPsidecarfilesand/orembedsXMPmetadatawithinJPEG/TIFF/HDPhoto/JPEGXR),Windowsrating,colormanagementincludingcustomtargetprofileselection,Unicodesupport,Exifshootingdata(shutterspeed,f-stop,ISOspeed,exposurecompensation)andreal-time,seamlessR,G,Bhistogramintranslucentfloatingwindow.IPTCmetadataeditorintheregisteredversion.","Proprietary"
"FastStoneImageViewer","Allmajorformats,thumbnailview(6predefinedsizes),fullscreen,magnifier,slideshow.Usessecondmonitorforfullscreenpreview.Popupsimagegallery,detailedimageinformations,editingoptionsattheimageborderinfullscreenmodus.","Manyeditingfeatures:rotate,move,rename,150+transitionaleffects,crop,resize,clone,heal,convertformat,coloradjust,sharpen,dropshadoweffects,scannersupport,histogram.JPEGlosslessrotate/flip/crop.","Proprietary"
"F-Spot","Full-screen,slideshow,zoom,multiplesizesofthumbnails.Export:HTML,Flickr,GalleryProject,Picasa,Facebook(viaextension)andO.r.i.g.i.n.a.l","Tags,rotateinsingledegreeincrements,hue,contrast,whitebalance,colour,sharpen,softfocus,crop,autored-eyereduction.Filesstoredat/user/Pictures/Photos/[year]/[month]/[day]","MIT"
"Geeqie","Full-screen,slideshow,zoom,colorspectrum,14sizesofthumbnails","Rotate,move,rename,hue,contrast,find/removeduplicates","GPL-2.0-or-later"
"Gonvisor","Fittowindow,zoom,print,full-screen,slideshow,imagecollection,imageinformation,viewimagesincompressedZIP,RAR,or7zfiles.","Rotate,flip,saveas,usedforreadingcomicsandmanga","Proprietary"
"GraphicConverter","Full-screen,slideshow","Rotate,move,rename","Proprietary"
"gThumb","Full-screen,slideshow,zoom,colorspectrum,threesizesofthumbnails","Rotate,move,rename,hue,contrast","GPL-2.0-or-later"
"Gwenview","Fullscreen,slideshow,zoom,rotate,adjustgamma/contrast/brightness,disknavigator,filetree,thumbnails,extendedthumbnails,bookmarks...","Addborder,filter,effects,resize,rename,rawimageconverter,recompress,editcolor.Shareusing23,Dropbox,Facebook,Flickr,Googledrive,Googlephotos/Picasaweb,Imageshack,Imgur,Piwigo,Rajce.net,remotestorage,SmugMug,Yandex.Fotki,Zooomr","GPL-2.0-onlyorGPL-3.0-only"
"iPhoto","Thumbnails,fullscreen,slideshow,camerainformation,search,tags,organizebyeventoralbum,autoorganizebydateduringfirstimport","LosslessJPEGrotate,cropping(customandtemplate),brightness/contrastadjustment,red-eyereduction,retouch,colorenhancement,B&Wandsepiaconversion,exporttomultipleformats&sizes","Proprietary"
