"","MaxDBsize","Maxtablesize","Maxrowsize","Maxcolumnsperrow","MaxBlob/Clobsize","MaxCHARsize","MaxNUMBERsize","MinDATEvalue","MaxDATEvalue","Maxcolumnnamesize"
"4thDimension","Limited","?","?","65,135","200GB(2GiBUnicode)","200GB(2GiBUnicode)","64bits","?","?","?"
"AdvantageDatabaseServer","Unlimited","16EiB","65,530B","65,135/(10+AvgFieldNameLength)","4GiB","?","64bits","?","?","128"
"ApacheDerby","Unlimited","Unlimited","Unlimited","1,012(5,000inviews)","2,147,483,647chars","254(VARCHAR:32,672)","64bits","0001-01-01","9999-12-31","128"
"ClustrixDB","Unlimited","Unlimited","64MBonAppliance,4MBonAWS","?","64MB","64MB","64MB","0001-01-01","9999-12-31","254"
"CUBRID","2EB","2EB","Unlimited","Unlimited","Unlimited","1GB","64bits","0001-01-01","9999-12-31","254"
"DB2","Unlimited","2ZB","1,048,319B","1,012","2GB","32KiB","64bits","0001-01-01","9999-12-31","128"
"EmpressEmbeddedDatabase","Unlimited","2-1bytes","2GB","32,767","2GB","2GB","64bits","0000-01-01","9999-12-31","32"
"EXASolution","Unlimited","Unlimited","Unlimited","10,000","N/A","2MB","128bits","0001-01-01","9999-12-31","256"
"FileMaker","8TB","8TB","8TB","256,000,000","4GB","10,000,000","1billioncharacters,10^-400to10^400,+-","0001-01-01","4000-12-31","100"
"Firebird","Unlimited","~32TB","65,536B","Dependsondatatypesused","32GB","32,767B","64bits","100","32768","31"
"HSQLDB","64TB","Unlimited","Unlimited","Unlimited","64TB","Unlimited","Unlimited","0001-01-01","9999-12-31","128"
"H2","64TB","Unlimited","Unlimited","Unlimited","64TB","Unlimited","64bits","-99999999","99999999","Unlimited"
"","MaxDBsize","Maxtablesize","Maxrowsize","Maxcolumnsperrow","MaxBlob/Clobsize","MaxCHARsize","MaxNUMBERsize","MinDATEvalue","MaxDATEvalue","Maxcolumnnamesize"
"InformixDynamicServer","~128PB","~128PB","32,765bytes(exclusiveoflargeobjects)","32,765","4TB","32,765","10","01/01/0001","12/31/9999","128bytes"
"Ingres","Unlimited","Unlimited","256KB","1,024","2GB","32000B","64bits","0001","9999","256"
"InterBase","Unlimited","~32TB","65,536B","Dependsondatatypesused","2GB","32,767B","64bits","100","32768","31"
"LinterSQLRDBMS","Unlimited","2rows","64KB(w/oBLOBs),2GB(eachBLOBvalue)","250","2GB","4000B","64bits","0001-01-01","9999-12-31","66"
"MariaDB","Unlimited","MyISAMstoragelimits:256TB;Innodbstoragelimits:64TB;Ariastoragelimits:???","64KB","4,096","4GB(longtext,longblob)","64KB(text)","64bits","1000","9999","64"
"MicrosoftAccess(JET)","2GB","2GB","16MB","255","64KB(memofield),1GB(""OLEObject""field)","255B(textfield)","32bits","0100","9999","64"
"MicrosoftVisualFoxpro","Unlimited","2GB","65,500B","255","2GB","16MB","32bits","0001","9999","10"
"MicrosoftSQLServer","524,272TB(32767files*16TBmaxfilesize)16ZBperinstance","524,272TB","8,060bytes/2TB","1,024/30,000(withsparsecolumns)","2GB/Unlimited(usingRBS/FILESTREAMobject)","2GB","126bits","0001","9999","128"
"MicrosoftSQLServerCompact(EmbeddedDatabase)","4GB","4GB","8,060bytes","1024","2GB","4000","154bits","0001","9999","128"
