"","AustraliaPost","CanadaPost","DHL","FedEx","OnTrac","UnitedStatesPostalService","UPS"
"ApacheOFBiz","No","No","No","No","No","No","No"
"Batavi","No","No","No","No","No","No","No"
"BigCommerce","Yes","Yes","No","Yes","No","Yes","Yes"
"KonaKart","No","No","No","Yes","No","Yes","Yes"
"Magento","No","No","No","No","No","No","No"
"nopCommerce","No","No","No","No","No","No","No"
"osCommerce","No","No","No","No","No","No","No"
"PrestaShop","webservice","No","No","No","No","No","No"
"Shopify","No","No","No","No","No","No","No"
"WooCommerce","Yes","Yes","No","No","No","Yes","No"
"ZenCart","No","No","No","Yes","Yes","Yes","Yes"
"","AustraliaPost","CanadaPost","DHL","FedEx","OnTrac","UnitedStatesPostalService","UPS"
