"Country","OfficialName","Acronym","Founded","Terminated","Capabilities","Capabilities","Capabilities","Capabilities","Remarks"
"Country","OfficialName","Acronym","Founded","Terminated","Astronauts","Remarks","OperatesSatellites","SoundingRocketscapable","RecoverableBiologicalSoundingRocketscapable"
"Bangladesh","SpaceResearchandRemoteSensingOrganization","SPARRSO","1980","—","No","Yes","No","No",""
"People'sRepublicofChina","ChinaNationalSpaceAdministration(Chinese:?????)","CNSA","22April1993","—","Yes","Yes","Yes","Yes",""
"India","IndianSpaceResearchOrganisation(Hindi:???????????????????????????)","ISRO????","15August1969","—","Yes","Yes","Yes","Yes",""
"Indonesia","Indonesian:LembagaAntariksadanPenerbanganNasional(NationalInstituteofAeronauticsandSpace)","LAPAN","27November1964","—","Yes","Yes","Yes","No",""
"Iran","IranianSpaceAgency(Persian:????????????????)","ISA","2003","—","Yes","Yes","Yes","Yes",""
"Israel","IsraeliSpaceAgency(Hebrew:??????????????????)","ISA??""?","April1983","—","Yes","Yes","Yes","No",""
"Japan","JapanAerospaceExplorationAgency(Japanese:??????????)","JAXA","1October2003","—","Yes","Yes","Yes","Yes",""
"Malaysia","MalaysianNationalSpaceAgency(Malay:AgensiAngkasaNegara)","ANGKASA","2002","—","Yes","Yes","No","No",""
"NorthKorea","KoreanCommitteeofSpaceTechnology(Korean:???????????)","KCST","1980s","2013","No","Yes","Yes","No",""
"Pakistan","PakistanSpaceandUpperAtmosphereResearchCommission(Urdu:????????????????????????????????????)","SUPARCO??????","16September1961","—","No","Yes","Yes","No",""
"Philippines","PhilippineSpaceAgency","PhilSA","8August2019","—","No","Yes","No","No",""
"SouthKorea","KoreaAerospaceResearchInstitute(Korean:?????????)","KARI","10October1989","—","Yes","Yes","Yes","No",""
"RepublicofChina","NationalSpaceOrganization(Chinese:??????)","NSPO","3October1991","—","No","Yes","Yes","No",""
"Thailand","Geo-InformaticsandSpaceTechnologyDevelopmentAgency(Thai:??????????????????????????????????????????)","GISTDA????","3November2002","—","No","Yes","No","No",""
