"Filesystem","DOS","Linux","macOS","Windows9x","WindowsNT","""classic""MacOS","FreeBSD","OS/2","BeOS","Minix","Solaris","z/OS"
"APFS","No","Partial(read-onlywithapfs-fuseorlinux-apfs)","Yes(SincemacOSSierra)","No","No","No","No","No","No","No","No","No"
"BeeGFS","No","Yes","?","No","No","No","No","No","?","?","?","No"
"DECtape","No","No","No","No","No","No","No","No","No","No","No","No"
"Level-D","No","?","?","No","No","No","No","No","No","No","?","?"
"RT-11","No","No","No","No","No","No","No","No","No","No","No","No"
"Version6Unixfilesystem(V6FS)","No","?","No","No","No","No","No","No","No","No","No","No"
"Version7Unixfilesystem(V7FS)","No","Yes","?","No","No","No","No","No","?","?","?","?"
"exFAT","No","Yes(since5.4,availableasakernelmoduleorFUSEdriverforearlierversions)","Yes","No","Yes(installabledriversforWindowsXP,2003.IncludedwithWindowsVistaSP1andnewer.)","No","Yes(availableasaFUSEdriver)","No","No","No","Yes(availableasaFUSEdriver)","No"
"FAT12","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial(viadosdir,dosread,doswrite)","Yes","?"
"FAT16/FAT16B/FAT16X","Yes(FAT16fromDOS3.0,FAT16BfromDOS3.31,FAT16XfromDOS7.0)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial(viadosdir,dosread,doswrite,notFAT16X)","Yes","?"
"FAT32/FAT32X","Yes(fromDOS7.10)","Yes","Yes","Yes(fromWindows95OSR2)","Yes(fromWindows2000)","Yes?","Yes","Yes","Yes","No","Yes","?"
"GFS","No","Yes","?","No","No","No","No","?","?","?","?","?"
"HPFS","Partial(withthird-partydrivers)","Yes","?","No","Partial(withNT3.1to4.0only)","?","Yes","Yes(fromOS/21.2)","?","No","?","?"
"NTFS","Partial(withthird-partydrivers)","YeswiththeParagonNTFSkerneldriverorntfs-3g","Yesnativelyreadonly,writesupportwithParagonNTFSorntfs-3g","Yes(with3rd-partydriverslikeParagonNTFSforWin98,DiskInternalsNTFSReader)","Yes","No","Yeswithntfs-3g","?","Yeswithntfs-3g","No","Yeswithntfs-3g","?"
"AppleHFS","No","Yes","NowritesupportsinceMacOSX10.6andnosupportatallsincemacOS10.15","No","YeswithParagonHFS+","Yes","No","?","Yes","No","?","No"
"AppleHFSPlus","No","Partial-writingsupportonlytounjournalledFS","Yes","No","YeswithParagonHFS+","YesfromMacOS8.1","No","?","withaddon","No","?","No"
