"Nation","Multi-satellitesimultaneouslaunches","Launchofforeignsatellite","Geostationarylaunches","Atmos-phericreentry","Rendezvousdockingsinorbit","Satellitenavigationsystem","Datarelaysatellites","Martianmissions","SolarSpaceMissions","Spaceobservatories"
"China","1981(FB-1)3Sats","1990CZ-2Esciencesatellite","1984DongFangHong02(byCZ-3)","1975FSW-0","2011Tiangong1","2000Beidou","2008TianlianI","2021Tianwen-1/Zhurong(rover)(orbiter,lander,androver)","(planned)SolarSpaceTelescope","2015DarkMatterParticleExplorer"
"India","1999(PSLV-CAC2)3Sats","1999PSLV-C2Kitsat-3DLR-Tubsat","2001Kalpana-1(byPSLV)","2007SRE-1","SPADEX(planned)","2013IRNSS","IDRSS(Planned)","2013Mangalyaan(orbiter)","2021(planned)Aditya-L1","2015Astrosat"
"Japan","1986(H-IH15F)3Sats","2002H-IIAFedSat","1977ETS-II(byN-I)","1994OREX","1997ETS-VII","2010QZSS","2002Kodama","1998Nozomi(orbiter)(Failure)","1975Taiyo","1979Hakucho"
