"","MSHTML","Gecko","WebKit","KHTML","Presto"
"Framelayout","Framelayout","Framelayout","Framelayout","Framelayout","Framelayout"
"frameset","<3.1","1.0","Yes","Yes","1.0"
"frame","<3.1","1.0","Yes","Yes","1.0"
"noframes","<3.1","1.0","Yes","Yes","1.0"
"Inlineframes","Inlineframes","Inlineframes","Inlineframes","Inlineframes","Inlineframes"
"iframe","<3.1","1.0","Yes","Yes","1.0"
