"Country","Rocket","Burntime","Specificimpulse(Vac.)","Thrust(Vac.)"
"India","S200boosterrocketstage","130s","274.5s","5,150kN(1,160,000lbf)"
"Japan","SRB-Aseriessolidfueledrocketboosters","100s","280s","2,260kN(510,000lbf)"
"Israel","Shavit'sfirststage","82s","280s","1,650kN(370,000lbf)"
"China","Kuaizhouseriesoflaunchvehicles","","",""
"China","LongMarch11launchsystem","","248s(SL.)","1,188kN(267,000lbf)(SL.)"
